年	ano	年	ano	N	N
月	lúa	月	lúa	N	N
月	meses	月	mes	N	N
月	mes	月	mes	N	N
村	aldea	村	aldea	N	N
村	pobo	村	pobo	N	N
村	vila	村	vila	N	N
人	home	人	home	N	N
人	xente	人	xente	N	N
人	persoas	人	persoa	N	N
人	pobo	人	pobo	N	N
他	el	他	el	PRO;3	PRO
他	que	他	que	PRO;3	PRO
重	peso	重	peso	N	N
也	tamén	也	tamén	ADV	ADV
後	despois	後	despois	ADV	ADV
後	logo	後	logo	ADV	ADV
留言	mensaxe	留言	mensaxe	N	N
市	cidade	市	cidade	N	N
市	concello	市	concello	N	N
站	comisaría	站	comisar	N	N
站	estación	站	estación	N	N
站	pé	站	pé	N	N
州	estado	州	estado	N	N
研究	estudar	研究	estudar	V	V
研究	estudamos	研究	estudar	V	V
研究	investigar	研究	investigar	V	V
三	3	三	3	NUM	NUM
家	fogar	家	fogar	N	N
家	casa	家	casa	N	N
家	á	家	á	N	N
家	na	家	na	N	N
米	arroz	米	arroz	N	N
使用	usando	使用	usar	V	V
使用	usar	使用	usar	V	V
使用	usan	使用	usar	V	V
使用	usamos	使用	usar	V	V
使用	usar	使用	usar	V	V
使用	usan	使用	usar	V	V
使用	adoitaba	使用	adoitar	V	V
公司	empresa	公司	empresa	N	N
公司	compañía	公司	compañía	N	N
公司	empresas	公司	empresa	N	N
公司	compañías	公司	compañía	N	N
西	oeste	西	oeste	N	N
西	occidente	西	occidente	N	N
省	provincia	省	provincia	N	N
度	graos	度	grao	N	N
區	zona	區	zona	N	N
區	distrito	區	distrito	N	N
區	área	區	área	N	N
區	zona	區	zona	N	N
人口	poboación	人口	poboación	N	N
四	4	四	4	NUM	NUM
政府	gobernos	政府	goberno	N	N
政府	goberno	政府	goberno	N	N
我	eu	我	eu	PRO;1	PRO
我	que	我	que	PRO;1	PRO
將	vai	將	ir	V;CAUS	V
集	conxunto	集	conxunto	N	N
世界	mundo	世界	mundo	N	N
南	sur	南	sur	N	N
路	estrada	路	estrada	N	N
路	camiño	路	camiño	N	N
五	5	五	5	NUM	NUM
人民	xente	人民	xente	N	N
人民	persoas	人民	persoa	N	N
人民	pobo	人民	pobo	N	N
包括	incluía	包括	incluír	V	V
包括	incluíndo	包括	incluír	V	V
包括	incluído	包括	incluír	V	V
包括	incluídos	包括	incluír	V	V
包括	inclúe	包括	incluír	V	V
其他	outra	其他	outro	DET	DET
其他	outros	其他	outro	DET	DET
其他	outro	其他	outro	DET	DET
其他	outras	其他	outro	DET	DET
其他	outros	其他	outro	DET	DET
其他	demais	其他	demais	DET	DET
其他	outras	其他	outro	DET	DET
塔	torre	塔	torre	N	N
縣	condado	縣	condado	N	N
時間	momento	時間	momento	N	N
時間	tempo	時間	tempo	N	N
時間	vez	時間	vez	N	N
時間	hora	時間	hora	N	N
六	6	六	6	NUM	NUM
城	cidade	城	cidade	N	N
城	castelo	城	castelo	N	N
中心	centros	中心	centro	N	N
中心	centro	中心	centro	N	N
中心	centro	中心	centro	N	N
中心	cerne	中心	cerne	N	N
線	liña	線	liña	N	N
