van	uzvārds	van	uzvārds		N;NOM;MASC;SG
het	saņēmu	het	saņemt	V;PRS	V;FH;IND;SG;1;POS;PST;FIN;ACT
wat	kas	wat	kas	PRO	PRO;NOM
wat	kāda	wat	kāda	PRO	PRO;NOM;FEM;SG
wat	kāds	wat	kāds	PRO	PRO;NOM;MASC;SG
wat	ko	wat	kas	PRO	PRO;ACC
wat	ka	wat	ka	PRO	
wat	tas	wat	tas	PRO	PRO;NOM;MASC;SG
word	kļuvis	word	kļūt	V;PRS	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
was	bija	is	būt	V;PST;FIN	V;FH;IND;3;POS;PST;FIN;ACT
vir	par	vir	par	ADP	
vir	for	vir	for	ADP	
nie	nav	nie	nebūt	PART	V;FH;IND;3;NEG;PRS;FIN;ACT
dit	šī	dit	šī	PRO;NOM;SG;3	PRO;NOM;FEM;SG
dit	šo	dit	šis	PRO;NOM;SG;3	PRO;ACC;MASC;SG
dit	šis	dit	šis	PRO;NOM;SG;3	PRO;NOM;MASC;SG
dit	tas	dit	tas	PRO;NOM;SG;3	PRO;NOM;MASC;SG
deur	durvju	deur	durvis	ADP	N;ACC;FEM
deur	durvis	deur	durvis	ADP	N;NOM;FEM
ook	arī	ook	arī	ADV	PART
dat	ka	dat	ka	CONJ	
dat	tas	dat	tas	CONJ	PRO;NOM;MASC;SG
hulle	viņiem	hulle	viņš	PRO;PL;3	PRO;DAT;MASC;PL;3
suid	dienvidu	suid	dienvidi		N;ACC;MASC;SG
suid	dienvidos	suid	dienvidi		N;ESS;MASC;PL
suid	dienvidi	suid	dienvidi		N;NOM;MASC;SG
uit	ārā	uit	ārā	ADP	ADV
uit	out	uit	out	ADP	
eerste	vispirms	eerste	vispirms	ADJ;NOM	ADV
kan	var	kan	varēt	V;PRS	V;FH;IND;3;POS;PRS;FIN;ACT
kan	varam	kan	varēt	V;PRS	V;FH;IND;PL;1;POS;PRS;FIN;ACT
hierdie	šī	hierdie	šī	DET	PRO;NOM;FEM;SG
hierdie	šo	hierdie	šis	DET	PRO;ACC;MASC;SG
hierdie	šis	hierdie	šis	DET	PRO;NOM;MASC;SG
hierdie	tas	hierdie	tas	DET	PRO;NOM;MASC;SG
ander	pārējie	ander	pārējs	PRO	ADJ;NOM;MASC;PL
ander	citādi	ander	citādi	PRO	ADV
soos	patīk	soos	patikt	CONJ	V;FH;IND;3;POS;PRS;FIN;ACT
soos	like	soos	like	CONJ	
afrika	āfrika	afrika	āfrika	PROPN;SG	N;NOM;FEM;SG
afrika	āfrikas	afrika	āfrika	PROPN;SG	N;NOM;FEM;PL
oor	par	oor	par	ADP	
oor	ausī	oor	ausis	ADP	
oor	auss	oor	auss	ADP	N;NOM;FEM;SG
oor	atlikušās	oor	atlikt	ADP	V;PFV;NOM;INDF;FEM;PL;PST;V.PTCP
oor	atlikusī	oor	atlikt	ADP	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
oor	atlikušais	oor	atlikt	ADP	V;PFV;NOM;DEF;MASC;SG;PST;V.PTCP
gebruik	lietošana	gebruik	lietošana	V;PRS	N;NOM;FEM;SG
gebruik	izmantošana	gebruik	izmantošana	V;PRS	N;NOM;FEM;SG
gebruik	lietojums	gebruik	lietojums	V;PRS	N;NOM;MASC;SG
gebruik	lietošana	gebruik	lietošana	V;PRS	N;NOM;FEM;SG
gebruik	lietojums	gebruik	lietojums	V;PRS	N;NOM;MASC;SG
gebruik	izmantošana	gebruik	izmantošana	V;PRS	N;NOM;FEM;SG
groot	liels	groot	liels	V;PRS	ADJ;NOM;MASC;SG
groot	liela	groot	liela	V;PRS	ADJ;NOM;FEM;SG
groot	lieliska	groot	lieliska	V;PRS	ADJ;NOM;FEM;SG
groot	lieliski	groot	lieliski	V;PRS	ADV
meer	ezera	baie	ezers	DET	N;GEN;MASC;SG
meer	ezers	baie	ezers	DET	N;NOM;MASC;SG
meer	vairāk	baie	daudz	DET	ADV;CMPR
meer	vairak	baie	vairāk	DET	
onder	zemāk	onder	zemi	ADP	ADV;CMPR
onder	apakšējais	onder	apakšējs	ADP	ADJ;NOM;MASC;SG
onder	apakšējā	onder	apakšēja	ADP	ADJ;NOM;FEM;SG
onder	dibens	onder	dibens	ADP	N;NOM;MASC;SG
onder	grunts	onder	grunts	ADP	N;NOM;MASC;SG
onder	lejas	onder	leja	ADP	N;NOM;FEM;PL
onder	apakšā	onder	apakšā	ADP	N;ESS;FEM;SG
kerk	baznīca	kerk	baznīca		N;NOM;FEM;SG
kerk	baznīcas	kerk	baznīca		N;NOM;FEM;PL
kerk	baznīcā	kerk	baznīca		N;ESS;FEM;SG
gemeente	asamblejas	gemeent	asambleja	N;SG	N;NOM;FEM;PL
baie	ļoti	baie	ļoti	DET	ADV
baie	loti	baie	loti	DET	ADV
baie	daudziem	baie	daudzi	DET	PRO;DAT;MASC;PL
baie	daudz	baie	daudz	DET	ADV
baie	daudzi	baie	daudzi	DET	PRO;NOM;MASC;PL
baie	daudzus	baie	daudzi	DET	PRO;ACC;MASC;PL
baie	daudzas	baie	daudzas	DET	PRO;NOM;FEM;PL
begin	sākums	begin	sākums	V;PRS	N;NOM;MASC;SG
begin	starts	begin	starts	V;PRS	N;NOM;MASC;SG
hul	viņu	hul	viņš	PRO;PL;3	PRO;ACC;MASC;SG;3
waar	kur	waar	kur	PRO	ADV
waar	ja	waar	ja	PRO	CONJ
waar	patiesība	waar	patiesība	PRO	N;NOM;FEM;SG
waar	taisnība	waar	taisnība	PRO	N;NOM;FEM;SG
waar	patiess	waar	patiess	PRO	ADJ;NOM;MASC;SG
waar	patiesa	waar	patiesa	PRO	ADJ;NOM;FEM;SG
dié	šī	dié	šī	DET	PRO;NOM;FEM;SG
dié	šo	dié	šis	DET	PRO;ACC;MASC;SG
dié	šis	dié	šis	DET	PRO;NOM;MASC;SG
dié	tas	dié	tas	DET	PRO;NOM;MASC;SG
eeu	gadsimts	eeu	gadsimts		N;NOM;MASC;SG
haar	viņai	haar	viņa	PRO;ACC;SG;3	PRO;DAT;FEM;SG;3
haar	viņas	haar	viņa	PRO;ACC;SG;3	PRO;NOM;FEM;PL;3
eksterne	ārējais	ekstern	ārējs	V;PRS	ADJ;NOM;MASC;SG
eksterne	ārējs	ekstern	ārējs	V;PRS	ADJ;NOM;MASC;SG
eksterne	ārējā	ekstern	ārēja	V;PRS	ADJ;NOM;FEM;SG
nuwe	jaunums	nuut	jaunums	ADJ;NOM	N;NOM;MASC;SG
leë	tukši	leë	tukši		ADJ;NOM;MASC;PL
leë	tukšs	leë	tukšs		ADJ;NOM;MASC;SG
leë	tukšas	leë	tukša		ADJ;NOM;FEM;PL
leë	tukša	leë	tukša		ADJ;NOM;FEM;SG
leë	tukšā	leë	tukša		ADJ;NOM;FEM;SG
leë	tukšu	leë	tukša		ADJ;ACC;MASC;SG
leë	tukšs	leë	tukšs		ADJ;NOM;MASC;SG
leë	tukša	leë	tukša		ADJ;NOM;FEM;SG
hom	viņam	hom	viņš	PRO;NOM;SG;3	PRO;DAT;MASC;SG;3
hom	viņu	hom	viņš	PRO;NOM;SG;3	PRO;ACC;MASC;SG;3
voor	priekšējais	voor	priekšējs	ADP	ADJ;NOM;MASC;SG
voor	fronte	voor	fronte	ADP	N;NOM;FEM;SG
voor	priekšpusē	voor	priekšpuse	ADP	N;ESS;FEM;SG
voor	priekšā	voor	priekšā	ADP	ADV
voor	priekšējie	voor	priekšējs	ADP	ADJ;NOM;MASC;PL
skakels	links	skakel	links	N;PL	N;NOM;MASC;SG
later	vēlākā	laat	vēla	ADV;CMPR	ADJ;NOM;CMPR;FEM;SG
nog	nogaju	nog	noga	ADV	N;ACC;FEM;SG
nog	vairāk	nog	daudz	ADV	ADV;CMPR
nog	vairak	nog	vairāk	ADV	
net	tikai	net	tikai	ADV	PART
net	tikai	net	tikai	ADV	PART
tydens	laikā	tydens	laiks	ADP	N;ESS;MASC;SG
deel	akcija	deel	akcija	V;PRS	N;NOM;FEM;SG
deel	share	deel	share	V;PRS	
deel	daļa	deel	daļa	V;PRS	N;NOM;FEM;SG
deel	daļa	deel	daļa	V;PRS	N;NOM;FEM;SG
egter	tomēr	egter	tomēr	PART	CONJ
grootste	vislielākais	groot	liels		ADJ;NOM;CMPR;MASC;SG
grootste	lielākais	groot	liels		ADJ;NOM;CMPR;MASC;SG
