van	din	van	din		ADP;ACC
het	are	het	avea	V;PRS	V;IND;SG;3;PRS;FIN
wat	ce	wat	ce	PRO	PRO;3
wat	că	wat	că	PRO	CONJ;POS
wat	asta	wat	acesta	PRO	PRO;FEM;SG;3
wat	aia	wat	acela	PRO	PRO;FEM;SG;3
word	devin	word	deveni	V;PRS	V;IND;PL;3;PRS;FIN
was	erau	is	fi	V;PST;FIN	V;IND;PL;3;IPFV;FIN
dit	asta	dit	acesta	PRO;NOM;SG;3	PRO;FEM;SG;3
dit	aceasta	dit	acesta	PRO;NOM;SG;3	PRO;FEM;SG;3
deur	uşă	deur	uşă	ADP	N;INDF;FEM;SG
deur	ușa	deur	ușă	ADP	N;DEF;FEM;SG
deur	ușă	deur	ușă	ADP	N;INDF;FEM;SG
deur	usa	deur	usa	ADP	N;DEF;FEM;SG
dat	asta	dat	acesta	CONJ	PRO;FEM;SG;3
dat	aia	dat	acela	CONJ	PRO;FEM;SG;3
suid	sud	suid	sud		N;INDF;MASC;SG
suid	south	suid	south		N;INDF;MASC;SG
suid	sudul	suid	sud		N;DEF;MASC;SG
uit	afara	uit	afara	ADP	ADV
uit	afară	uit	afară	ADP	ADV
uit	out	uit	out	ADP	
eerste	primii	eerste	prim	ADJ;NOM	NUM;DEF;MASC;PL
eerste	prima	eerste	prim	ADJ;NOM	NUM;DEF;FEM;SG
eerste	primul	eerste	prim	ADJ;NOM	NUM;DEF;MASC;SG
kan	pot	kan	putea	V;PRS	V;IND;PL;3;PRS;FIN
kan	can	kan	can	V;PRS	
hierdie	asta	hierdie	acesta	DET	PRO;FEM;SG;3
hierdie	aceasta	hierdie	acesta	DET	PRO;FEM;SG;3
ander	alte	ander	alt	PRO	DET;FEM;PL;3
ander	alți	ander	alt	PRO	DET;MASC;PL;3
soos	ca	soos	ca	CONJ	ADV
soos	like	soos	like	CONJ	
afrika	africa	afrika	africa	PROPN;SG	N;DEF;FEM;SG
afrika	africani	afrika	african	PROPN;SG	ADJ;INDF;MASC;PL
afrika	africană	afrika	african	PROPN;SG	ADJ;INDF;FEM;SG
afrika	africane	afrika	african	PROPN;SG	ADJ;INDF;FEM;PL
afrika	african	afrika	african	PROPN;SG	ADJ;INDF;MASC;SG
oor	urechea	oor	ureche	ADP	N;DEF;FEM;SG
oor	ureche	oor	ureche	ADP	N;INDF;FEM;SG
oor	rămase	oor	rămâne	ADP	V;IND;SG;3;PST;FIN
een	una	een	unul	NUM	PRO;FEM;SG;3
een	unul	een	unul	NUM	PRO;MASC;SG;3
gebruik	utilizare	gebruik	utilizare	V;PRS	N;INDF;FEM;SG
gebruik	folosire	gebruik	folosire	V;PRS	N;INDF;FEM;SG
gebruik	utilizarea	gebruik	utilizare	V;PRS	N;DEF;FEM;SG
gebruik	utilizare	gebruik	utilizare	V;PRS	N;INDF;FEM;SG
afrikaanse	africani	afrikaans	african	N;PL	ADJ;INDF;MASC;PL
