الكرامة	αξιοπρέπεια	كَرَامَة	αξιοπρέπεια	N;NOM;DEF;SG	N;ACC;FEM;SG
الكتف	ώμο	كِتف	ώμο	N;NOM;DEF;SG	N;ACC;MASC;SG
معترف	αναγνωρίζεται	مُعتَرَف	αναγνωρίζω	ADJ;NOM;INDF;MASC;SG	V;IPFV;IND;SG;3;PRS;FIN;PASS
معترف	αναγνωρισμένο	مُعتَرَف	αναγνωρίζω	ADJ;NOM;INDF;MASC;SG	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
معترف	αναγνωρισμένος	مُعتَرَف	αναγνωρισμένος	ADJ;NOM;INDF;MASC;SG	V;PFV;NOM;MASC;SG;V.PTCP;PASS
معترف	αναγνωρισμένη	مُعتَرَف	αναγνωρίζω	ADJ;NOM;INDF;MASC;SG	V;PFV;NOM;FEM;SG;V.PTCP;PASS
معترف	αναγνωρισμένα	مُعتَرَف	αναγνωρίζω	ADJ;NOM;INDF;MASC;SG	V;PFV;NOM;NEUT;PL;V.PTCP;PASS
القط	κατ	قَطّ	κατ		ADP
القط	γάτα	قَطّ	γάτα		N;NOM;FEM;SG
القط	γάτος	قَطّ	γάτος		N;NOM;MASC;SG
القط	cat	قَطّ	cat		
بركان	ηφαίστειο	بركان	ηφαίστειο		N;NOM;NEUT;SG
هامبورغ	αμβούργο	هامبورغ	αμβούργο		PROPN;NOM;NEUT;SG
جزئي	μερικό	جُزئِيّ	μερικό	ADJ;NOM;INDF;MASC;SG	N;NOM;FEM;SG
ربحية	αποδοτικότητα	رِبحِيّ	αποδοτικότητα	N;NOM;INDF;SG	N;ACC;FEM;SG
ربحية	κερδοφορία	رِبحِيّ	κερδοφορία	N;NOM;INDF;SG	N;ACC;FEM;SG
حفيد	εγγονός	حفيد	εγγονός		N;NOM;MASC;SG
حفيد	εγγονό	حفيد	εγγονός		N;ACC;MASC;SG
الليثيوم	λιθίου	الليثيوم	λίθιο		N;GEN;NEUT;SG
الليثيوم	λίθιο	الليثيوم	λίθιο		N;NOM;NEUT;SG
بنين	μπενίν	بِنِين	μπενίν		
هدم	κατεδάφιση	هَدم	κατεδάφιση	N;NOM;INDF;SG	N;ACC;FEM;SG
اغنية	σονγκ	أَغنِيّ	σονγκ	N;NOM;INDF;SG	
