استنتاج	ماحصل.	اِستِنتَاج	ماحصل.	N;NOM;INDF;SG	PROPN;NOM;MASC;SG;3
وارن	رکھ	وارن	رکھ		V;ACT
مبكرا	جلد	مُبَكِّر	جلد	ADJ;ACC;INDF;MASC;SG	ADV
بيرم	تالیف	بِيرِم	تالیف		N;NOM;MASC;SG;3
بيرم	ترتیب	بِيرِم	ترتیب		N;NOM;FEM;SG;3
تنتظر	انتظار.	اِنتَظَر	انتظار.	V;IPFV;MASC;IND;SG;3;FIN;ACT	N;NOM;MASC;SG;3
التدفئة	گرماؤ	تَدفِئَة	گرماوا	N;NOM;DEF;SG	PROPN;NOM;MASC;SG;3
حسنا	تعجب	حسنا	تعجب	ADJ;ACC;INDF;MASC;SG	;NOM;MASC;SG;3
حسنا	اقرار	حسنا	اقرار	ADJ;ACC;INDF;MASC;SG	N;NOM;MASC;SG;3
حسنا	ink-well	حسنا	ink-well	ADJ;ACC;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
حسنا	بخوبی-	حسنا	بخوبی-	ADJ;ACC;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
حسنا	منبع	حسنا	منبع	ADJ;ACC;INDF;MASC;SG	N;NOM;MASC;SG;3
حسنا	امنڈنا	حسنا	امنڈنا	ADJ;ACC;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
حسنا	غالباً	حسنا	غالباً	ADJ;ACC;INDF;MASC;SG	ADV
حسنا	up	حسنا	up	ADJ;ACC;INDF;MASC;SG	
حسنا	چشمہ.	حسنا	چشمہ.	ADJ;ACC;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
حسنا	(	حسنا	(	ADJ;ACC;INDF;MASC;SG	
حسنا	(	حسنا	(	ADJ;ACC;INDF;MASC;SG	
حسنا	سوتا	حسنا	سوتا	ADJ;ACC;INDF;MASC;SG	V;PFV;MASC;SG;V.PTCP;ACT
حسنا	بہت	حسنا	بہت	ADJ;ACC;INDF;MASC;SG	DET
حسنا	شاید	حسنا	شاید	ADJ;ACC;INDF;MASC;SG	ADV
احسن	پسندیدہ	احسن	پسندیدہ		ADJ
اللاسلكي	لاسلکی.	لَاسِلكِيّ	لاسلکی.	N;NOM;DEF;SG	PROPN;NOM;MASC;SG;3
يتدفق	کھلا	تَدَفَّق	کھل	V;IPFV;MASC;IND;SG;3;FIN;ACT	V;PFV;MASC;SG;V.PTCP;ACT
يتدفق	دائرہ	تَدَفَّق	دائرہ	V;IPFV;MASC;IND;SG;3;FIN;ACT	N;NOM;MASC;SG;3
يتدفق	کھلا	تَدَفَّق	کھل	V;IPFV;MASC;IND;SG;3;FIN;ACT	V;PFV;MASC;SG;V.PTCP;ACT
يتدفق	دائرہ	تَدَفَّق	دائرہ	V;IPFV;MASC;IND;SG;3;FIN;ACT	N;NOM;MASC;SG;3
يتدفق	رواں	تَدَفَّق	رواں	V;IPFV;MASC;IND;SG;3;FIN;ACT	ADJ
شفافة	منشا	شَفَّاف	منشا	ADJ;NOM;INDF;FEM;SG	N;NOM;MASC;SG;3
شفافة	شیشئی	شَفَّاف	شیشئی	ADJ;NOM;INDF;FEM;SG	PROPN;NOM;MASC;SG;3
شفافة	بہانہ	شَفَّاف	بہانہ	ADJ;NOM;INDF;FEM;SG	PROPN;NOM;MASC;SG;3
شفافة	کھرا	شَفَّاف	کھرا	ADJ;NOM;INDF;FEM;SG	V;PFV;MASC;SG;V.PTCP;ACT
شفافة	غرض	شَفَّاف	غرض	ADJ;NOM;INDF;FEM;SG	N;NOM;MASC;SG;3
شفافة	منشا	شَفَّاف	منشا	ADJ;NOM;INDF;FEM;SG	N;NOM;MASC;SG;3
شفافة	شفّاف	شَفَّاف	شفّاف	ADJ;NOM;INDF;FEM;SG	PROPN;NOM;MASC;SG;3
شفافة	شیشئی	شَفَّاف	شیشئی	ADJ;NOM;INDF;FEM;SG	PROPN;NOM;MASC;SG;3
شفافة	بہانہ	شَفَّاف	بہانہ	ADJ;NOM;INDF;FEM;SG	PROPN;NOM;MASC;SG;3
شفافة	کھرا	شَفَّاف	کھرا	ADJ;NOM;INDF;FEM;SG	V;PFV;MASC;SG;V.PTCP;ACT
شفافة	غرض	شَفَّاف	غرض	ADJ;NOM;INDF;FEM;SG	N;NOM;MASC;SG;3
السمة	استھائی.	سِمَة	استھائی.	N;NOM;DEF;SG	PROPN;NOM;MASC;SG;3
السمة	around	سِمَة	around	N;NOM;DEF;SG	PROPN;NOM;MASC;SG;3
خالص	ایماندار	خالص	ایماندار		ADJ
خالص	ایماندار	خالص	ایماندار		ADJ
خالص	سچّا	خالص	سچّا		
خالص	طاہر	خالص	طاہر		
خالص	پاکیزہ.	خالص	پاکیزہ.		PROPN;NOM;MASC;SG;3
خالص	معصوم.	خالص	معصوم.		PROPN;NOM;MASC;SG;3
خالص	خالص	خالص	خالص		N;NOM;MASC;SG;3
خالص	اکہرا	خالص	اکہرا		PROPN;NOM;MASC;SG;3
خالص	آواز	خالص	آواز		N;NOM;FEM;SG;3
خالص	کھرا	خالص	کھرا		V;PFV;MASC;SG;V.PTCP;ACT
خالص	فقط.	خالص	فقط.		
خالص	طاہر	خالص	طاہر		
خالص	پاکیزہ.	خالص	پاکیزہ.		PROPN;NOM;MASC;SG;3
خالص	معصوم.	خالص	معصوم.		PROPN;NOM;MASC;SG;3
خالص	صاف	خالص	صاف		ADJ
خالص	خالص	خالص	خالص		N;NOM;MASC;SG;3
خالص	محض	خالص	محض		
خالص	اکہرا	خالص	اکہرا		PROPN;NOM;MASC;SG;3
خالص	آواز	خالص	آواز		N;NOM;FEM;SG;3
خالص	کھرا	خالص	کھرا		V;PFV;MASC;SG;V.PTCP;ACT
خالص	سچّا	خالص	سچّا		
خالص	پاک	خالص	پاک		
خالص	فقط.	خالص	فقط.		
راندي	چیخو.	راندي	چیخو.		PROPN;NOM;MASC;SG;3
راندي	ہوسناک.	راندي	ہوسناک.		PROPN;NOM;MASC;SG;3
اتبع	رفتار	اِتَّبَع	رفتار	V;PFV;MASC;SG;3;ACT	N;NOM;MASC;SG;3
اتبع	بوجھنا.	اِتَّبَع	بوجھنا.	V;PFV;MASC;SG;3;ACT	PROPN;NOM;MASC;SG;3
كور	متون	كُور	متون		N;NOM;MASC;SG;3
مستقبلا	مستقبل	مُستَقبَل	مستقبل	N;ACC;INDF;SG	N;NOM;MASC;SG;3
مستقبلا	شخص	مُستَقبَل	شخص	N;ACC;INDF;SG	N;NOM;MASC;SG;3
ميني	اونچا	ميني	اونچا		ADJ;MASC;SG
ميني	گھگری.	ميني	گھگری.		PROPN;NOM;MASC;SG;3
موديل	مثالی.	مَودِيل	مثالی.		PROPN;NOM;MASC;SG;3
موديل	وضع	مَودِيل	وضع		N;NOM;MASC;SG;3
موديل	نقشہ	مَودِيل	نقشہ		N;NOM;MASC;SG;3
موديل	عینی	مَودِيل	عینی		ADJ
موديل	خاکہ.	مَودِيل	خاکہ.		
موديل	مٹی	مَودِيل	مٹی		N;NOM;MASC;SG;3
موديل	صورت.	مَودِيل	صورت.		PROPN;NOM;MASC;SG;3
تحطيم	ٹوٹنے	تَحطِيم	ٹوٹ	N;NOM;INDF;SG	V;ACC;NFIN
تحطيم	اچانک	تَحطِيم	اچانک	N;NOM;INDF;SG	ADV
تحطيم	تماشا	تَحطِيم	تماشا	N;NOM;INDF;SG	PROPN;NOM;MASC;SG;3
تحطيم	تباہی.	تَحطِيم	تباہی.	N;NOM;INDF;SG	PROPN;NOM;MASC;SG;3
الكذب	into	كِذب	into	N;NOM;DEF;SG	
الكذب	ڈھونگ	كِذب	ڈھونگ	N;NOM;DEF;SG	V;SG;ACT
الكذب	مضمر	كِذب	مضمر	N;NOM;DEF;SG	ADJ
الكذب	مکر	كِذب	مکر	N;NOM;DEF;SG	V;ACT
الكذب	(	كِذب	(	N;NOM;DEF;SG	
الكذب	مبنی	كِذب	مبنی	N;NOM;DEF;SG	ADJ
الكذب	جھوٹ	كِذب	جھوٹ	N;NOM;DEF;SG	;NOM;MASC;SG;3
محصول	بال	محصول	بال	ADJ;NOM;INDF;MASC;SG	N;NOM;MASC;SG;3
محصول	پارچہ.	محصول	پارچہ.	ADJ;NOM;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
محصول	کپڑا	محصول	کپڑا	ADJ;NOM;INDF;MASC;SG	N;NOM;MASC;SG;3
محصول	کاٹنا	محصول	کاٹنا	ADJ;NOM;INDF;MASC;SG	V;MASC;SG;NFIN;ACT
محصول	بال	محصول	بال	ADJ;NOM;INDF;MASC;SG	N;NOM;MASC;SG;3
محصول	پارچہ.	محصول	پارچہ.	ADJ;NOM;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
