улицата	street	улица	street	N;DEF;FEM;SG	N;INDF;MASC;SG
отрича	neaga	отричам-(се)	neagă	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;IPFV;FIN
яне	janne	яне	jannă	PROPN;INDF;MASC;SG	PROPN
отразяват	reflecta	отразявам-(се)	reflecta	V;IPFV;IND;PL;3;PRS;FIN;ACT	V;IND;SG;3;IPFV;FIN
отразяват	reflecta	отразявам-(се)	reflecta	V;IPFV;IND;PL;3;PRS;FIN;ACT	V;IND;SG;3;IPFV;FIN
маркетинг	comercializarea	маркетинг	comercializare	N;INDF;MASC;SG	N;DEF;FEM;SG
верона	verona	верон	verona	N;INDF;FEM;SG	PROPN
реклами	anunturi	реклам	anunt	N;INDF;FEM;PL	
реклами	reclamele	реклам	reclam	N;INDF;FEM;PL	N;DEF;FEM;PL
реклами	publicitatea	реклам	publicitate	N;INDF;FEM;PL	N;DEF;FEM;SG
реклами	reclama	реклам	reclama	N;INDF;FEM;PL	N;DEF;FEM;SG
реклами	publicitate	реклам	publicitate	N;INDF;FEM;PL	N;INDF;FEM;SG
разрушени	distrusa	разруша-(се)	distrus	V;PFV;INDF;PL;V.PTCP;PASS	ADJ;DEF;FEM;SG
разрушени	distruse	разруша-(се)	distruge	V;PFV;INDF;PL;V.PTCP;PASS	V;IND;SG;3;PST;FIN
разрушени	distrus	разруша-(се)	distruge	V;PFV;INDF;PL;V.PTCP;PASS	ADJ;INDF;MASC;SG
разрушени	distrusa	разруша-(се)	distrus	V;PFV;INDF;PL;V.PTCP;PASS	ADJ;DEF;FEM;SG
разрушени	demolat	разруша-(се)	demolat	V;PFV;INDF;PL;V.PTCP;PASS	ADJ;INDF;MASC;SG
бейкър	brutar	бейкър	brutar	PROPN;INDF;MASC;SG	N;INDF;MASC;SG
бейкър	baker	бейкър	baker	PROPN;INDF;MASC;SG	PROPN
нула	zero	нула	zero	N;INDF;FEM;SG	NUM;PL
изписана	externat	изпиша	externa	V;PFV;INDF;FEM;SG;V.PTCP;PASS	ADJ;INDF;MASC;SG
изписана	evacuate	изпиша	evacua	V;PFV;INDF;FEM;SG;V.PTCP;PASS	ADJ;INDF;FEM;PL
органите	organe	орган	organ	N;DEF;MASC;PL	N;INDF;FEM;PL
забележка	nota	забележка	notă	N;INDF;FEM;SG	N;DEF;FEM;SG
забележка	nota	забележка	notă	N;INDF;FEM;SG	N;DEF;FEM;SG
забележка	remarca	забележка	remarca	N;INDF;FEM;SG	V;IND;SG;3;IPFV;FIN
забележка	remarca	забележка	remarca	N;INDF;FEM;SG	V;IND;SG;3;IPFV;FIN
доналд	donald	доналд	donald	N;INDF;MASC;SG	PROPN
султана	sultan	султана	sultan	N;DEF;MASC;SG	N;INDF;MASC;SG
етика	etica	етика	etică	N;INDF;FEM;SG	N;DEF;FEM;SG
етика	etica	етика	etică	N;INDF;FEM;SG	N;DEF;FEM;SG
цивилни	civil	цивилен	civil	ADJ;INDF;PL	ADJ;INDF;MASC;SG
цивилни	civila	цивилен	civil	ADJ;INDF;PL	ADJ;DEF;FEM;SG
цивилни	civili	цивилен	civil	ADJ;INDF;PL	N;INDF;MASC;PL
