steven	стивен	stevnout	стивный	PROPN;ANIM;NOM;MASC;SG;POS	N;ANIM;NOM;MASC;SG
vodíku	водород	vodík	водород	N;INAN;GEN;MASC;SG;POS	N;INAN;NOM;MASC;SG
ekonomická	экономические	ekonomický	экономический	ADJ;NOM;FEM;SG;POS	ADJ;NOM;PL
ekonomická	экономического	ekonomický	экономический	ADJ;NOM;FEM;SG;POS	ADJ;GEN;MASC;SG
ekonomická	экономика	ekonomický	экономика	ADJ;NOM;FEM;SG;POS	N;INAN;NOM;FEM;SG
senát	сенате	senát	сенат	N;INAN;NOM;MASC;SG;POS	N;INAN;ESS;MASC;SG
indické	индеец	indický	индеец	ADJ;NOM;MASC;SG;POS	N;ANIM;NOM;MASC;SG
indické	индии	indický	индия	ADJ;NOM;MASC;SG;POS	N;INAN;NOM;FEM;SG
důvěru	уверенность	důvěra	уверенность	N;ACC;FEM;SG;POS	N;INAN;NOM;FEM;SG
důvěru	доверие	důvěra	доверие	N;ACC;FEM;SG;POS	N;INAN;NOM;NEUT;SG
důvěru	доверие	důvěra	доверие	N;ACC;FEM;SG;POS	N;INAN;NOM;NEUT;SG
důvěru	доверять	důvěra	доверять	N;ACC;FEM;SG;POS	V;IPFV;NFIN;ACT
důvěru	довериться	důvěra	довериться	N;ACC;FEM;SG;POS	V;PFV;NFIN;MID
irský	ирландец	irský	ирландец	ADJ;ANIM;NOM;MASC;SG;POS	N;ANIM;NOM;MASC;SG
irský	ирландии	irský	ирландия	ADJ;ANIM;NOM;MASC;SG;POS	N;INAN;NOM;FEM;PL
afc	афк	afc	афк	PROPN;MASC;SG;POS	N;INAN;NOM;MASC;SG
ředitelství	директората	ředitelství	директорат	N;NOM;NEUT;SG;POS	N;INAN;GEN;MASC;SG
písemné	написано	písemný	писать	ADJ;NOM;NEUT;SG;POS	V;PFV;NEUT;SG;PST;V.PTCP;PASS
písemné	письменные	písemný	письменный	ADJ;NOM;NEUT;SG;POS	ADJ;NOM;PL
vzduchem	воздухе	vzduch	воздух	N;INAN;INS;MASC;SG;POS	N;INAN;ESS;MASC;SG
vyhráli	победила	vyhrát	победить	V;ANIM;MASC;PL;POS;PST;V.PTCP;ACT	V;PFV;FEM;IND;SG;PST;FIN;ACT
