til	за	til	за	ADV	ADP
den	на	den	на	PRO;ACC;MASC+FEM;SG;3	ADP
med	със	med	със	ADV	ADP
var	бе	være	съм	V;IND;PST;FIN;ACT	V;IPFV;IND;SG;3;PST;FIN;ACT
var	бяха	være	съм	V;IND;PST;FIN;ACT	V;IPFV;IND;PL;3;PST;FIN;ACT
blev	бе	blive	съм	V;IND;PST;FIN;ACT	V;IPFV;IND;SG;3;PST;FIN;ACT
han	хан	han	хан	PRO;NOM;MASC+FEM;SG;3	N;INDF;MASC;SG
fra	от	fra	от	ADV	ADP
ikke	не	ikke	не	ADV	INTJ;NEG
efter	след	efter	след	ADV	ADP
sig	кажи	sig	кажа	PRO;ACC;3;REFL	V;PFV;IMP;SG;2;FIN
kan	май	kunne	май	V;IND;PRS;FIN;ACT	PROPN;INDF;MASC;SG
kan	can	kunne	can	V;IND;PRS;FIN;ACT	PROPN;INDF;MASC;SG
score	резултат	score	резултат	V;NFIN;ACT	N;INDF;MASC;SG
under	под	under	под	ADV	ADP
hans	ханс	hans	ханс	DET;3	PROPN;INDF;MASC;SG
hans	му	hans	мой	DET;3	PRO;DAT;MASC;SG;3
over	над	over	над	ADV	ADP
over	над	over	над	ADV	ADP
første	първо	første	първо	ADJ	ADV
mod	срещу	mod	срещу	N;INDF;NEUT;SG	ADP
mod	против	mod	против	N;INDF;NEUT;SG	ADP
andre	друго	anden	друг	PRO;PL	ADV
andre	друг	anden	друг	PRO;PL	ADJ;INDF;MASC;SG
andre	други	anden	друг	PRO;PL	ADJ;INDF;PL
andre	другите	anden	друг	PRO;PL	ADJ;DEF;PL
andre	други	anden	друг	PRO;PL	ADJ;INDF;PL
del	дел	del	дел	N;INDF;MASC+FEM;SG	PROPN
del	del	del	del	N;INDF;MASC+FEM;SG	PROPN
del	сподели	del	споделя	N;INDF;MASC+FEM;SG	V;PFV;IMP;SG;2;FIN
del	споделете	del	споделя	N;INDF;MASC+FEM;SG	V;PFV;IMP;PL;2;FIN
