til	für	til	für	ADV	ADP
den	die	den	der	PRO;ACC;MASC+FEM;SG;3	DET;NOM;DEF;FEM;SG
den	der	den	der	PRO;ACC;MASC+FEM;SG;3	DET;NOM;DEF;MASC;SG
den	dem	den	der	PRO;ACC;MASC+FEM;SG;3	PRO;DAT;NEUT;SG
den	den	den	der	PRO;ACC;MASC+FEM;SG;3	DET;ACC;DEF;MASC;SG
den	das	den	der	PRO;ACC;MASC+FEM;SG;3	PRO;NOM;NEUT;SG
med	mit	med	mit	ADV	ADP
var	war	være	sein	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
var	wurde	være	werden	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN;PASS
var	wurden	være	werden	V;IND;PST;FIN;ACT	V;IND;PL;3;PST;FIN;PASS
var	waren	være	sein	V;IND;PST;FIN;ACT	V;IND;PL;3;PST;FIN
blev	wurden	blive	werden	V;IND;PST;FIN;ACT	V;IND;PL;3;PST;FIN;PASS
blev	wurde	blive	werden	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN;PASS
blev	geworden	blive	werden	V;IND;PST;FIN;ACT	V;V.PTCP
blev	war	blive	sein	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
blev	wurde	blive	werden	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN;PASS
han	han	han	han	PRO;NOM;MASC+FEM;SG;3	
fra	vom	fra	vom	ADV	
fra	von	fra	von	ADV	ADP
fra	ab	fra	ab	ADV	ADP
fra	aus	fra	aus	ADV	ADP
har	got	have	got	V;IND;PRS;FIN;ACT	PROPN
har	habe	have	haben	V;IND;PRS;FIN;ACT	V;SBJV;SG;3;PRS;FIN
har	hab	have	haben	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
har	habe	have	haben	V;IND;PRS;FIN;ACT	V;SBJV;SG;3;PRS;FIN
ved	weiss	vide	wissen	V;IND;PRS;FIN;ACT	
ikke	not	ikke	not	ADV	PROPN;SG
ikke	nicht	ikke	nicht	ADV	PART;NEG
ikke	kein	ikke	kein	ADV	PRO;NOM;INDF;MASC;SG;NEG
men	doch	men	doch	CONJ	ADV
men	allerdings	men	allerdings	CONJ	ADV
men	but	men	bun	CONJ	
men	jedoch	men	jedoch	CONJ	ADV
også	zu	også	zu	ADV	PART
også	too	også	too	ADV	ADJ
efter	nach	efter	nach	ADV	ADP
efter	after	efter	aft	ADV	PROPN;NOM;SG
efter	nachdem	efter	nachdem	ADV	CONJ
sig	say	sig	seyen	PRO;ACC;3;REFL	PROPN
sig	sagen	sig	sagen	PRO;ACC;3;REFL	V;NFIN
sig	sag	sig	saugen	PRO;ACC;3;REFL	
sig	sagt	sig	sagen	PRO;ACC;3;REFL	V;IND;SG;3;PRS;FIN
kan	mai	kunne	mai	V;IND;PRS;FIN;ACT	PROPN;NOM;MASC;SG
kan	kann	kunne	können	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
kan	may	kunne	maylen	V;IND;PRS;FIN;ACT	PROPN
kan	möge	kunne	mögen	V;IND;PRS;FIN;ACT	V;SBJV;SG;3;PRS;FIN
kan	darf	kunne	dürfen	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
kan	kann	kunne	können	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
kan	können	kunne	können	V;IND;PRS;FIN;ACT	V;IND;PL;3;PRS;FIN
kan	can	kunne	can	V;IND;PRS;FIN;ACT	
kan	kannst	kunne	können	V;IND;PRS;FIN;ACT	V;IND;SG;2;PRS;FIN
score	punktzahl	score	punktzahl	V;NFIN;ACT	N
score	score	score	scoren	V;NFIN;ACT	PROPN
score	filmmusik	score	filmmusik	V;NFIN;ACT	N
score	punktzahl	score	punktzahl	V;NFIN;ACT	N
