til	برای	til	برای	ADV	ADP
den	را	den	را	PRO;ACC;MASC+FEM;SG;3	PART
med	با	med	با	ADV	ADP
blev	درنگ	blive	درنگ	V;IND;PST;FIN;ACT	N;SG
han	هان	han	هان	PRO;NOM;MASC+FEM;SG;3	INTJ
fra	از	fra	از	ADV	ADP
har	has	have	has	V;IND;PRS;FIN;ACT	
ved	بدانند	vide	دانست#دان	V;IND;PRS;FIN;ACT	V;SBJV;PL;3;PRS
ved	بدانید	vide	None	V;IND;PRS;FIN;ACT	V;IMP;PL;2
også	همچنین	også	همچنین	ADV	CONJ
også	همچنین	også	همچنین	ADV	CONJ
sig	بگویید	sig	None	PRO;ACC;3;REFL	V;SBJV;PL;2;PRS
sig	بگو	sig	None	PRO;ACC;3;REFL	V;IMP;SG;2
kan	می	kunne	می	V;IND;PRS;FIN;ACT	
kan	مه	kunne	مه	V;IND;PRS;FIN;ACT	N;SG
kan	تا	kunne	تا	V;IND;PRS;FIN;ACT	ADP
score	نمره	score	نمره	V;NFIN;ACT	N;SG
score	امتیاز	score	امتیاز	V;NFIN;ACT	N;SG
score	امتیازهای	score	امتیاز	V;NFIN;ACT	N;PL
score	امتیازات	score	امتیاز	V;NFIN;ACT	N;PL
score	نمرات	score	نمرت	V;NFIN;ACT	N;PL
score	نمره	score	نمره	V;NFIN;ACT	N;SG
hvor	کجای	hvor	کجا	ADV	CONJ
havde	had	have	had	V;IND;PST;FIN;ACT	
under	زیر	under	زیر	ADV	ADP
under	تحت	under	تحت	ADV	ADP
under	زیر	under	زیر	ADV	ADP
hans	هانس	hans	هانس	DET;3	N;SG
hans	او	hans	او	DET;3	PRO;SG;3
over	فراز	over	فراز	ADV	N;SG
første	ابتدا	første	ابتدا	ADJ	N;SG
første	نخستین	første	نخستین	ADJ	ADJ;RL
dansk	دانمارکی	dansk	دانمارکی	ADJ;INDF;SG	N;SG
dansk	دانمارک	dansk	دانمارک	ADJ;INDF;SG	N;SG
hun	اون	hun	None	PRO;NOM;MASC+FEM;SG;3	
andre	دیگر	anden	دیگر	PRO;PL	ADV
andre	غیره	anden	غیره	PRO;PL	N;SG
andre	دیگر	anden	دیگر	PRO;PL	ADV
denne	این	denne	این	PRO;MASC+FEM;SG	DET
født	متولد	føde	متولد	V;INDF;SG;PST;V.PTCP	ADJ
født	زاده	føde	زاده	V;INDF;SG;PST;V.PTCP	N;SG
flere	چندین	mange	چندین	ADJ;CMPR;PL	ADJ
flere	چندگانه	mange	چندگانه	ADJ;CMPR;PL	ADJ
flere	چندین	mange	چندین	ADJ;CMPR;PL	ADJ
flere	دیگر	mange	دیگر	ADJ;CMPR;PL	ADV
