sejler	voile	sejle	voile	V;IND;PRS;FIN;ACT	N;FEM;SG
roma	rom	roma	rom		N;FEM;SG
roma	roms	roma	rom		N;MASC;PL
roma	tzigane	roma	tzigane		ADJ;MASC;SG
roma	roma	roma	roma		PROPN
hebraisk	hébreu	hebraisk	hébreu	ADJ;INDF;SG	N;MASC;SG
hebraisk	hébreux	hebraisk	hébreux	ADJ;INDF;SG	N;MASC;PL
ehf	ehf	ehf	ehf	PROPN	PROPN
spænding	tensions	spænding	tension	N;INDF;MASC+FEM;SG	N;FEM;PL
spænding	suspens	spænding	suspens	N;INDF;MASC+FEM;SG	ADJ;MASC;SG
løsladt	libérés	løsladt	libérer	V;INDF;SG;PST;V.PTCP	V;MASC;PL;PST;V.PTCP
lloyd	lloyd	lloyd	lloyd		PROPN
planlægning	planifier	planlægning	planifier	N;INDF;MASC+FEM;SG	V;NFIN
made	fait	made	faire		V;MASC;SG;PST;V.PTCP
made	fabriqués	made	fabriquer		V;MASC;PL;PST;V.PTCP
made	faite	made	faire		V;FEM;SG;PST;V.PTCP
made	fabriqué	made	fabriquer		V;MASC;SG;PST;V.PTCP
fløjte	siffle	fløjte	siffle	N;INDF;MASC+FEM;SG	V;IND;SG;3;PRS;FIN
fløjte	siffler	fløjte	siffler	N;INDF;MASC+FEM;SG	V;NFIN
fløjte	flûtes	fløjte	flûte	N;INDF;MASC+FEM;SG	N;FEM;PL
romantiske	romantisme	romantisk	romantisme	ADJ;PL	N;MASC;SG
romantiske	romantique	romantisk	romantique	ADJ;PL	ADJ;MASC;SG
delstater	lander	delstat	lander	N;INDF;MASC+FEM;PL	PROPN
delstater	lander	delstat	lander	N;INDF;MASC+FEM;PL	PROPN
tykke	chubby	tyk	chubby	ADJ;PL	N;MASC;SG
tykke	épaisse	tyk	épais	ADJ;PL	ADJ;FEM;SG
tykke	épais	tyk	épais	ADJ;PL	ADJ;MASC;SG
tykke	grasse	tyk	gras	ADJ;PL	ADJ;FEM;SG
tykke	gras	tyk	gras	ADJ;PL	ADJ;MASC;SG
tykke	graisseux	tyk	graisseux	ADJ;PL	ADJ;MASC;SG
ball	boule	ball	boule		N;FEM;SG
ball	ball	ball	ball		PROPN
ball	balle	ball	balle		N;FEM;SG
ball	ballon	ball	ballon		N;MASC;SG
tel	tél	tel	tél		N;MASC;SG
tel	tel	tel	tel		ADJ;MASC;SG
zoo	zoos	zoo	zoos	N;INDF;MASC+FEM;SG	N;MASC;PL
zoo	zoologique	zoo	zoologique	N;INDF;MASC+FEM;SG	ADJ;MASC;SG
kenya	kenya	kenya	kenya	PROPN	PROPN
tjekkisk	tchèque	tjekkisk	tchèque	ADJ;INDF;SG	N;MASC;SG
tjekkisk	tchèques	tjekkisk	tchèque	ADJ;INDF;SG	ADJ;MASC;PL
mogensen	mogensen	mogensen	mogensen	PROPN	PROPN
indsigt	insight	indsigt	insight	N;INDF;MASC+FEM;SG	PROPN
blåt	bleu	blå	bleu	ADJ;INDF;NEUT;SG	N;MASC;SG
blåt	bleus	blå	bleu	ADJ;INDF;NEUT;SG	ADJ;MASC;PL
blåt	bleues	blå	bleu	ADJ;INDF;NEUT;SG	ADJ;FEM;PL
jennifer	jennifer	jennif	jennifer	N;INDF;MASC+FEM;SG	PROPN
glemt	oubli	glemme	oubli	V;INDF;SG;PST;V.PTCP	N;MASC;SG
glemt	oubliés	glemme	oublier	V;INDF;SG;PST;V.PTCP	V;MASC;PL;PST;V.PTCP
glemt	oubliées	glemme	oublier	V;INDF;SG;PST;V.PTCP	V;FEM;PL;PST;V.PTCP
glemt	oubli	glemme	oubli	V;INDF;SG;PST;V.PTCP	N;MASC;SG
scottish	ecossais	scottish	ecossais		ADJ;MASC;SG
scottish	écossaise	scottish	écossais		ADJ;FEM;SG
scottish	écossais	scottish	écossais		ADJ;MASC;SG
meddelelser	avis	meddelelse	avis	N;INDF;MASC+FEM;PL	N;MASC;SG
meddelelser	alertes	meddelelse	alerte	N;INDF;MASC+FEM;PL	V;FEM;PL;PST;V.PTCP
kings	rois	kings	roi		N;MASC;PL
kings	kings	kings	king		N;MASC;PL
larry	larry	larry	larry		PROPN
tynde	maigre	tynd	maigre	ADJ;PL	ADJ;MASC;SG
tynde	maigre	tynd	maigre	ADJ;PL	ADJ;MASC;SG
tynde	mince	tynd	mince	ADJ;PL	ADJ;MASC;SG
luke	luke	luke	luke	N;INDF;MASC+FEM;SG	PROPN
måne	lunaire	måne	lunaire	N;INDF;MASC+FEM;SG	ADJ;MASC;SG
måne	moon	måne	moon	N;INDF;MASC+FEM;SG	PROPN
regn	pluies	regn	pluie	N;INDF;MASC+FEM;SG	N;FEM;PL
regn	rain	regn	rain	N;INDF;MASC+FEM;SG	PROPN
nedbør	précipitations	nedbør	précipitation	N;INDF;MASC+FEM;SG	N;FEM;PL
nedbør	pluies	nedbør	pluie	N;INDF;MASC+FEM;SG	N;FEM;PL
nedbør	précipitations	nedbør	précipitation	N;INDF;MASC+FEM;SG	N;FEM;PL
strækninger	étire	strækning	étirer	N;INDF;MASC+FEM;PL	V;IND;SG;3;PRS;FIN
malta	malte	malta	malte	N;INDF;MASC+FEM;SG	PROPN
glasgow	glasgow	glasgow	glasgow	PROPN	PROPN
secret	secrets	secret	secret		ADJ;MASC;PL
secret	secret	secret	secret		ADJ;MASC;SG
secret	secrète	secret	secret		ADJ;FEM;SG
kulturel	culturels	kulturel	culturel	ADJ;INDF;MASC+FEM;SG	ADJ;MASC;PL
journalister	reporters	journalist	reporter	N;INDF;MASC+FEM;PL	N;MASC;SG
mikhail	mikhail	mikhail	mikhail	PROPN	PROPN
mikhail	mikhaïl	mikhail	mikhaïl	PROPN	PROPN
stan	stan	stan	stan	N;INDF;MASC+FEM;SG	PROPN
mil	milles	mil	mille	N;INDF;MASC+FEM;SG	N;MASC;PL
mil	kilomètres	mil	kilomètre	N;INDF;MASC+FEM;SG	N;MASC;PL
mil	miles	mil	mile	N;INDF;MASC+FEM;SG	N;MASC;PL
mil	mil	mil	mil	N;INDF;MASC+FEM;SG	
