til	para	til	para	ADV	ADP
den	el	den	el	PRO;ACC;MASC+FEM;SG;3	DET;DEF;MASC;SG
den	las	den	él	PRO;ACC;MASC+FEM;SG;3	PRO;ACC;FEM;PL;3
den	los	den	él	PRO;ACC;MASC+FEM;SG;3	PRO;ACC;MASC;PL;3
med	con	med	con	ADV	ADP
der	ahi	der	ahi	ADV	INTJ
var	fue	være	ser	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
var	estaba	være	estar	V;IND;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
var	era	være	ser	V;IND;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
var	eran	være	ser	V;IND;PST;FIN;ACT	V;IND;PL;3;IPFV;FIN
var	estaban	være	estar	V;IND;PST;FIN;ACT	V;IND;PL;3;IPFV;FIN
var	fueron	være	ser	V;IND;PST;FIN;ACT	V;IND;PL;3;PST;FIN
blev	fue	blive	ser	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
blev	estaba	blive	estar	V;IND;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
blev	era	blive	ser	V;IND;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
blev	permanecido	blive	permanecer	V;IND;PST;FIN;ACT	ADJ;MASC;SG;V.PTCP
han	han	han	haber	PRO;NOM;MASC+FEM;SG;3	V;IND;PL;3;PRS;FIN
fra	from	fra	from	ADV	N
fra	de	fra	de	ADV	ADP
fra	desde	fra	desde	ADV	ADP
har	got	have	got	V;IND;PRS;FIN;ACT	PROPN
har	consiguió	have	conseguir	V;IND;PRS;FIN;ACT	V;IND;SG;3;PST;FIN
har	ha	have	haber	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
har	tengan	have	tener	V;IND;PRS;FIN;ACT	V;IMP;PL;3;PRS;FIN
har	han	have	haber	V;IND;PRS;FIN;ACT	V;IND;PL;3;PRS;FIN
ved	conozca	vide	conocer	V;IND;PRS;FIN;ACT	V;IMP;SG;3;FIN
ved	sepa	vide	saber	V;IND;PRS;FIN;ACT	V;IMP;SG;3;FIN
ved	know	vide	know	V;IND;PRS;FIN;ACT	PROPN
ikke	not	ikke	not	ADV	INTJ
også	tambien	også	tambien	ADV	
også	too	også	too	ADV	N
også	tambien	også	tambien	ADV	
efter	despues	efter	despue	ADV	
efter	after	efter	after	ADV	N
efter	tras	efter	tras	ADV	ADP
sig	say	sig	saber	PRO;ACC;3;REFL	PROPN
sig	dí	sig	dí	PRO;ACC;3;REFL	V;IND;SG;1;PST;FIN
sig	decir	sig	decir	PRO;ACC;3;REFL	V;NFIN
sig	diga	sig	decir	PRO;ACC;3;REFL	V;IMP;SG;3;FIN
sig	di	sig	di	PRO;ACC;3;REFL	N
kan	may	kunne	maber	V;IND;PRS;FIN;ACT	
kan	mayo	kunne	mayo	V;IND;PRS;FIN;ACT	N
kan	lata	kunne	lata	V;IND;PRS;FIN;ACT	N;FEM;SG
kan	can	kunne	can	V;IND;PRS;FIN;ACT	PROPN
