medaljen	medalj	medalje	medalj	N;DEF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
carter	carter	carter	cart	N;INDF;MASC+FEM;SG	PROPN;NOM
værdifulde	värdefullt	værdifuld	värdefull	ADJ;PL	ADJ;NOM;INDF;NEUT;SG
værdifulde	värdefull	værdifuld	värdefull	ADJ;PL	ADJ;NOM;INDF;MASC+FEM;SG
udbruddet	utbrott	udbrud	utbrott	N;DEF;NEUT;SG	N;NOM;INDF;NEUT;SG
akademiske	akademisk	akademisk	akademisk	ADJ;PL	ADJ;NOM;INDF;MASC+FEM;SG
akademiske	akademiker	akademisk	akademik	ADJ;PL	N;NOM;INDF;MASC+FEM;PL
akademiske	akademiskt	akademisk	akademisk	ADJ;PL	ADJ;NOM;INDF;NEUT;SG
forstærket	stärkta	forstærke	stärka	V;INDF;SG;PST;V.PTCP	ADJ;NOM;PL;V.PTCP
forstærket	stärkt	forstærke	stärka	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
forstærket	förstärkt	forstærke	förstärka	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
forstærket	förstärkta	forstærke	förstärkta	V;INDF;SG;PST;V.PTCP	ADJ;NOM;PL;PST;V.PTCP
forstærket	förstärkt	forstærke	förstärka	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
forstærket	utökad	forstærke	utöka	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
forstærket	förstärkt	forstærke	förstärka	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
forstærket	förstärkt	forstærke	förstärka	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
forstærket	förstärkta	forstærke	förstärkta	V;INDF;SG;PST;V.PTCP	ADJ;NOM;PL;PST;V.PTCP
forstærket	förbättrad	forstærke	förbättrad	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
forstærket	förstärkt	forstærke	förstärka	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
forstærket	förstärkta	forstærke	förstärkta	V;INDF;SG;PST;V.PTCP	ADJ;NOM;PL;PST;V.PTCP
køber	köpa	købe	köpa	V;IND;PRS;FIN;ACT	V;IMP;NFIN;ACT
køber	köp	købe	köp	V;IND;PRS;FIN;ACT	N;NOM;INDF;NEUT;SG
køber	köpare	købe	köpare	V;IND;PRS;FIN;ACT	N;NOM;INDF;MASC+FEM;PL
køber	köparen	købe	köpare	V;IND;PRS;FIN;ACT	N;NOM;DEF;MASC+FEM;SG
køber	köpa	købe	köpa	V;IND;PRS;FIN;ACT	V;IMP;NFIN;ACT
beskrivelser	beskrivningarna	beskrivelse	beskrivning	N;INDF;MASC+FEM;PL	N;NOM;DEF;MASC+FEM;PL
letlands	lettland	letlands	lettland	N;GEN;INDF;NEUT;SG	PROPN;NOM
letlands	lettiska	letlands	lettisk	N;GEN;INDF;NEUT;SG	ADJ;NOM;PL
nova	nova	nova	nova		N;NOM;INDF;MASC+FEM;SG
row	raden	row	rad		N;NOM;DEF;MASC+FEM;SG
row	rad	row	rad		N;NOM;INDF;MASC+FEM;SG
row	row	row	row		N;NOM;INDF;NEUT;SG
ballerup	ballerup	ballerup	ballerup		PROPN;NOM
inviteret	bjuden	invitere	bjud	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
inviteret	inbjudna	invitere	inbjuda	V;INDF;SG;PST;V.PTCP	ADJ;NOM;PL;PST;V.PTCP
inviteret	inbjuden	invitere	inbjuda	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
voksen	vuxit	voksen	växa	ADJ;INDF;MASC+FEM;SG	V;V.CVB;ACT
voksen	odlas	voksen	odla	ADJ;INDF;MASC+FEM;SG	V;NFIN;PASS
voksen	vuxen	voksen	vuxen	ADJ;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
voksen	vuxen	voksen	vuxen	ADJ;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
voksen	vuxna	voksen	vuxen	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;PL
abu	abu	abu	abu	PROPN	PROPN;NOM
dean	dekanus	dean	dekanus		N;NOM;DEF;MASC+FEM;SG
dean	dean	dean	de		PROPN;NOM
mind	mind	mind	mind		N;NOM;INDF;MASC+FEM;SG
mind	sinnet	mind	sinne		N;NOM;DEF;NEUT;SG
mind	sinne	mind	sinna		N;NOM;INDF;NEUT;SG
cape	cape	cape	cape	N;INDF;MASC+FEM;SG	PROPN;NOM
tempel	templet	tempel	tempel	N;INDF;NEUT;SG	N;NOM;DEF;NEUT;SG
ordrer	order	ordre	ord	N;INDF;MASC+FEM;PL	N;NOM;INDF;MASC+FEM;SG
hovedkontor	huvudkontoret	hovedkontor	huvudkontor	N;INDF;NEUT;SG	N;NOM;DEF;NEUT;SG
hovedkontor	högkvarteret	hovedkontor	högkvarter	N;INDF;NEUT;SG	N;NOM;DEF;NEUT;SG
camilla	camilla	camilla	camill		PROPN;NOM
farlige	farlig	farlig	farlig	ADJ;PL	ADJ;NOM;INDF;MASC+FEM;SG
farlige	farligt	farlig	farlig	ADJ;PL	ADJ;NOM;INDF;NEUT;SG
farlige	farligt	farlig	farlig	ADJ;PL	ADJ;NOM;INDF;NEUT;SG
farlige	riskfyllt	farlig	riskfylld	ADJ;PL	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
magiske	magi	magisk	magi	ADJ;PL	N;NOM;INDF;MASC+FEM;SG
magiske	magiskt	magisk	magisk	ADJ;PL	ADJ;NOM;INDF;NEUT;SG
magiske	magic	magisk	magic	ADJ;PL	N;NOM;INDF;MASC+FEM;SG
magiske	magisk	magisk	magisk	ADJ;PL	ADJ;NOM;INDF;MASC+FEM;SG
magiske	magiskt	magisk	magisk	ADJ;PL	ADJ;NOM;INDF;NEUT;SG
karin	karin	karin	karin		PROPN;NOM
forenet	enhetlig	forenet	enhetlig	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC+FEM;SG
forenet	enade	forenet	enade	V;INDF;SG;PST;V.PTCP	N;NOM;INDF;MASC+FEM;SG
forenet	enad	forenet	enad	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC+FEM;SG
forenet	enat	forenet	enat	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;NEUT;SG
forenet	förenade	forenet	förenade	V;INDF;SG;PST;V.PTCP	ADJ;NOM;PL;PST;V.PTCP
forenet	united	forenet	united	V;INDF;SG;PST;V.PTCP	N;NOM;INDF;MASC+FEM;SG
forenet	enad	forenet	enad	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC+FEM;SG
forenet	enade	forenet	enade	V;INDF;SG;PST;V.PTCP	N;NOM;INDF;MASC+FEM;SG
møn	møn	møn	møn		N;NOM;INDF;MASC+FEM;SG
delta	delta	delta	delta		V;IMP;FIN;ACT
sen	sena	sen	sen	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;PL
sen	försenade	sen	försena	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;PL;PST;V.PTCP
sen	sen	sen	sen	ADJ;INDF;MASC+FEM;SG	ADV
sen	sent	sen	sen	ADJ;INDF;MASC+FEM;SG	ADV
sen	sen	sen	sen	ADJ;INDF;MASC+FEM;SG	ADV
streng	stränga	streng	stränga	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;PL
streng	strikta	streng	strikt	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;PL
streng	sträng	streng	sträng	ADJ;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
streng	snöre	streng	snöra	ADJ;INDF;MASC+FEM;SG	N;NOM;INDF;NEUT;SG
streng	sträng	streng	sträng	ADJ;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
streng	string	streng	string	ADJ;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
tunnel	tunneln	tunnel	tunnel	N;INDF;MASC+FEM;SG	N;NOM;DEF;MASC+FEM;SG
opfyldt	uppfyllt	opfylde	uppfylla	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
opfyldt	uppfyllda	opfylde	uppfylla	V;INDF;SG;PST;V.PTCP	ADJ;NOM;PL;PST;V.PTCP
rolf	ralf	rolf	ralf		PROPN;NOM
rolf	ralph	rolf	ralph		N;NOM;INDF;MASC+FEM;SG
rolf	rolf	rolf	rolf		PROPN;NOM
tina	tina	tina	tin		N;NOM;INDF;MASC+FEM;SG
ulla	ulla	ulla	ull		PROPN;NOM
ronald	ronald	ronald	ronal		N;NOM;INDF;MASC+FEM;SG
nøgle	nyckeln	nøgen	nyckel	N;INDF;MASC+FEM;SG	N;NOM;DEF;MASC+FEM;SG
kopier	kopiera	kopie	kopiera	N;INDF;MASC+FEM;PL	V;IMP;FIN;ACT
kopier	kopia	kopie	kopia	N;INDF;MASC+FEM;PL	N;NOM;INDF;MASC+FEM;SG
kopier	kopiorna	kopie	kopia	N;INDF;MASC+FEM;PL	N;NOM;DEF;MASC+FEM;PL
kopier	exemplar	kopie	exempel	N;INDF;MASC+FEM;PL	N;NOM;INDF;NEUT;SG
kopier	kopierar	kopie	kopiera	N;INDF;MASC+FEM;PL	V;IND;PRS;FIN;ACT
vegas	vegas	vegas	vega		N;NOM;INDF;MASC+FEM;SG
