der	را	der	را	DET;NOM;DEF;MASC;SG	PART
die	را	der	را	DET;NOM;DEF;FEM;SG	PART
den	را	der	را	DET;ACC;DEF;MASC;SG	PART
das	این	der	این	PRO;NOM;NEUT;SG	DET
das	را	der	را	PRO;NOM;NEUT;SG	PART
das	که	der	که	PRO;NOM;NEUT;SG	CONJ
das	داس	der	داس	PRO;NOM;NEUT;SG	N;SG
das	das	der	das	PRO;NOM;NEUT;SG	N;SG
des	des	der	des	DET;GEN;DEF;NEUT;SG	N;SG
des	دس	der	دس	DET;GEN;DEF;NEUT;SG	N;SG
mit	mit	mit	mit	ADP	N;SG
ein	یکی	ein	یک	ADV	NUM
ein	یگانه	ein	یگانه	ADV	N;SG
ein	یک	ein	یک	ADV	NUM
ein	ein	ein	ein	ADV	N;SG
als	als	als	als	ADP	N;SG
dem	را	der	را	PRO;DAT;NEUT;SG	PART
eine	یکی	ein	یک	DET;NOM;INDF;FEM;SG	NUM
eine	یگانه	ein	یگانه	DET;NOM;INDF;FEM;SG	N;SG
eine	یک	ein	یک	DET;NOM;INDF;FEM;SG	NUM
wurde	بود	werden	بود#باش	V;IND;SG;3;PST;FIN;PASS	V;SG;3;PST
auch	حتى	auch	حتى	ADV	
auch	وحتی	auch	وحتی	ADV	CONJ
auch	همچنین	auch	همچنین	ADV	CONJ
auch	همچنین	auch	همچنین	ADV	CONJ
war	بود	sein	بود#باش	V;IND;SG;3;PST;FIN	V;SG;3;PST
bei	bei	bei	bei	ADP	N;SG
aus	aus	aus	aus	ADP	
aus	بیرون	aus	بیرون	ADP	ADV;ESS
aus	برون	aus	برون	ADP	N;SG
sie	تو	sie	تو	PRO;NOM;FEM;SG;3	PRO;SG;2
sie	شما	sie	شما	PRO;NOM;FEM;SG;3	PRO;PL;2
sie	اون	sie	None	PRO;NOM;FEM;SG;3	
sie	اونا	sie	آن	PRO;NOM;FEM;SG;3	N;PL
sie	اونها	sie	اون	PRO;NOM;FEM;SG;3	N;PL
sie	آنها	sie	آن	PRO;NOM;FEM;SG;3	PRO;PL
sie	ایشان	sie	ایشان	PRO;NOM;FEM;SG;3	PRO;PL;3
bis	بیس	bis	بیس	ADP	N;SG
ich	ich	ich	ich	PRO;NOM;SG;1	N;SG
einer	یکی	ein	یک	PRO;NOM;INDF;MASC;SG	NUM
einer	یگانه	ein	یگانه	PRO;NOM;INDF;MASC;SG	N;SG
einer	یک	ein	یک	PRO;NOM;INDF;MASC;SG	NUM
werden	ویل	werden	ویل	V;NFIN;PASS	N;SG
werden	بشوی	werden	بشو	V;NFIN;PASS	V;SBJV;SG;2;PRS
werden	شدن	werden	شدن	V;NFIN;PASS	N;SG
sind	هستند	sein	هست	V;IND;PL;3;PRS;FIN	V;PL;3;PRS
sind	are	sein	are	V;IND;PL;3;PRS;FIN	
oder	اودر	oder	اودر	CONJ	
wird	ویل	werden	ویل	V;IND;SG;3;PRS;FIN;PASS	N;SG
wird	گردد	werden	گشت#گرد	V;IND;SG;3;PRS;FIN;PASS	V;SBJV;SG;3;PRS
score	نمره	scoren	نمره	PROPN	N;SG
score	امتیاز	scoren	امتیاز	PROPN	N;SG
einen	یکی	ein	یک	PRO;ACC;INDF;MASC;SG	NUM
einen	یگانه	ein	یگانه	PRO;ACC;INDF;MASC;SG	N;SG
einen	یک	ein	یک	PRO;ACC;INDF;MASC;SG	NUM
über	via	über	via	ADP	N;SG
über	طریق	über	طریق	ADP	N;SG
über	فراز	über	فراز	ADP	N;SG
wie	چطور	wie	چطور	ADP	ADV
wie	wie	wie	wie	ADP	N;SG
wie	شبیه	wie	شبیه	ADP	ADJ
wie	لایک	wie	لایک	ADP	N;SG
wie	مثل	wie	مثل	ADP	ADV
wie	like	wie	like	ADP	
wie	مانند	wie	مانند	ADP	ADV
nur	nur	nur	nur	ADV	N;SG
nur	نور	nur	نور	ADV	N;SG
hat	has	haben	has	V;IND;SG;3;PRS;FIN	
hat	hat	haben	hat	V;IND;SG;3;PRS;FIN	
hat	کلاه	haben	کلاه	V;IND;SG;3;PRS;FIN	N;SG
artikel	مطلب	artikel	مطلب	ADJ	N;SG
artikel	مقالۀ	artikel	مقالۀ	ADJ	N;SG
artikel	مقاله	artikel	مقاله	ADJ	N;SG
artikel	موارد	artikel	مورد	ADJ	N;PL
artikel	مقالات	artikel	مقاله	ADJ	N;PL
artikel	مقاله	artikel	مقاله	ADJ	N;SG
