sandstein	arenisca	sandstein	arenisca		N;FEM;SG
field	field	falden	field		N
field	campo	falden	campo		N;MASC;SG
marken	marcas	marken	marca	V;NFIN	N;FEM;PL
marken	brand	marken	brand	V;NFIN	N
marken	marca	marken	marca	V;NFIN	N;FEM;SG
marken	marchas	marken	marcha	V;NFIN	N;FEM;PL
marken	marcas	marken	marca	V;NFIN	N;FEM;PL
überführt	condenado	überführen	condenado	V;V.PTCP	ADJ;MASC;SG;V.PTCP
überführt	condenados	überführen	condenado	V;V.PTCP	ADJ;MASC;PL;V.PTCP
überführt	convicto	überführen	convicto	V;V.PTCP	N;MASC;SG
nachts	nights	nachts	night	ADV	N
nachts	noches	nachts	noche	ADV	N;FEM;PL
nachts	nocturno	nachts	nocturno	ADV	ADJ;MASC;SG
nachts	noche	nachts	noche	ADV	N;FEM;SG
nachts	noches	nachts	noche	ADV	N;FEM;PL
nachts	night	nachts	night	ADV	N
lasse	lasse	lassen	lasse	V;IND;SG;3;PRS;FIN	N;MASC;SG
annähernd	aproximar	annähernd	aproximar	ADJ	V;NFIN
annähernd	aproximadamente	annähernd	aproximadamente	ADJ	ADV
annähernd	aproximadamente	annähernd	aproximadamente	ADJ	ADV
rezension	revisar	rezension	revisar	ADJ	V;NFIN
rezension	examen	rezension	examen	ADJ	N;MASC;SG
rezension	revisión	rezension	revisión	ADJ	N;FEM;SG
rezension	reseña	rezension	reseñar	ADJ	N;FEM;SG
fische	peces	fischen	pez		N;MASC;PL
fische	pescados	fischen	pescado		N;MASC;PL
fische	piscis	fischen	piscis		N
fische	pescado	fischen	pescado		N;MASC;SG
fische	pesca	fischen	pesca		N;FEM;SG
fische	peces	fischen	pez		N;MASC;PL
fische	pescados	fischen	pescado		N;MASC;PL
fische	pez	fischen	pez		N;MASC;SG
irgendwas	algo	irgendwas	algo	ADV	PRO;SG
schiller	schiller	schill	schiller	ADJ	N;MASC;SG
sven	sven	sven	sven	PROPN;NOM;MASC;SG	N;MASC;SG
auszug	fragmento	auszusz	fragmento		N;MASC;SG
auszug	fragmento	auszusz	fragmento		N;MASC;SG
auszug	extracto	auszusz	extracto		N;MASC;SG
auszug	extraer	auszusz	extraer		V;NFIN
auszug	extracto	auszusz	extracto		N;MASC;SG
fordert	impulsos	fordern	impulso	V;IND;SG;3;PRS;FIN	N;MASC;PL
fordert	llamadas	fordern	llamado	V;IND;SG;3;PRS;FIN	ADJ;FEM;PL;V.PTCP
fordert	convocatorias	fordern	convocatoria	V;IND;SG;3;PRS;FIN	N;FEM;PL
branche	sector	branch	sector		N;MASC;SG
branche	sectorial	branch	sectorial		ADJ;SG
kleidung	vestidos	kleidung	vestido	N;NOM;FEM;SG	ADJ;MASC;PL;V.PTCP
kleidung	vestir	kleidung	vestir	N;NOM;FEM;SG	V;NFIN
kleidung	vestido	kleidung	vestido	N;NOM;FEM;SG	ADJ;MASC;SG;V.PTCP
kleidung	ropas	kleidung	ropa	N;NOM;FEM;SG	N;FEM;PL
erlaubnis	permiso	erlaubnis	permiso		N;MASC;SG
erlaubnis	autorización	erlaubnis	autorización		N;FEM;SG
eingeschränkt	limited	einschränken	limited	ADJ	N
norman	normandos	norman	normando	PROPN;NOM;SG	N;MASC;PL
norman	norman	norman	normar	PROPN;NOM;SG	N;MASC;SG
player	player	player	player	PROPN	N;SG
player	reproductor	player	reproductor	PROPN	N;MASC;SG
player	jugador	player	jugador	PROPN	N;MASC;SG
player	jugadora	player	jugadora	PROPN	N;FEM;SG
atmosphäre	ambiente	atmosphäre	ambiente	ADJ;NOM;SG	N;MASC;SG
atmosphäre	atmosfera	atmosphäre	atmosfero	ADJ;NOM;SG	N;FEM;SG
atmosphäre	ambiente	atmosphäre	ambiente	ADJ;NOM;SG	N;MASC;SG
atmosphäre	atmósfera	atmosphäre	atmósfera	ADJ;NOM;SG	N;FEM;SG
atmosphäre	ambiente	atmosphäre	ambiente	ADJ;NOM;SG	N;MASC;SG
atmosphäre	ambiente	atmosphäre	ambiente	ADJ;NOM;SG	N;MASC;SG
siemens	siemens	siemens	siemens		N;MASC;SG
ernest	ernest	ernest	ernest	PROPN;NOM;MASC;SG	N;MASC;SG
ernest	ernesto	ernest	ernesto	PROPN;NOM;MASC;SG	N;MASC;SG
wen	oms	wer	oms	ADV	N;FEM;SG
wen	quiénes	wer	quién	ADV	PRO;PL
wen	quién	wer	quién	ADV	PRO;SG
wen	quien	wer	quien	ADV	PRO;SG
wen	wen	wer	wen	ADV	PROPN
bestattet	sepultado	bestatten	sepultado	V;V.PTCP	ADJ;MASC;SG;V.PTCP
bestattet	enterrada	bestatten	enterrado	V;V.PTCP	ADJ;FEM;SG;V.PTCP
bestattet	enterrados	bestatten	enterrar	V;V.PTCP	ADJ;MASC;PL;V.PTCP
bestattet	enterrado	bestatten	enterrado	V;V.PTCP	ADJ;MASC;SG;V.PTCP
geprüft	comprobada	prüfen	comprobado	V;V.PTCP	ADJ;FEM;SG;V.PTCP
geprüft	verificado	prüfen	verificar	V;V.PTCP	ADJ;MASC;SG;V.PTCP
geprüft	verificada	prüfen	verificado	V;V.PTCP	ADJ;FEM;SG;V.PTCP
geprüft	verificadas	prüfen	verificado	V;V.PTCP	ADJ;FEM;PL;V.PTCP
geprüft	comprobado	prüfen	comprobar	V;V.PTCP	ADJ;MASC;SG;V.PTCP
geprüft	comprobados	prüfen	comprobado	V;V.PTCP	ADJ;MASC;PL;V.PTCP
geprüft	probada	prüfen	probado	V;V.PTCP	ADJ;FEM;SG;V.PTCP
geprüft	probados	prüfen	probado	V;V.PTCP	ADJ;MASC;PL;V.PTCP
geprüft	probado	prüfen	probado	V;V.PTCP	ADJ;MASC;SG;V.PTCP
geprüft	comprobado	prüfen	comprobar	V;V.PTCP	ADJ;MASC;SG;V.PTCP
geprüft	revisados	prüfen	revisado	V;V.PTCP	ADJ;MASC;PL;V.PTCP
geprüft	revisadas	prüfen	revisar	V;V.PTCP	ADJ;FEM;PL;V.PTCP
