και	وال	και	وَال	CONJ	N;NOM;DEF;SG
το	th	ο	th	DET;NOM;DEF;NEUT;SG	
το	ال	ο	اَل	DET;NOM;DEF;NEUT;SG	PART
από	f	από	!	ADP	
με	w	με	!	ADP	
που	ايهما	που	ايهما	PRO;ACC;NEUT;SG;3	
που	الذي	που	اَلَّذِي	PRO;ACC;NEUT;SG;3	DET;NOM;MASC;SG
που	والذي	που	والذي	PRO;ACC;NEUT;SG;3	N;NOM;DEF;SG
για	لاجل	για	لاجل	ADP	
τους	هم	μου	هُوَ	PRO;GEN;MASC;PL;3	PRO;NOM;MASC;PL;3
ήταν	كانت	είμαι	كَان	V;IPFV;IND;SG;3;PST;FIN;PASS	V;PFV;FEM;SG;3;ACT
ήταν	كان	είμαι	كَان	V;IPFV;IND;SG;3;PST;FIN;PASS	V;PFV;MASC;SG;3;ACT
ένα	احد	ένας	أَحَد	NUM;NOM;NEUT;SG	N;NOM;INDF;SG
ένα	واحدة	ένας	وَاحِد	NUM;NOM;NEUT;SG	ADJ;NOM;INDF;FEM;SG
ένα	واحد	ένας	وَاحِد	NUM;NOM;NEUT;SG	ADJ;NOM;INDF;MASC;SG
ένα	واحده	ένας	واحده	NUM;NOM;NEUT;SG	PRO;NOM;MASC;SG;3
ότι	هذا	ότι	هٰذَا	CONJ	DET;NOM;MASC;SG
ότι	ذلك	ότι	ذلك	CONJ	
μια	احد	ένας	أَحَد	NUM;NOM;FEM;SG	N;NOM;INDF;SG
μια	واحدة	ένας	وَاحِد	NUM;NOM;FEM;SG	ADJ;NOM;INDF;FEM;SG
μια	واحد	ένας	وَاحِد	NUM;NOM;FEM;SG	ADJ;NOM;INDF;MASC;SG
μια	واحده	ένας	واحده	NUM;NOM;FEM;SG	PRO;NOM;MASC;SG;3
θα	ويل	θα	وِيل	PART	
θα	راح	θα	رَاح	PART	
αλλά	لكن	αλλά	لكن	CONJ	
αλλά	بس	αλλά	بِسّ	CONJ	
αλλά	ولكن	αλλά	ولكن	CONJ	
μετά	بعدها	μετά	بعدها	ADV	PRO;NOM;MASC;SG;3
μετά	ثم	μετά	ثُمَّ	ADV	CONJ
μετά	اذا	μετά	إِذَا	ADV	CONJ
μετά	بعدما	μετά	بَعدَمَا	ADV	CONJ
μετά	بعد	μετά	بَعدَ	ADV	ADP;NOM
επίσης	كمان	επίσης	كَمَان	ADV	
όπως	مثل	όπως	مِثلَ	ADV	ADP;NOM
όπως	لايك	όπως	لَايك	ADV	
ενώ	بينما	ενώ	بَينَمَا	CONJ	CONJ
δύο	اثنان	δύο	اِثنَان	NUM;NOM;MASC;PL	N;NOM;INDF;SG
αυτό	هذا	αυτός	هٰذَا	PRO;NOM;NEUT;SG;3	DET;NOM;MASC;SG
αυτό	هذه	αυτός	هٰذَا	PRO;NOM;NEUT;SG;3	DET;NOM;FEM;SG
αυτό	هذا	αυτός	هٰذَا	PRO;NOM;NEUT;SG;3	DET;NOM;MASC;SG
αυτό	ذلك	αυτός	ذلك	PRO;NOM;NEUT;SG;3	
αυτή	انها	αυτός	انها	PRO;NOM;FEM;SG;3	
αυτή	هي	αυτός	هُوَ	PRO;NOM;FEM;SG;3	PRO;NOM;FEM;SG;3
όπου	حيثما	όπου	حَيثَمَا	ADV	CONJ
όπου	اينما	όπου	أَينَمَا	ADV	CONJ
όπου	اين	όπου	أَينَ	ADV	DET
όπου	حيث	όπου	حَيثُ	ADV	CONJ
όταν	حين	όταν	حِينَ	CONJ	ADP;ACC
όταν	عندما	όταν	عِندَمَا	CONJ	CONJ
όταν	متى	όταν	مَتَى	CONJ	DET
μέχρι	حتى	μέχρι	حَتَّى	ADP	ADV
μία	احد	ένας	أَحَد	NUM;NOM;FEM;SG	N;NOM;INDF;SG
μία	واحدة	ένας	وَاحِد	NUM;NOM;FEM;SG	ADJ;NOM;INDF;FEM;SG
μία	واحد	ένας	وَاحِد	NUM;NOM;FEM;SG	ADJ;NOM;INDF;MASC;SG
μία	واحده	ένας	واحده	NUM;NOM;FEM;SG	PRO;NOM;MASC;SG;3
μπορεί	يم	μπορώ	يم	V;IPFV;IND;SG;3;PRS;FIN;ACT	
ομάδα	فرقة	ομάδα	فِرقَة	N;ACC;FEM;SG	N;NOM;INDF;SG
ομάδα	الفرقة	ομάδα	فِرقَة	N;ACC;FEM;SG	N;NOM;DEF;SG
ομάδα	مجموعة	ομάδα	مَجمُوعَة	N;ACC;FEM;SG	N;NOM;INDF;SG
ομάδα	المجموعة	ομάδα	مَجمُوعَة	N;ACC;FEM;SG	N;NOM;DEF;SG
ομάδα	الفريق	ομάδα	فَرِيق	N;ACC;FEM;SG	N;NOM;DEF;SG
ομάδα	فريق	ομάδα	فَرِيق	N;ACC;FEM;SG	N;NOM;INDF;SG
θέση	موقف	θέση	مَوقِف	N;ACC;FEM;SG	N;NOM;INDF;SG
θέση	المنصب	θέση	مَنصِب	N;ACC;FEM;SG	N;NOM;DEF;SG
θέση	الموضع	θέση	مُوَضَّع	N;ACC;FEM;SG	N;NOM;DEF;SG
θέση	الموقف	θέση	مَوقِف	N;ACC;FEM;SG	N;NOM;DEF;SG
χρόνια	مزمن	χρόνος	مزمن	N;NOM;NEUT;PL	N;NOM;INDF;SG
χρόνια	مزمنة	χρόνος	مُزمِن	N;NOM;NEUT;PL	ADJ;NOM;INDF;FEM;SG
χρόνια	المزمنة	χρόνος	مُزمِن	N;NOM;NEUT;PL	N;NOM;DEF;SG
χρόνια	المزمن	χρόνος	مَزمَن	N;NOM;NEUT;PL	N;NOM;DEF;SG
πρώτη	اول	πρώτος	أَوَّل	NUM;NOM;FEM;SG	ADJ;NOM;INDF;MASC;SG
πρώτη	اولا	πρώτος	أَوَّل	NUM;NOM;FEM;SG	ADJ;ACC;INDF;MASC;SG
πρώτη	الاول	πρώτος	أَوَّل	NUM;NOM;FEM;SG	ADJ;NOM;DEF;MASC;SG
πρώτη	الاولى	πρώτος	أَوَّل	NUM;NOM;FEM;SG	ADJ;NOM;DEF;FEM;SG
πιο	المزيد	πιο	مَزِيد	ADV	N;NOM;DEF;SG
πιο	اكتر	πιο	أَكتَر	ADV	
πιο	اكثر	πιο	أَكثَر	ADV	ADJ;NOM;INDF;MASC;SG
πιο	مزيد	πιο	مَزِيد	ADV	N;NOM;INDF;SG
ένας	احد	ένας	أَحَد	DET;NOM;INDF;MASC;SG	N;NOM;INDF;SG
ένας	واحدة	ένας	وَاحِد	DET;NOM;INDF;MASC;SG	ADJ;NOM;INDF;FEM;SG
ένας	واحد	ένας	وَاحِد	DET;NOM;INDF;MASC;SG	ADJ;NOM;INDF;MASC;SG
ένας	واحده	ένας	واحده	DET;NOM;INDF;MASC;SG	PRO;NOM;MASC;SG;3
πόλη	تاون	πόλη	تَاون	N;NOM;FEM;SG	
πόλη	المدينه	πόλη	المدينه	N;NOM;FEM;SG	
πόλη	سيتي	πόλη	سِيتِي	N;NOM;FEM;SG	
σύνδεσμοι	الوصلات	σύνδεσμος	وُصلَة	N;ACC;MASC;SG	N;NOM;DEF;PL
σύνδεσμοι	الصلات	σύνδεσμος	صَلَة	N;ACC;MASC;SG	N;NOM;DEF;PL
σύνδεσμοι	روابط	σύνδεσμος	روابط	N;ACC;MASC;SG	N;NOM;INDF;PL
σύνδεσμοι	الروابط	σύνδεσμος	رَابِطَة	N;ACC;MASC;SG	N;NOM;DEF;PL
σύνδεσμοι	وصلات	σύνδεσμος	وُصلَة	N;ACC;MASC;SG	N;NOM;INDF;PL
έγινε	معمول	γίνομαι	مَعمُول	V;PFV;IND;SG;3;PST;FIN;PASS	ADJ;NOM;INDF;MASC;SG
έγινε	فعلت	γίνομαι	فَعَل	V;PFV;IND;SG;3;PST;FIN;PASS	V;PFV;FEM;SG;3;ACT
έγινε	تمت	γίνομαι	تَمّ	V;PFV;IND;SG;3;PST;FIN;PASS	V;PFV;FEM;SG;3;ACT
έγινε	تم	γίνομαι	تَمّ	V;PFV;IND;SG;3;PST;FIN;PASS	V;PFV;MASC;SG;3;ACT
έγινε	انتهيت	γίνομαι	اِنتَهَى	V;PFV;IND;SG;3;PST;FIN;PASS	V;PFV;FEM;SG;3;ACT
πολύ	جدا	πολύ	جِدّ	ADV	N;ACC;INDF;SG
περιοχή	الاقليم	περιοχή	إِقلِيم	N;NOM;FEM;SG	
περιοχή	اقليم	περιοχή	اقليم	N;NOM;FEM;SG	
αιώνα	قرن	αιώνας	قَرن	N;ACC;MASC;SG	N;NOM;INDF;SG
αιώνα	القرن	αιώνας	قَرن	N;ACC;MASC;SG	N;NOM;DEF;SG
αθήνα	اثينا	αθήνα	أَثِينَا	PROPN;ACC;FEM;SG	
περίοδο	الفترة	περίοδος	فَترَة	N;ACC;FEM;SG	N;NOM;DEF;SG
περίοδο	فترة	περίοδος	فَترَة	N;ACC;FEM;SG	N;NOM;INDF;SG
τότε	بعدها	τότε	بعدها	ADV	PRO;NOM;MASC;SG;3
τότε	ثم	τότε	ثُمَّ	ADV	CONJ
τότε	اذا	τότε	إِذَا	ADV	CONJ
ελλάδα	يونان	ελλάδα	يونان	PROPN;ACC;FEM;SG	
ελλάδα	اليونان	ελλάδα	يُونَان	PROPN;ACC;FEM;SG	N;NOM;DEF;SG
σήμερα	اليوم	σήμερα	يَوم	ADV	N;ACC;DEF;SG
μέσα	داخل	μέσα	دَاخِلَ	ADV	ADP;ACC
μέσα	للداخل	μέσα	لِ	ADV	N;NOM;DEF;SG
μέσα	داخلي	μέσα	دَاخِلِيّ	ADV	ADJ;NOM;INDF;MASC;SG
μέσα	بالداخل	μέσα	بِ	ADV	N;GEN;DEF;SG
μέσα	الداخل	μέσα	دَاخِل	ADV	N;NOM;DEF;SG
πως	ازاي	πως	إِزَايَ	CONJ	
πως	شلون	πως	شَلّ	CONJ	
πως	كيف	πως	كَيفَ	CONJ	DET
μαζί	سويا	μαζί	سُويَا	ADV	
μαζί	سوية	μαζί	سُوِيّ	ADV	
μαζί	معا	μαζί	مَعًا	ADV	
διάρκεια	مدة	διάρκεια	مُدَّة	N;ACC;FEM;SG	N;NOM;INDF;SG
διάρκεια	المدة	διάρκεια	مُدَّة	N;ACC;FEM;SG	N;NOM;DEF;SG
ιστορία	ستوري	ιστορία	ستوري	N;NOM;FEM;SG	
ιστορία	قصه	ιστορία	قَصه	N;NOM;FEM;SG	
πρωτάθλημα	دوري	πρωτάθλημα	دَورِيّ	N;NOM;NEUT;SG	
πρωτάθλημα	بطوله	πρωτάθλημα	بطوله	N;NOM;NEUT;SG	PRO;NOM;MASC;SG;3
αργότερα	لاحقا	αργά	لَاحِق	ADV;CMPR	ADJ;ACC;INDF;MASC;SG
αργότερα	لاحق	αργά	لَاحِق	ADV;CMPR	ADJ;NOM;INDF;MASC;SG
νέα	جديد	νέος	جَدِيد	ADJ;NOM;NEUT;PL	ADJ;NOM;INDF;MASC;SG
νέα	جدد	νέος	جَدَّد	ADJ;NOM;NEUT;PL	V;PFV;MASC;SG;3;ACT
νέα	جديدة	νέος	جَدِيد	ADJ;NOM;NEUT;PL	ADJ;NOM;INDF;FEM;SG
νέα	الجديد	νέος	جَدِيد	ADJ;NOM;NEUT;PL	ADJ;NOM;DEF;MASC;SG
νέα	اخبار	νέος	خَبَر	ADJ;NOM;NEUT;PL	N;NOM;INDF;PL
νέα	الاخبار	νέος	خَبَر	ADJ;NOM;NEUT;PL	N;NOM;DEF;PL
νέα	خبر	νέος	خَبَر	ADJ;NOM;NEUT;PL	N;NOM;INDF;SG
νέα	انباء	νέος	نَبَأ	ADJ;NOM;NEUT;PL	N;NOM;INDF;PL
περίπου	حول	περίπου	حَولَ	ADV	ADP;ACC
περίπου	بشان	περίπου	بشان	ADV	N;NOM;INDF;SG
περίπου	بخصوص	περίπου	بخصوص	ADV	N;NOM;INDF;SG
περίπου	عن	περίπου	عَن	ADV	ADP
αυτά	هؤلاء	αυτός	هٰذَا	PRO;NOM;NEUT;PL;3	DET;NOM;MASC;PL
αυτά	هذه	αυτός	هٰذَا	PRO;NOM;NEUT;PL;3	DET;NOM;FEM;SG
πριν	قبل	πριν	قَبلَ	ADV	ADP;ACC
χωρίς	بدون	χωρίς	بدون	ADP	
εθνική	الوطنية	εθνικός	وَطَنِيَّة	ADJ;NOM;FEM;SG	N;NOM;DEF;SG
εθνική	ناشيونال	εθνικός	ناشيونال	ADJ;NOM;FEM;SG	
συζήτηση	المحادثة	συζήτηση	مُحَادَثَة	N;ACC;FEM;SG	N;NOM;DEF;SG
συζήτηση	محادثة	συζήτηση	محادثة	N;ACC;FEM;SG	N;NOM;INDF;SG
συζήτηση	النقاش	συζήτηση	النقاش	N;ACC;FEM;SG	
συζήτηση	مناقشات	συζήτηση	مُنَاقَشَة	N;ACC;FEM;SG	N;NOM;INDF;PL
συζήτηση	مناقشة	συζήτηση	مُنَاقَشَة	N;ACC;FEM;SG	N;NOM;INDF;SG
συζήτηση	المناقشات	συζήτηση	مُنَاقَشَة	N;ACC;FEM;SG	N;NOM;DEF;PL
συζήτηση	نقاش	συζήτηση	نِقَاش	N;ACC;FEM;SG	N;NOM;INDF;SG
συζήτηση	المناقشة	συζήτηση	مُنَاقَشَة	N;ACC;FEM;SG	N;NOM;DEF;SG
συζήτηση	النقاش	συζήτηση	النقاش	N;ACC;FEM;SG	
συζήτηση	مناقشة	συζήτηση	مُنَاقَشَة	N;ACC;FEM;SG	N;NOM;INDF;SG
συζήτηση	المناظرة	συζήτηση	مُنَاظَرَة	N;ACC;FEM;SG	N;NOM;DEF;SG
συζήτηση	نقاش	συζήτηση	نِقَاش	N;ACC;FEM;SG	N;NOM;INDF;SG
συζήτηση	المناقشة	συζήτηση	مُنَاقَشَة	N;ACC;FEM;SG	N;NOM;DEF;SG
αρχείο	ارشيف	αρχείο	ارشيف	N;NOM;NEUT;SG	
πρέπει	لازم	πρέπει	لَازِم	V;IPFV;IND;SG;3;PRS;FIN;ACT	
φορά	وقت	φορά	وَقت	N;ACC;FEM;SG	N;NOM;INDF;SG
φορά	الزمن	φορά	زَمَن	N;ACC;FEM;SG	N;NOM;DEF;SG
φορά	الوقت	φορά	وَقت	N;ACC;FEM;SG	N;NOM;DEF;SG
φορά	زمن	φορά	زَمَن	N;ACC;FEM;SG	N;NOM;INDF;SG
φορά	الزمان	φορά	زَمَان	N;ACC;FEM;SG	N;NOM;DEF;SG
ομάδες	الفرق	ομάδα	فِرقَة	N;NOM;FEM;PL	N;NOM;DEF;SG
πρώτο	اول	πρώτος	أَوَّل	NUM;NOM;NEUT;SG	ADJ;NOM;INDF;MASC;SG
πρώτο	اولا	πρώτος	أَوَّل	NUM;NOM;NEUT;SG	ADJ;ACC;INDF;MASC;SG
πρώτο	الاول	πρώτος	أَوَّل	NUM;NOM;NEUT;SG	ADJ;NOM;DEF;MASC;SG
πρώτο	الاولى	πρώτος	أَوَّل	NUM;NOM;NEUT;SG	ADJ;NOM;DEF;FEM;SG
έργο	اعمل	έργο	عَمَل	N;NOM;NEUT;SG	
κυρίως	غالبا	κυρίως	غَالِب	ADV	ADJ;ACC;INDF;MASC;SG
όχι	ليس	όχι	لَيس	PART	V;PFV;MASC;SG;3;ACT
όχι	وليس	όχι	وليس	PART	
όχι	مش	όχι	مش	PART	
μεγάλη	كبيره	μεγάλος	كبيره	ADJ;NOM;FEM;SG	
έως	حتى	ώς	حَتَّى	ADP	ADV
άλλα	اخرى	άλλος	آخَر	PRO;NOM;NEUT;PL;3	ADJ;NOM;INDF;FEM;SG
άλλα	اخرون	άλλος	آخَر	PRO;NOM;NEUT;PL;3	ADJ;NOM;INDF;MASC;PL
άλλα	اخرين	άλλος	آخَر	PRO;NOM;NEUT;PL;3	ADJ;ACC;INDF;MASC;PL
άλλα	الاخرون	άλλος	آخَر	PRO;NOM;NEUT;PL;3	ADJ;NOM;DEF;MASC;PL
σαν	مثل	σαν	مِثلَ	ADV	ADP;NOM
σαν	لايك	σαν	لَايك	ADV	
άλλες	اخرى	άλλος	آخَر	PRO;NOM;FEM;PL;3	ADJ;NOM;INDF;FEM;SG
τέλος	واخيرا	τέλος	وَ	ADV	
τέλος	اخيرا	τέλος	أَخِير	ADV	ADJ;ACC;INDF;MASC;SG
τέλος	نهاية	τέλος	نِهَايَة	ADV	N;NOM;INDF;SG
τέλος	النهاية	τέλος	نِهَايَة	ADV	N;NOM;DEF;SG
σειρά	مسلسل	σειρά	مُسَلسَل	N;ACC;FEM;SG	N;NOM;INDF;SG
σειρά	سلسلة	σειρά	سِلسِلَة	N;ACC;FEM;SG	N;NOM;INDF;SG
σειρά	السلسلة	σειρά	سِلسِلَة	N;ACC;FEM;SG	N;NOM;DEF;SG
σειρά	مسلسلات	σειρά	مُسلِسِلّ	N;ACC;FEM;SG	N;NOM;INDF;PL
σειρά	امر	σειρά	أَمر	N;ACC;FEM;SG	N;NOM;INDF;SG
σειρά	طلب	σειρά	طَلَب	N;ACC;FEM;SG	N;NOM;INDF;SG
σειρά	ترتيب	σειρά	تَرتِيب	N;ACC;FEM;SG	N;NOM;INDF;SG
σειρά	الطلب	σειρά	طَلَب	N;ACC;FEM;SG	N;NOM;DEF;SG
σειρά	النظام	σειρά	نِظَام	N;ACC;FEM;SG	N;NOM;DEF;SG
σειρά	صف	σειρά	صَفّ	N;ACC;FEM;SG	N;NOM;INDF;SG
εκτός	مالم	εκτός	مَالَم	ADV	CONJ
εκτός	الا	εκτός	إِلَّا	ADV	PART
εκτός	عدا	εκτός	عَدَا	ADV	
εκτός	الا	εκτός	إِلَّا	ADV	PART
εκτός	ماعدا	εκτός	مَاعِد	ADV	ADJ;ACC;INDF;MASC;SG
εκτός	باستثناء	εκτός	باستثناء	ADV	
συνέχεια	استمرارية	συνέχεια	اِستِمرَارِيّ	N;ACC;FEM;SG	ADJ;NOM;INDF;FEM;SG
συνέχεια	الاستمرارية	συνέχεια	اِستِمرَارِيّ	N;ACC;FEM;SG	N;NOM;DEF;SG
συνέχεια	مواصلة	συνέχεια	مُوَاصَلَة	N;ACC;FEM;SG	N;NOM;INDF;SG
συνέχεια	الاستمرار	συνέχεια	اِستِمرَار	N;ACC;FEM;SG	N;NOM;DEF;SG
συνέχεια	تواصل	συνέχεια	تَوَاصُل	N;ACC;FEM;SG	N;NOM;INDF;SG
κάτω	اسفل	κάτω	أَسفَل	ADV	
κάτω	اقل	κάτω	أَقَلّ	ADV	ADJ;NOM;INDF;MASC;SG
κάτω	اخفض	κάτω	خَفض	ADV	
κάτω	ادنى	κάτω	أَدنَى	ADV	
κάτω	تحت	κάτω	تَحتَ	ADV	ADP;ACC
κάτω	ادناه	κάτω	ادناه	ADV	N;NOM;INDF;SG
πολλές	كثير	πολύς	كَثِير	ADJ;NOM;FEM;PL	ADJ;NOM;INDF;MASC;SG
πολλές	العديد	πολύς	عَدِيد	ADJ;NOM;FEM;PL	ADJ;NOM;DEF;MASC;SG
πολλές	الكثير	πολύς	كَثِير	ADJ;NOM;FEM;PL	ADJ;NOM;DEF;MASC;SG
όλα	كلهم	όλος	كلهم	ADJ;NOM;NEUT;PL	
