το	را	ο	را	DET;NOM;DEF;NEUT;SG	PART
που	کدام	που	کدام	PRO;ACC;NEUT;SG;3	N;SG
τους	آنها	μου	آن	PRO;GEN;MASC;PL;3	PRO;PL
τους	آنان	μου	آن	PRO;GEN;MASC;PL;3	PRO;PL
ήταν	بود	είμαι	بود#باش	V;IPFV;IND;SG;3;PST;FIN;PASS	V;SG;3;PST
ένα	یگانه	ένας	یگانه	NUM;NOM;NEUT;SG	N;SG
μια	یگانه	ένας	یگانه	NUM;NOM;FEM;SG	N;SG
έχει	has	έχω	has	V;IPFV;IND;SG;3;PRS;FIN;ACT	
θα	ویل	θα	ویل	PART	N;SG
επίσης	همچنین	επίσης	همچنین	ADV	CONJ
όπως	شبیه	όπως	شبیه	ADV	ADJ
όπως	لایک	όπως	لایک	ADV	N;SG
όπως	like	όπως	like	ADV	
είχε	had	έχω	had	V;IPFV;IND;SG;3;PST;FIN;ACT	
δύο	دوتا	δύο	دوتا	NUM;NOM;MASC;PL	N;SG
αυτό	این	αυτός	این	PRO;NOM;NEUT;SG;3	DET
αυτό	که	αυτός	که	PRO;NOM;NEUT;SG;3	CONJ
αυτή	اون	αυτός	None	PRO;NOM;FEM;SG;3	
αυτή	او	αυτός	او	PRO;NOM;FEM;SG;3	PRO;SG;3
όπου	کجای	όπου	کجا	ADV	CONJ
μία	یگانه	ένας	یگانه	NUM;NOM;FEM;SG	N;SG
χρόνια	مزمن	χρόνος	None	N;NOM;NEUT;PL	N;SG
χρόνια	سال	χρόνος	سال	N;NOM;NEUT;PL	N;SG
πρώτη	اول	πρώτος	اول	NUM;NOM;FEM;SG	ADJ
πρώτη	ابتدا	πρώτος	ابتدا	NUM;NOM;FEM;SG	N;SG
πρώτη	نخستین	πρώτος	نخستین	NUM;NOM;FEM;SG	ADJ;RL
πιο	بیشتر	πιο	بیش	ADV	ADJ;CMPR
ένας	یکی	ένας	یک	DET;NOM;INDF;MASC;SG	NUM
ένας	یگانه	ένας	یگانه	DET;NOM;INDF;MASC;SG	N;SG
ένας	یک	ένας	یک	DET;NOM;INDF;MASC;SG	NUM
σύνδεσμοι	پیوندها	σύνδεσμος	پیوند	N;ACC;MASC;SG	N;PL
σύνδεσμοι	پیوندهای	σύνδεσμος	پیوند	N;ACC;MASC;SG	N;PL
κάθε	هر	κάθε	هر	PRO;ACC;FEM;SG;3	DET
κάθε	هرکدوم	κάθε	هرکدوم	PRO;ACC;FEM;SG;3	N;SG
κάθε	هریک	κάθε	هریک	PRO;ACC;FEM;SG;3	N;SG
αθήνα	آتن	αθήνα	None	PROPN;ACC;FEM;SG	N;SG
περίοδο	دورهای	περίοδος	دور	N;ACC;FEM;SG	N;PL
μέσα	داخل	μέσα	داخل	ADV	ADP
μέσα	درون	μέσα	درون	ADV	N;SG
μέσα	درونت	μέσα	درونت	ADV	PRO;SG;2
πως	چطور	πως	چطور	CONJ	ADV
αργότερα	دیرتر	αργά	دیر	ADV;CMPR	ADJ;CMPR
αργότερα	بعدا	αργά	بعداً	ADV;CMPR	
νέα	تازه	νέος	تازه	ADJ;NOM;NEUT;PL	ADV
νέα	نیو	νέος	نیو	ADJ;NOM;NEUT;PL	N;SG
νέα	اخبار	νέος	خبر	ADJ;NOM;NEUT;PL	N;PL
νέα	نیوز	νέος	نیوز	ADJ;NOM;NEUT;PL	N;SG
νέα	خبر	νέος	خبر	ADJ;NOM;NEUT;PL	N;SG
νέα	خبری	νέος	None	ADJ;NOM;NEUT;PL	N;SG
νέα	اخباری	νέος	اخباری	ADJ;NOM;NEUT;PL	N;PL
περίπου	درباره	περίπου	درباره	ADV	ADP
περίπου	دربارۀ	περίπου	دربارۀ	ADV	ADP
αυτά	اینا	αυτός	اینا	PRO;NOM;NEUT;PL;3	
πριν	پیش	πριν	پیش	ADV	ADP
χωρίς	بى	χωρίς	بى	ADP	
εθνική	نشنال	εθνικός	نشنال	ADJ;NOM;FEM;SG	N;SG
αρχείο	آرشیو	αρχείο	آرشیو	N;NOM;NEUT;SG	N;PL
πρέπει	باید	πρέπει	بایست#باید	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;NFIN
φορά	time	φορά	time	N;ACC;FEM;SG	
έλληνες	یونانیان	έλληνας	یونانی	ADJ;NOM;MASC;PL	N;PL
έλληνες	یونانی	έλληνας	یونانی	ADJ;NOM;MASC;PL	N;SG
έλληνες	یونانیها	έλληνας	یونانی	ADJ;NOM;MASC;PL	N;PL
πρώτο	اول	πρώτος	اول	NUM;NOM;NEUT;SG	ADJ
πρώτο	ابتدا	πρώτος	ابتدا	NUM;NOM;NEUT;SG	N;SG
πρώτο	نخستین	πρώτος	نخستین	NUM;NOM;NEUT;SG	ADJ;RL
ελληνική	یونان	ελληνικός	یونان	ADJ;NOM;FEM;SG	N;SG
ελληνική	یونانی	ελληνικός	یونانی	ADJ;NOM;FEM;SG	N;SG
μεγάλη	بیگ	μεγάλος	بیگ	ADJ;NOM;FEM;SG	N;SG
μεγάλη	b	μεγάλος	b	ADJ;NOM;FEM;SG	N;SG
μεγάλη	بزرگی	μεγάλος	بزرگی	ADJ;NOM;FEM;SG	N;SG
ταινία	فیلمش	ταινία	فیلمش	N;NOM;FEM;SG	
ταινία	سینمایی	ταινία	سینمایی	N;NOM;FEM;SG	ADJ
ταινία	film	ταινία	film	N;NOM;FEM;SG	
άλλα	دیگر	άλλος	دیگر	PRO;NOM;NEUT;PL;3	ADV
άλλα	غیره	άλλος	غیره	PRO;NOM;NEUT;PL;3	N;SG
άλλα	دیگر	άλλος	دیگر	PRO;NOM;NEUT;PL;3	ADV
σαν	شبیه	σαν	شبیه	ADV	ADJ
σαν	لایک	σαν	لایک	ADV	N;SG
σαν	like	σαν	like	ADV	
