κβαντική	quantum	κβαντικός	quantum	ADJ;NOM;FEM;SG	N;NOM;INDF;NEUT;SG
σον	shawn	σον	sha		PROPN;NOM
σον	sean	σον	sean		PROPN;NOM
κένυα	kenya	κένυα	kenya	PROPN;NOM;FEM;SG	PROPN;NOM
προτίμηση	förtur	προτίμηση	förtur	N;ACC;FEM;SG	N;NOM;INDF;MASC+FEM;SG
προτίμηση	företräde	προτίμηση	företräde	N;ACC;FEM;SG	N;NOM;INDF;NEUT;SG
προτίμηση	preferenser	προτίμηση	preferens	N;ACC;FEM;SG	N;NOM;INDF;MASC+FEM;PL
προτίμηση	preferens	προτίμηση	preferens	N;ACC;FEM;SG	N;NOM;INDF;MASC+FEM;SG
ανθρωπότητας	medmänsklighet	ανθρωπότητα	medmänsklighet	N;GEN;FEM;SG	N;NOM;INDF;MASC+FEM;SG
ανθρωπότητας	mänsklighet	ανθρωπότητα	mänsklighet	N;GEN;FEM;SG	N;NOM;INDF;MASC+FEM;SG
ανθρωπότητας	mänskligheten	ανθρωπότητα	mänsklighet	N;GEN;FEM;SG	N;NOM;DEF;MASC+FEM;SG
επιβλήθηκε	påtvingade	επιβάλλω	påtvinga	V;PFV;IND;SG;3;PST;FIN;PASS	ADJ;NOM;PL;PST;V.PTCP
επιβλήθηκε	påtvingat	επιβάλλω	påtvinga	V;PFV;IND;SG;3;PST;FIN;PASS	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
επιβλήθηκε	påtvingad	επιβάλλω	påtvinga	V;PFV;IND;SG;3;PST;FIN;PASS	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
επιβλήθηκε	påtvingade	επιβάλλω	påtvinga	V;PFV;IND;SG;3;PST;FIN;PASS	ADJ;NOM;PL;PST;V.PTCP
επιβλήθηκε	påtvingat	επιβάλλω	påtvinga	V;PFV;IND;SG;3;PST;FIN;PASS	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
ανεξάρτητοι	självständig	ανεξάρτητος	självständig	ADJ;NOM;MASC;PL	ADJ;NOM;INDF;MASC+FEM;SG
ανεξάρτητοι	självständigt	ανεξάρτητος	självständig	ADJ;NOM;MASC;PL	ADJ;NOM;INDF;NEUT;SG
ντόπιους	lokalbefolkningen	ντόπιος	lokalbefolkning	ADJ;NOM;MASC;PL	N;NOM;DEF;MASC+FEM;SG
αμερικάνικο	american	Αμερικάνικος	america	ADJ;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
αμερικάνικο	amerikan	Αμερικάνικος	amerika	ADJ;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
αμερικάνικο	amerikanska	Αμερικάνικος	amerikansk	ADJ;NOM;NEUT;SG	ADJ;NOM;PL
βαλκανίων	balkan	βαλκάνια	balka	N;GEN;NEUT;PL	PROPN;NOM
καρπός	frukter	καρπός	frukt	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;PL
καρπός	handleder	καρπός	handled	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;PL
ραφαήλ	raphael	ραφαήλ	raphael	N	PROPN;NOM
ραφαήλ	rafael	ραφαήλ	rafael	N	PROPN;NOM
τανζανία	tanzania	τανζανία	tancanium	PROPN;ACC;FEM;SG	PROPN;NOM
ακραία	extrem	ακραίος	extrem	ADV	ADJ;NOM;INDF;MASC+FEM;SG
ακραία	extrema	ακραίος	extrem	ADV	ADJ;NOM;PL
διατίθεται	tillgänglig	διαθέτω	tillgänglig	V;IPFV;IND;SG;3;PRS;FIN;PASS	ADJ;NOM;INDF;MASC+FEM;SG
διατίθεται	tillgängligt	διαθέτω	tillgänglig	V;IPFV;IND;SG;3;PRS;FIN;PASS	ADJ;NOM;INDF;NEUT;SG
διατίθεται	tillgängliga	διαθέτω	tillgänglig	V;IPFV;IND;SG;3;PRS;FIN;PASS	ADJ;NOM;PL
αθλητή	idrottsman	αθλητός	idrottsman	N;ACC;MASC;SG	N;NOM;INDF;MASC+FEM;SG
αθλητή	idrottare	αθλητός	idrottare	N;ACC;MASC;SG	N;NOM;INDF;MASC+FEM;PL
αποτρέψει	förebygga	αποτρέπω	förebygga	V;PFV;IND;SG;3;FIN;ACT	V;IMP;NFIN;ACT
αποτρέψει	förhindra	αποτρέπω	förhindra	V;PFV;IND;SG;3;FIN;ACT	V;IMP;FIN;ACT
αποτρέψει	avskräcka	αποτρέπω	avskräcka	V;PFV;IND;SG;3;FIN;ACT	V;IMP;FIN;ACT
μεσαιωνικό	medeltiden	μεσαιωνικός	medeltid	ADJ;NOM;NEUT;SG	N;NOM;DEF;MASC+FEM;SG
ταξιαρχία	brigaden	ταξιαρχία	brigad	N;ACC;FEM;SG	N;NOM;DEF;MASC+FEM;SG
καταστρέψει	förgör	καταστρέφω	förgöra	V;PFV;IND;SG;3;FIN;ACT	V;IMP;FIN;ACT
καταστρέψει	förstör	καταστρέφω	förstör	V;PFV;IND;SG;3;FIN;ACT	V;IMP;PRS;FIN;ACT
καταστρέψει	förinta	καταστρέφω	förinta	V;PFV;IND;SG;3;FIN;ACT	V;IMP;FIN;ACT
δακτύλιος	ring	δακτύλιος	ring	N;NOM;MASC;SG	V;IMP;FIN;ACT
επιβεβαίωσε	bekräftad	επιβεβαιώνω	bekräftad	V;PFV;IND;SG;3;PST;FIN;ACT	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
επιβεβαίωσε	bekräftas	επιβεβαιώνω	bekräfta	V;PFV;IND;SG;3;PST;FIN;ACT	V;NFIN;PASS
επιβεβαίωσε	bekräftat	επιβεβαιώνω	bekräftad	V;PFV;IND;SG;3;PST;FIN;ACT	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
επιβεβαίωσε	bekräftats	επιβεβαιώνω	bekräfta	V;PFV;IND;SG;3;PST;FIN;ACT	V;V.CVB;PASS
χαλκίδας	chalcis	χαλκίδα	chalcis	PROPN;GEN;FEM;SG	N;NOM;INDF;MASC+FEM;SG
γενιές	generationers	γενιά	generation	N;NOM;FEM;PL	N;GEN;INDF;MASC+FEM;PL
εξερεύνηση	utforskar	εξερεύνηση	utforska	N;ACC;FEM;SG	V;IND;PRS;FIN;ACT
εξερεύνηση	utforska	εξερεύνηση	utforsk	N;ACC;FEM;SG	V;IMP;FIN;ACT
εξερεύνηση	utforska	εξερεύνηση	utforsk	N;ACC;FEM;SG	V;IMP;FIN;ACT
εξερεύνηση	prospektering	εξερεύνηση	prospektering	N;ACC;FEM;SG	N;NOM;INDF;MASC+FEM;SG
εξερεύνηση	utforskning	εξερεύνηση	utforskning	N;ACC;FEM;SG	N;NOM;INDF;MASC+FEM;SG
θεοδώρα	theodora	θεοδώρα	theodor	PROPN;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
αλφόνσο	alfons	αλφόνσο	alfons		N;NOM;DEF;MASC+FEM;SG
αλφόνσο	alfonso	αλφόνσο	alfonso		PROPN;NOM
δολάριο	dollar	δολάριο	dolla	N;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;PL
αντίγκουα	antigua	αντίγκω	antigua	PROPN;NOM;FEM;SG	N;NOM;INDF;NEUT;SG
γαβριήλ	gabriel	γαβριήλ	gabriel	PROPN;NOM;MASC;SG	PROPN;NOM
λόρενς	laurence	λόρης	laurence	PROPN;NOM;FEM;SG	PROPN;NOM
λόρενς	lawrence	λόρης	lawrence	PROPN;NOM;FEM;SG	N;NOM;INDF;NEUT;SG
σύνθημα	lösenord	σύνθημα	lösenord	N;NOM;NEUT;SG	N;NOM;INDF;NEUT;PL
λούντβιχ	ludwig	λούντβιχ	ludwig	PROPN;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
υπολογισμούς	beräkningar	υπολογισμός	beräkning	N;ACC;MASC;PL	N;NOM;INDF;MASC+FEM;PL
υπολογισμούς	beräkningarna	υπολογισμός	beräkning	N;ACC;MASC;PL	N;NOM;DEF;MASC+FEM;PL
παρών	nuvarande	παράνω	nuvarande	N;NOM;MASC;SG	ADJ;NOM;PRS;V.PTCP
τσε	che	τσε	che		N;NOM;INDF;MASC+FEM;SG
τετράγωνα	torg	τετράγωνος	torg	ADV	N;NOM;INDF;NEUT;SG
τετράγωνα	rutor	τετράγωνος	ruta	ADV	N;NOM;INDF;MASC+FEM;PL
τετράγωνα	kvarter	τετράγωνος	kvarter	ADV	N;NOM;INDF;NEUT;PL
τετράγωνα	blockerar	τετράγωνος	blockera	ADV	V;IND;PRS;FIN;ACT
τετράγωνα	blockeringar	τετράγωνος	blockering	ADV	N;NOM;INDF;MASC+FEM;PL
τετράγωνα	block	τετράγωνος	block	ADV	N;NOM;INDF;NEUT;SG
όλιβερ	oliver	όλιβερ	oliv	V;PFV;IND;SG;3;PST;FIN;ACT	N;NOM;INDF;MASC+FEM;SG
αραβικό	arab	αραβικός	arab	ADJ;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
αραβικό	arabiska	αραβικός	arabisk	ADJ;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
αραβικό	arabiska	αραβικός	arabisk	ADJ;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
γραπτή	skriftliga	γραπτός	skriftlig	N;NOM;FEM;SG	ADJ;NOM;PL
γραπτή	skrivet	γραπτός	skriva	N;NOM;FEM;SG	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
γραπτή	skrivit	γραπτός	skriva	N;NOM;FEM;SG	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
γραπτή	skriftligt	γραπτός	skriftlig	N;NOM;FEM;SG	ADJ;NOM;INDF;NEUT;SG
γραπτή	skrivna	γραπτός	skrivna	N;NOM;FEM;SG	ADJ;NOM;PL;PST;V.PTCP
μολδαβία	moldavien	μολδαβία	moldavien	PROPN;ACC;FEM;SG	PROPN;NOM
μολδαβία	moldova	μολδαβία	moldova	PROPN;ACC;FEM;SG	N;NOM;INDF;MASC+FEM;SG
καναδός	kanadensare	καναδός	kanadensare	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;PL
ριχάρδος	rikard	ριχάρδος	rikard	PROPN;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
ριχάρδος	richard	ριχάρδος	richard	PROPN;NOM;MASC;SG	PROPN;NOM
ριχάρδος	rickard	ριχάρδος	rickard	PROPN;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
ακαδημαϊκό	akademisk	ακαδημαϊκός	akademisk	N;NOM;NEUT;SG	ADJ;NOM;INDF;MASC+FEM;SG
ακαδημαϊκό	akademiker	ακαδημαϊκός	akademik	N;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;PL
ακαδημαϊκό	akademiska	ακαδημαϊκός	akademisk	N;NOM;NEUT;SG	ADJ;NOM;PL
ακαδημαϊκό	akademiskt	ακαδημαϊκός	akademisk	N;NOM;NEUT;SG	ADJ;NOM;INDF;NEUT;SG
κιμ	kim	κιμ	kimma	PROPN;NOM;MASC;SG	PROPN;NOM
μπάρι	bari	μπάρι	bari		PROPN;NOM
μπάρι	barry	μπάρι	barry		PROPN;NOM
προσφέροντας	erbjudande	προσφέρω	erbjudande	V;IPFV;V.CVB;ACT	ADJ;NOM;PRS;V.PTCP
ακουστική	akustik	ακουστικός	akustik	ADJ;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
ακουστική	akustiska	ακουστικός	akustisk	ADJ;NOM;FEM;SG	ADJ;NOM;PL
ακουστική	akustisk	ακουστικός	akustisk	ADJ;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
πολωνική	polska	πολωνικός	polsk	ADJ;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
πέδρο	pedro	πέδρο	pedro		PROPN;NOM
αμοιβή	belöna	αμοιβός	belöna	N;NOM;FEM;SG	V;IMP;FIN;ACT
υψηλότερα	högre	ψηλά	hög	ADV;CMPR	ADJ;NOM;CMPR
μετατόπιση	skift	μετατόπιση	skift	N;ACC;FEM;SG	N;NOM;INDF;NEUT;PL
μετατόπιση	shift	μετατόπιση	shift	N;ACC;FEM;SG	N;NOM;INDF;MASC+FEM;SG
μετατόπιση	skifta	μετατόπιση	skifta	N;ACC;FEM;SG	V;IMP;FIN;ACT
μετατόπιση	förskjutning	μετατόπιση	förskjutning	N;ACC;FEM;SG	N;NOM;INDF;MASC+FEM;SG
μετατόπιση	kompensera	μετατόπιση	kompensera	N;ACC;FEM;SG	V;IMP;FIN;ACT
μετατόπιση	förskjutning	μετατόπιση	förskjutning	N;ACC;FEM;SG	N;NOM;INDF;MASC+FEM;SG
μετατόπιση	utjämna	μετατόπιση	utjämna	N;ACC;FEM;SG	V;IMP;FIN;ACT
παρουσιάστηκαν	presenterade	παρουσιάζω	presentera	V;PFV;IND;PL;3;PST;FIN;PASS	ADJ;NOM;PL;PST;V.PTCP
παρουσιάστηκαν	framlagda	παρουσιάζω	framlagd	V;PFV;IND;PL;3;PST;FIN;PASS	ADJ;NOM;PL;PST;V.PTCP
