το	на	ο	на	DET;NOM;DEF;NEUT;SG	ADP;ACC
που	какой	που	какой	PRO;ACC;NEUT;SG;3	
που	який	που	який	PRO;ACC;NEUT;SG;3	DET;NOM;MASC;SG
που	які	που	який	PRO;ACC;NEUT;SG;3	DET;NOM;PL
που	яке	που	який	PRO;ACC;NEUT;SG;3	DET;NOM;NEUT;SG
που	яка	που	який	PRO;ACC;NEUT;SG;3	DET;NOM;FEM;SG
τους	їх	μου	вони	PRO;GEN;MASC;PL;3	PRO;ACC;PL;3
τους	їм	μου	вони	PRO;GEN;MASC;PL;3	PRO;DAT;PL;3
τους	комплектів	μου	комплект	PRO;GEN;MASC;PL;3	N;INAN;GEN;MASC;PL
ήταν	був	είμαι	бути	V;IPFV;IND;SG;3;PST;FIN;PASS	V;IPFV;MASC;IND;SG;PST;FIN
ήταν	була	είμαι	бути	V;IPFV;IND;SG;3;PST;FIN;PASS	V;IPFV;FEM;IND;SG;PST;FIN
ήταν	було	είμαι	бути	V;IPFV;IND;SG;3;PST;FIN;PASS	V;IPFV;NEUT;IND;SG;PST;FIN
ένα	one	ένας	one	NUM;NOM;NEUT;SG	
ένα	одне	ένας	один	NUM;NOM;NEUT;SG	DET;NOM;NEUT;SG
ότι	той	ότι	той	CONJ	DET;NOM;MASC;SG
μια	one	ένας	one	NUM;NOM;FEM;SG	
μια	одне	ένας	один	NUM;NOM;FEM;SG	DET;NOM;NEUT;SG
θα	воля	θα	воля	PART	N;INAN;NOM;FEM;SG
θα	буде	θα	бути	PART	V;IPFV;IND;SG;3;FUT;FIN
θα	будуть	θα	бути	PART	V;IPFV;IND;PL;3;FUT;FIN
μετά	після	μετά	після	ADV	ADP;GEN
όπως	подобається	όπως	подобатися	ADV	V;IPFV;IND;SG;3;PRS;FIN
όπως	зразок	όπως	зразок	ADV	N;INAN;NOM;MASC;SG
όπως	like	όπως	like	ADV	
είχε	мали	έχω	мати	V;IPFV;IND;SG;3;PST;FIN;ACT	V;IPFV;IND;PL;PST;FIN
ενώ	поки	ενώ	поки	CONJ	ADV
δύο	двох	δύο	два	NUM;NOM;MASC;PL	NUM;ACC
δύο	двійка	δύο	двійка	NUM;NOM;MASC;PL	N;INAN;NOM;FEM;SG
αυτό	цей	αυτός	цей	PRO;NOM;NEUT;SG;3	DET;NOM;MASC;SG
αυτό	ця	αυτός	цей	PRO;NOM;NEUT;SG;3	DET;NOM;FEM;SG
αυτό	той	αυτός	той	PRO;NOM;NEUT;SG;3	DET;NOM;MASC;SG
αυτή	вона	αυτός	вона	PRO;NOM;FEM;SG;3	PRO;NOM;FEM;SG;3
αυτή	she	αυτός	she	PRO;NOM;FEM;SG;3	
όπου	where	όπου	where	ADV	
όταν	коли	όταν	коли	CONJ	ADV
μέχρι	доки	μέχρι	доки	ADP	ADV
μέχρι	поки	μέχρι	поки	ADP	ADV
μία	one	ένας	one	NUM;NOM;FEM;SG	
μία	одне	ένας	один	NUM;NOM;FEM;SG	DET;NOM;NEUT;SG
μπορεί	можна	μπορώ	можна	V;IPFV;IND;SG;3;PRS;FIN;ACT	ADV
ομάδα	відділення	ομάδα	відділення	N;ACC;FEM;SG	N;INAN;NOM;NEUT;SG
