در	deur	در	deur	ADP	N;MASC+FEM;SG
که	wie	که	wie	CONJ	PRO;3
که	who	که	who	CONJ	
که	dat	که	dat	CONJ	PRO;3
این	dit	این	dit	DET	PRO;3
این	deze	این	deze	DET	PRO
را	het	را	het	PART	PRO;3
را	de	را	de	PART	DET;DEF
را	maken	را	maken	PART	V;NFIN
را	maak	را	maken	PART	V;SG;PRS;FIN
میلادی	decennium	میلادی	decennium	ADJ	N;NEUT;SG
یک	one	یک	oon	NUM	
یک	een	یک	een	NUM	DET;INDF
یک	eén	یک	eén	NUM	N;MASC+FEM;SG
سال	jaren	سال	jaar	N;SG	N;PL
آن	anne	آن	anne	DET	N;MASC+FEM;SG
ایران	iraanse	ایران	iraans	N;SG	ADJ
ایران	iran	ایران	iran	N;SG	PROPN;NEUT;SG
آمریکا	amerika	آمریکا	amerika	N;SG	PROPN;NEUT;SG
بود	was	بود#باش	zijn	V;SG;3;PST	V;SG;PST;FIN
او	zijn	او	zijn	PRO;SG;3	V;PL;PRS;FIN
تا	mogen	تا	mogen	ADP	V;PL;PRS;FIN
تا	may	تا	may	ADP	
تا	mei	تا	mei	ADP	PROPN;MASC+FEM;SG
تا	mag	تا	mogen	ADP	V;SG;PRS;FIN
تا	moge	تا	mogen	ADP	V;SG;PRS;FIN
تا	till	تا	till	ADP	N;MASC+FEM;SG
وابسته	adjectief	وابسته	adjectief	ADJ	N;NEUT;SG
وابسته	geassocieerd	وابسته	associëren	ADJ	V;V.PTCP
وابسته	geassocieerde	وابسته	geassocieerd	ADJ	V;V.PTCP
فوتبال	voetballen	فوتبال	voetballen	N;SG	V;NFIN
فوتبال	voetballen	فوتبال	voetballen	N;SG	V;NFIN
ساعت	openingstijden	ساعت	openingstijd	N;SG	N;PL
ساعت	uren	ساعت	ure	N;SG	N;PL
پایه	fundamenten	پایه	fundament	N;SG	N;PL
پایه	stichtingen	پایه	stichting	N;SG	N;PL
پایه	funderingen	پایه	fundering	N;SG	N;PL
پایه	grondslagen	پایه	grondslag	N;SG	N;PL
پایه	fundamentele	پایه	fundamenteel	N;SG	ADJ
پایه	basic	پایه	basic	N;SG	ADJ
فیلم	films	فیلم	film	N;SG	N;PL
دو	two	دو	two	NUM	
یکی	iemand	یک	iemand	NUM	PRO;3
یکی	one	یک	oon	NUM	
یکی	een	یک	een	NUM	DET;INDF
یکی	eén	یک	eén	NUM	N;MASC+FEM;SG
وی	wei	وی	wei	PRO;SG;3	N;MASC+FEM;SG
وی	wii	وی	wii	PRO;SG;3	N;MASC+FEM;SG
دیگر	more	دیگر	more	ADV	
دیگر	meer	دیگر	veel	ADV	PRO
دیگر	overige	دیگر	overig	ADV	ADJ
دیگر	andere	دیگر	ander	ADV	ADJ
دیگر	ander	دیگر	ander	ADV	ADJ
دیگر	overig	دیگر	overig	ADV	
دیگر	overige	دیگر	overig	ADV	ADJ
دیگر	andere	دیگر	ander	ADV	ADJ
دیگر	overigen	دیگر	overigen	ADV	ADJ
دیگر	anderen	دیگر	ander	ADV	ADJ
می	mogen	می	mogen		V;PL;PRS;FIN
می	may	می	may		
می	mei	می	mei		PROPN;MASC+FEM;SG
می	mag	می	mogen		V;SG;PRS;FIN
می	moge	می	mogen		V;SG;PRS;FIN
می	mei	می	mei		PROPN;MASC+FEM;SG
پیوند	gekoppelde	پیوند	koppelen	N;SG	V;V.PTCP
پیوند	gelinkt	پیوند	gelinken	N;SG	V;V.PTCP
پیوند	verbonden	پیوند	verbinden	N;SG	V;V.PTCP
پیوند	gekoppeld	پیوند	koppelen	N;SG	V;V.PTCP
پیش	voordat	پیش	voordat	ADP	CONJ
بحث	discussies	بحث	discussie	N;SG	N;PL
بیرون	uit	بیرون	uit	ADV;ESS	ADP
بیرون	out	بیرون	out	ADV;ESS	
دهه	decennia	دهه	decennia	N;SG	N;PL
متر	meters	متر	meter	N;SG	N;PL
متر	meters	متر	meter	N;SG	N;PL
هر	elk	هر	elk	DET	PRO
هر	ieder	هر	ieder	DET	PRO
ثبت	loggen	ثبت	loggen	N;SG	V;NFIN
وجود	bestaan	وجود	bestaan	N;SG	V;NFIN
زبان	talen	زبان	taal	N;SG	N;PL
زبان	tongue	زبان	tongue	N;SG	
زادگان	afstammeling	زاده	afstammeling	N;PL	N;MASC+FEM;SG
مسکونی	residentiële	None	residentiel	N;SG	ADJ
کار	werken	کار	werken	N;SG	V;NFIN
کار	werkend	کار	werkend	N;SG	V;V.PTCP
کار	werken	کار	werken	N;SG	V;NFIN
کار	werkende	کار	werken	N;SG	V;V.PTCP
بازیگران	filmen	بازیگر	filmen	N;PL	V;NFIN
روی	roy	رو	roy	ADP	N;MASC+FEM;SG
روی	zink	رو	zink	ADP	N;NEUT;SG
مرکز	centreren	مرکز	centreren	N;SG	V;NFIN
مرکز	centreren	مرکز	centreren	N;SG	V;NFIN
شرکت	deelnemen	شرکت	deelnemen	N;SG	V;NFIN
مقاله	artikelen	مقاله	artikel	N;SG	N;PL
مقاله	artikels	مقاله	artikel	N;SG	N;PL
انگلیسی	engels	انگلیسی	engel	N;SG	ADJ
انگلیسی	engelsen	انگلیسی	engelsen	N;SG	N;PL
جهانی	internationaal	جهانی	internationaal	N;SG	ADJ
جهانی	universeel	جهانی	universeel	N;SG	ADJ
جهانی	universele	جهانی	universeel	N;SG	ADJ
جهانی	mondiale	جهانی	mondiaal	N;SG	ADJ
جهانی	globaal	جهانی	globaal	N;SG	ADJ
جهانی	wereldwijd	جهانی	wereldwijd	N;SG	ADJ
همچنین	ook	همچنین	ook	CONJ	ADV
همچنین	ook	همچنین	ook	CONJ	ADV
همچنین	evenzo	همچنین	evenzo	CONJ	ADV
زندگی	levende	زندگی	leven	N;SG	V;V.PTCP
زندگی	life	زندگی	life	N;SG	
زن	woman	زن	woman	N;SG	
زن	vrouwelijke	زن	vrouwelijk	N;SG	ADJ
زن	vrouwelijk	زن	vrouwelijk	N;SG	ADJ
زیر	hieronder	زیر	hieronder	ADP	N;MASC+FEM;SG
زیر	under	زیر	under	ADP	
آنها	hen	آن	hen	PRO;PL	PRO;ACC;3
آنها	ze	آن	ze	PRO;PL	PRO;3
آنها	zij	آن	zij	PRO;PL	PRO;NOM;3
هستند	zijn	هست	zijn	V;PL;3;PRS	V;PL;PRS;FIN
جوایز	prijsuitreiking	جایزه	prijsuitreiking	N;PL	N;MASC+FEM;SG
تهران	teheran	تهران	teheran	N;SG	PROPN;NEUT;SG
بازی	games	بازی	game	N;SG	N;PL
بازی	spelletjes	بازی	spel	N;SG	N;PL
بازی	spellen	بازی	spellen	N;SG	N;PL
بازی	speel	بازی	spelen	N;SG	V;SG;PRS;FIN
بازی	spelen	بازی	spelen	N;SG	V;NFIN
بازی	afspelen	بازی	afspelen	N;SG	V;NFIN
فرانسه	frans	فرانسه	frans	N;SG	PROPN;MASC+FEM;SG
فرانسه	fransen	فرانسه	frans	N;SG	PROPN;MASC+FEM;SG
فرانسه	franse	فرانسه	frans	N;SG	ADJ
فرانسه	frankrijk	فرانسه	frankrijk	N;SG	PROPN;NEUT;SG
دست	handjes	دست	hand	N;SG	N;PL
دست	handen	دست	hand	N;SG	N;PL
دست	arm	دست	arm	N;SG	ADJ
های	hai	ها	hai	N;PL	N;MASC+FEM;SG
توابع	functies	توابع	functie	N;SG	N;PL
کتاب	boeken	کتاب	boek	N;SG	N;PL
آلمان	duits	آلمان	duits	N;SG	ADJ
آلمان	duitse	آلمان	duits	N;SG	ADJ
آلمان	duitsland	آلمان	duitsland	N;SG	PROPN;NEUT;SG
سطح	levels	سطح	level	N;SG	N;PL
سطح	niveaus	سطح	niveaus	N;SG	N;PL
سطح	bovengronds	سطح	bovengronds	N;SG	ADJ
اصلی	belangrijkste	اصلی	belangrijk	ADJ	ADJ;RL
اصلی	voornaamste	اصلی	voornaam	ADJ	ADJ;RL
اصلی	main	اصلی	main	ADJ	N;MASC+FEM;SG
ساخت	bouwen	ساخت	bouwen	N;SG	V;NFIN
المپیک	olympisch	المپیک	Olympisch	N;SG	ADJ
المپیک	olympische	المپیک	Olympisch	N;SG	ADJ
اول	eerst	اول	eerst	ADJ	ADV
سه	three	سه	three	NUM	
دارای	gerenommeerde	دارا	renommeren	ADJ	V;V.PTCP
مرکزی	gecentreerd	مرکزی	centreren	ADJ	V;V.PTCP
مرکزی	gecentreerd	مرکزی	centreren	ADJ	V;V.PTCP
ایالت	staat	ایالت	staan	N;SG	V;SG;PRS;FIN
زنده	levend	زنده	leven	ADJ	V;V.PTCP
فارسی	farsi	فارسی	farsi	N;SG	ADJ
فارسی	perzisch	فارسی	perzisch	N;SG	ADJ
فارسی	perzische	فارسی	perzisch	N;SG	ADJ
بین	bean	بین	bean	ADP	N;MASC+FEM;SG
بین	boon	بین	boon	ADP	N;MASC+FEM;SG
بین	boontje	بین	boon	ADP	N;NEUT;SG
