در	vrata	در	vrata	ADP	N;NOM;NEUT;PL
که	kdo	که	kdo	CONJ	PRO;NOM;MASC;SG
که	to	که	ta	CONJ	DET;NOM;NEUT;SG
که	tisto	که	tisti	CONJ	DET;NOM;NEUT;SG
این	tole	این	tale	DET	
را	naredi	را	narediti	PART	V;PFV;IND;SG;3;PRS;FIN
میلادی	desetletju	میلادی	desetletje	ADJ	N;DAT;NEUT;SG
میلادی	desetletje	میلادی	desetletje	ADJ	N;NOM;NEUT;SG
یک	enga	یک	en	NUM	PRO;ACC;MASC;SG
سال	letih	سال	leto	N;SG	N;ESS;NEUT;PL
سال	let	سال	leto	N;SG	N;GEN;NEUT;PL
سال	sala	سال	sala	N;SG	
آن	anne	آن	anna	DET	PROPN;NOM;FEM;SG
آن	ana	آن	an	DET	PROPN;NOM;FEM;SG
ایران	iran	ایران	iran	N;SG	PROPN;NOM;MASC;SG
برای	za	برای	za	ADP	
شهرستان	okrožni	شهرستان	okrožen	N;SG	ADJ;NOM;MASC;SG
او	njegovo	او	njegov	PRO;SG;3	DET;NOM;NEUT;SG;3
او	njegove	او	njegov	PRO;SG;3	DET;NOM;FEM;PL;3
او	njegov	او	njegov	PRO;SG;3	DET;NOM;MASC;SG;3
او	njegova	او	njegov	PRO;SG;3	DET;NOM;FEM;SG;3
او	njen	او	njen	PRO;SG;3	DET;NOM;MASC;SG;3
او	her	او	hera	PRO;SG;3	N;NOM;MASC;SG
او	njena	او	njen	PRO;SG;3	DET;NOM;FEM;SG;3
تا	maj	تا	maj	ADP	
تا	maja	تا	maj	ADP	N;GEN;MASC;SG
تا	dokler	تا	dokler	ADP	CONJ
وابسته	pridevnik	وابسته	pridevnik	ADJ	N;NOM;MASC;SG
ساعت	urami	ساعت	ura	N;SG	N;NOM;FEM;PL
ساعت	ure	ساعت	ura	N;SG	N;NOM;FEM;PL
ساعت	urah	ساعت	ura	N;SG	N;ESS;FEM;PL
ساعت	ur	ساعت	ura	N;SG	N;GEN;FEM;PL
ساعت	urice	ساعت	urica	N;SG	N;NOM;FEM;PL
پایه	temelje	پایه	temelj	N;SG	N;ACC;MASC;PL
پایه	fundacije	پایه	fundacija	N;SG	N;NOM;FEM;PL
پایه	temelje	پایه	temelj	N;SG	N;ACC;MASC;PL
پایه	temelji	پایه	temeljiti	N;SG	V;IPFV;IND;SG;3;PRS;FIN
پایه	osnovno	پایه	osnoven	N;SG	ADJ;NOM;NEUT;SG
پایه	osnovni	پایه	osnoven	N;SG	ADJ;NOM;MASC;PL
شهر	city	شهر	city	N;SG	PROPN;NOM;MASC;SG
فیلم	filmi	فیلم	film	N;SG	N;NOM;MASC;PL
فیلم	filme	فیلم	film	N;SG	N;ACC;MASC;PL
جمعیت	množice	جمعیت	množica	N;SG	N;NOM;FEM;PL
جمعیت	množice	جمعیت	množica	N;SG	N;NOM;FEM;PL
یکی	nekdo	یک	nekdo	NUM	PRO;NOM;MASC;SG
یکی	enga	یک	en	NUM	PRO;ACC;MASC;SG
بازیکنان	igralca	بازیکن	igralec	N;PL	N;NOM;MASC;SG
وی	wei	وی	wei	PRO;SG;3	PROPN;NOM;MASC;SG
وی	wii	وی	wii	PRO;SG;3	N;NOM;MASC;SG
روستاهای	vasi	روستا	vas	N;PL	N;GEN;FEM;SG
دیگر	več	دیگر	več	ADV	DET
دیگر	drugi	دیگر	drug	ADV	ADJ;NOM;MASC;SG
دیگر	drugo	دیگر	drug	ADV	ADJ;NOM;NEUT;SG
دیگر	druga	دیگر	drug	ADV	ADJ;NOM;FEM;SG
دیگر	druge	دیگر	drug	ADV	ADJ;NOM;FEM;PL
دیگر	drugi	دیگر	drug	ADV	ADJ;NOM;MASC;SG
دیگر	drugih	دیگر	drug	ADV	ADJ;GEN;MASC;PL
دیگر	druge	دیگر	drug	ADV	ADJ;NOM;FEM;PL
می	maja	می	maj		N;GEN;MASC;SG
می	mei	می	jaz		PROPN;NOM;MASC;SG
پیوند	poveži	پیوند	povežiti	N;SG	V;PFV;IND;SG;2;PRS;FIN
پیوند	povezana	پیوند	povezan	N;SG	ADJ;NOM;FEM;SG;V.PTCP
پیوند	povezano	پیوند	povezan	N;SG	ADJ;NOM;NEUT;SG;V.PTCP
پیوند	povezani	پیوند	povezan	N;SG	ADJ;NOM;MASC;PL;V.PTCP
پیوند	bond	پیوند	bond	N;SG	
پیش	preden	پیش	preden	ADP	CONJ
پیش	prej	پیش	prej	ADP	ADV;CMPR
بحث	razprave	بحث	razprava	N;SG	N;NOM;FEM;PL
افراد	ljudstvo	فرد	ljudstvo	N;PL	N;NOM;NEUT;SG
دهه	desetletji	دهه	desetletje	N;SG	N;NOM;NEUT;PL
دهه	desetletjih	دهه	desetletje	N;SG	N;ESS;NEUT;PL
دهه	desetletij	دهه	desetletje	N;SG	N;GEN;NEUT;PL
دهه	desetletja	دهه	desetletje	N;SG	N;NOM;NEUT;PL
متر	metrov	متر	meter	N;SG	N;GEN;MASC;PL
متر	metrov	متر	meter	N;SG	N;GEN;MASC;PL
مناطق	okrožja	منطقه	okrožje	N;PL	N;NOM;NEUT;SG
زبان	jezike	زبان	jezik	N;SG	N;ACC;MASC;PL
زبان	jeziki	زبان	jezik	N;SG	N;NOM;MASC;PL
زبان	jezikovno	زبان	jezikoven	N;SG	ADJ;NOM;NEUT;SG
زبان	jezikovna	زبان	jezikoven	N;SG	ADJ;NOM;FEM;SG
زادگان	potomec	زاده	potomec	N;PL	N;NOM;MASC;SG
مسکونی	stanovanjske	None	stanovanjski	N;SG	ADJ;NOM;FEM;PL
مسکونی	stanovanjska	None	stanovanjski	N;SG	ADJ;NOM;FEM;SG
مسکونی	stanovanjsko	None	stanovanjski	N;SG	ADJ;NOM;NEUT;SG
