myös	וגם	myös	וגם	ADV	
joka	מי	joka	מי	PRO;NOM;SG	ADV
joka	אשר	joka	אשר	PRO;NOM;SG	CONJ
joka	איזה	joka	איזה	PRO;NOM;SG	
kello	שעון	kello	שעון	N;NOM;SG	PROPN
kello	צפו	kello	צפה	N;NOM;SG	PROPN
kello	צפה	kello	צפה	N;NOM;SG	PROPN
kello	לצפות	kello	None	N;NOM;SG	V;NFIN
kello	שעון	kello	שעון	N;NOM;SG	PROPN
että	זה	että	זה	CONJ	PRO;MASC;SG;3
sen	שלו	se	של	PRO;GEN;SG	
kanssa	עם	kanssa	עם	ADV	ADP
hänen	שלו	hän	של	PRO;GEN;SG;3	
hänen	שלה	hän	של	PRO;GEN;SG;3	
hänen	בה	hän	ב	PRO;GEN;SG;3	
hänen	לה	hän	ל	PRO;GEN;SG;3	
hänen	עליה	hän	על	PRO;GEN;SG;3	
hänen	אותה	hän	None	PRO;GEN;SG;3	PRO;ACC;FEM;SG;3
jälkeen	אחרי	jälkeen	אחרי	ADV	ADP
jälkeen	לאחר	jälkeen	לאחר	ADV	ADP
suomen	פיני	suomi	פיני	N;GEN;SG	PROPN
suomen	פינית	suomi	פיני	N;GEN;SG	PROPN
kun	מתי	kun	מתי	CONJ	ADV
kuin	כמו	kuin	כמו	CONJ	ADP
kuin	אוהב	kuin	אהב	CONJ	V;MASC;SG;V.PTCP;ACT
kuin	כאילו	kuin	כאילו	CONJ	CONJ
ole	אולה	olla	אולה	V;IMP;SG;2;FIN;ACT	PROPN
mukaan	עם	mukaan	עם	ADV	ADP
jonka	אשר	joka	אשר	PRO;GEN;SG	CONJ
jonka	איזה	joka	איזה	PRO;GEN;SG	
jossa	לאן	joka	לאן	PRO;IN+ESS;SG	ADV
jossa	איפה	joka	איפה	PRO;IN+ESS;SG	ADV
jossa	היכן	joka	היכן	PRO;IN+ESS;SG	ADV
kuitenkin	אולם	kuitenkin	אולם	ADV	CONJ
voi	במאי	voi	במאי	INTJ	N;MASC;SG
voi	מיי	voi	מיי	INTJ	
voi	מאי	voi	מאי	INTJ	PROPN
voi	יכולה	voi	יכול	INTJ	V;FEM;SG;V.PTCP
