que	you	que	you	PRO	N;NOM;SG
o	mis	o	mis	DET	PRO;NOM;SG
o	mida	o	mis	DET	PRO;PRT;SG
non	mitte	non	mitte	PART	ADV;NEG
non	ei	non	ei	PART	ADV
non	doni	non	doni	PART	ADJ
non	don	non	don	PART	N;NOM;SG
un	ühe	un	üks	DET	NUM;GEN;SG
un	üks	un	üks	DET	PRO;NOM;SG
unha	ühe	un	üks	DET	NUM;GEN;SG
unha	üks	un	üks	DET	PRO;NOM;SG
se	sind	se	sina	CONJ	PRO;PRT;SG;2
se	you	se	you	CONJ	N;NOM;SG
se	sina	se	sina	CONJ	PRO;NOM;SG;2
para	for	para	for	ADP	N;NOM;SG
por	for	por	for	ADP	N;NOM;SG
por	miks	por	miks	ADP	ADV
por	palun	por	paluma	ADP	V;IND;SG;1;PRS;FIN;ACT
do	alates	do	alates	PROPN	ADV
do	kellelt	do	kes	PROPN	PRO;AT+ABL;SG
da	alates	da	alates	V	ADV
da	kellelt	da	kes	V	PRO;AT+ABL;SG
como	kuidas	como	kuidas	PRO	ADV
como	nagu	como	nagu	PRO	CONJ
como	meeldib	como	meeldima	PRO	V;IND;SG;3;PRS;FIN;ACT
máis	enamikul	máis	enamik	ADV	N;AT+ESS
;SG
máis	enamus	máis	enamus	ADV	N;NOM;SG
máis	enamik	máis	enamik	ADV	N;NOM;SG
máis	enim	máis	enim	ADV	ADJ;NOM;CMPR;SG
máis	than	máis	than	ADV	N;NOM;SG
ben	tubli	ben	tubli	ADV	ADJ;NOM;SG
ben	hea	ben	hea	ADV	ADJ;NOM;SG
ben	noh	ben	noh	ADV	INTJ
ben	no	ben	no	ADV	INTJ
ben	olgu	ben	olema	ADV	V;IMP;SG;2;PRS;FIN;ACT
ben	õigus	ben	õigus	ADV	N;NOM;SG
ben	õige	ben	õige	ADV	ADJ;NOM;SG
ben	kõik	ben	kõik	ADV	PRO;NOM;SG
con	koos	con	koos	ADP	ADV
son	nad	ser	tema	V	PRO;NOM;PL;3
hai	seal	haber	seal	V	ADV
todo	kõik	todo	kõik	DET	PRO;NOM;SG
todo	kõik	todo	kõik	DET	PRO;NOM;SG
todo	kõike	todo	kõik	DET	PRO;PRT;SG
cando	millal	cando	millal	PRO	ADV
cando	kui	cando	kui	PRO	CONJ
cando	you	cando	you	PRO	N;NOM;SG
xa	sind	xa	sina	ADV	PRO;PRT;SG;2
xa	you	xa	you	ADV	N;NOM;SG
xa	sina	xa	sina	ADV	PRO;NOM;SG;2
xa	tea	xa	teadma	ADV	V;IMP;SG;2;PRS;FIN;ACT
dos	alates	dos	alates	PROPN	ADV
dos	kellelt	dos	kes	PROPN	PRO;AT+ABL;SG
ti	sind	ti	sina		PRO;PRT;SG;2
ti	you	ti	you		N;NOM;SG
ti	sina	ti	sina		PRO;NOM;SG;2
súa	tema	seu	tema	DET	PRO;NOM;SG;3
súa	teda	seu	tema	DET	PRO;PRT;SG;3
súa	tema	seu	tema	DET	PRO;NOM;SG;3
súa	nende	seu	tema	DET	PRO;GEN;PL
súa	oma	seu	oma	DET	PRO;NOM;SG
súa	sinu	seu	sina	DET	PRO;GEN;SG;2
súa	teie	seu	sina	DET	PRO;NOM;PL;2
así	nagu	así	nagu	ADV	CONJ
así	meeldib	así	meeldima	ADV	V;IND;SG;3;PRS;FIN;ACT
así	see	así	see	ADV	PRO;NOM;SG
así	selle	así	see	ADV	PRO;GEN;SG
así	seda	así	see	ADV	PRO;PRT;SG
así	see	así	see	ADV	PRO;NOM;SG
así	seda	así	see	ADV	PRO;PRT;SG
seu	tema	seu	tema	DET	PRO;NOM;SG;3
seu	nende	seu	tema	DET	PRO;GEN;PL
seu	teda	seu	tema	DET	PRO;PRT;SG;3
seu	tema	seu	tema	DET	PRO;NOM;SG;3
seu	oma	seu	oma	DET	PRO;NOM;SG
seu	sinu	seu	sina	DET	PRO;GEN;SG;2
seu	teie	seu	sina	DET	PRO;NOM;PL;2
¿	mis	¿	mis		PRO;NOM;SG
¿	mida	¿	mis		PRO;PRT;SG
¿	kuidas	¿	kuidas		ADV
¿	miks	¿	miks		ADV
¿	sind	¿	sina		PRO;PRT;SG;2
¿	you	¿	you		N;NOM;SG
¿	sina	¿	sina		PRO;NOM;SG;2
¿	on	¿	olema		V;IND;SG;3;PRS;FIN;ACT
agora	nyyd	agora	nyyd	ADV	N;NOM;SG
ser	olemise	ser	olemine	V	N;GEN;SG
ser	olemine	ser	olemine	V	N;NOM;SG
facer	make	facer	make	V	N;NOM;SG
ten	sind	ter	sina	V	PRO;PRT;SG;2
ten	you	ter	you	V	N;NOM;SG
ten	sina	ter	sina	V	PRO;NOM;SG;2
onde	kus	onde	kus	PRO	ADV
onde	kuhu	onde	kuhu	PRO	ADV
era	oli	ser	olema	V	V;IND;SG;3;PST;FIN;ACT
esta	see	este	see	DET	PRO;NOM;SG
esta	selle	este	see	DET	PRO;GEN;SG
esta	seda	este	see	DET	PRO;PRT;SG
esta	täna	este	täna	DET	ADV
todos	kõik	todo	kõik	DET	PRO;NOM;SG
todos	iga	todo	iga	DET	PRO;NOM;SG
todos	kõik	todo	kõik	DET	PRO;NOM;SG
todos	igaüks	todo	iga_üks	DET	PRO;NOM;SG
este	see	este	see	DET	PRO;NOM;SG
este	selle	este	see	DET	PRO;GEN;SG
este	seda	este	see	DET	PRO;PRT;SG
este	see	este	see	DET	PRO;NOM;SG
este	seda	este	see	DET	PRO;PRT;SG
lle	you	lle	you	PRO	N;NOM;SG
vai	going	ir	going	V	N;NOM;SG
vai	minek	ir	minek	V	N;NOM;SG
vai	will	ir	will	V	N;NOM;SG
vai	tahe	ir	tahe	V	N;NOM;SG
pode	mai	poder	mai	V	N;NOM;SG
pode	sind	poder	sina	V	PRO;PRT;SG;2
pode	you	poder	you	V	N;NOM;SG
pode	sina	poder	sina	V	PRO;NOM;SG;2
te	you	te	you	PRO	N;NOM;SG
quero	doni	quero	doni	V	ADJ
quero	don	quero	don	V	N;NOM;SG
anos	vana	ano	vana	N	ADJ;NOM;SG
anos	vanaks	ano	vana	N	ADJ;TRANS;SG
anos	vanad	ano	vana	N	ADJ;NOM;PL
xente	on	xente	olema	N	V;IND;SG;3;PRS;FIN;ACT
vez	uuesti	vez	uuesti	N	ADV
vez	taas	vez	taas	N	ADV
vez	jälle	vez	jälle	N	ADV
vez	kord	vez	kord	N	ADV
vez	kunagi	vez	kunagi	N	ADV
señor	issand	señor	issand	N	INTJ
das	alates	das	alates	N	ADV
das	kellelt	das	kes	N	PRO;AT+ABL;SG
sei	doni	saber	doni	V	ADJ
sei	don	saber	don	V	N;NOM;SG
tempo	pikad	tempo	pikk	N	ADJ;NOM;PL
tempo	pikka	tempo	pikk	N	ADJ;PRT;SG
tempo	pikk	tempo	pikk	N	ADJ;NOM;SG
polo	vähim	polo	vähim	N	ADJ;NOM;CMPR;SG
dicir	ütlemine	dicir	ütlemine	V	N;NOM;SG
sobre	umbes	sobre	umbes	ADP	ADV
sobre	üle	sobre	üle	ADP	ADV
teu	sinu	teu	sina	DET	PRO;GEN;SG;2
teu	teie	teu	sina	DET	PRO;NOM;PL;2
estaba	oli	estar	olema	V	V;IND;SG;3;PST;FIN;ACT
aínda	kuigi	aínda	kuigi	ADV	CONJ
mesmo	sama	mesmo	sama	DET	PRO;NOM;SG
mesmo	samad	mesmo	sama	DET	PRO;NOM;PL
mesmo	isegi	mesmo	isegi	DET	ADV
mesmo	õigus	mesmo	õigus	DET	N;NOM;SG
mesmo	paremale	mesmo	paremale	DET	ADV
mesmo	õige	mesmo	õige	DET	ADJ;NOM;SG
moito	partii	moito	partii	ADV	N;NOM;SG
