que	che	que	che	PRO	DET
o	cosa	o	cosa	DET	PRO;SG
non	non	non	non	PART	ADV
non	don	non	don	PART	N;MASC;SG
un	one	un	ona	DET	N;SG
un	uno	un	uno	DET	PRO;MASC;SG
unha	one	un	ona	DET	N;SG
unha	uno	un	uno	DET	PRO;MASC;SG
se	te	se	te	CONJ	PRO;SG;2
se	tu	se	tu	CONJ	PRO;SG;2
se	voi	se	voi	CONJ	PRO;PL;2
por	perchè	por	perché	ADP	ADV
por	perché	por	perché	ADP	ADV
por	why	por	why	ADP	ADJ;SG
do	il	do	il	PROPN	DET;DEF;MASC;SG
do	la	do	il	PROPN	DET;DEF;FEM;SG
do	dal	do	dal	PROPN	ADJ;SG
do	dalla	do	dalla	PROPN	ADJ;SG
do	from	do	from	PROPN	
do	da	do	da	PROPN	ADP
da	il	da	il	V	DET;DEF;MASC;SG
da	la	da	il	V	DET;DEF;FEM;SG
da	dal	da	dal	V	ADJ;SG
da	dalla	da	dalla	V	ADJ;SG
da	from	da	from	V	
da	da	da	da	V	ADP
como	how	como	how	PRO	N
como	come	como	come	PRO	ADV
como	come	como	come	PRO	ADV
como	like	como	like	PRO	
máis	altro	máis	altro	ADV	PRO;MASC;SG
máis	more	máis	more	ADV	N;SG
máis	most	máis	most	ADV	
máis	than	máis	than	ADV	
no	il	no	il	V	DET;DEF;MASC;SG
no	la	no	il	V	DET;DEF;FEM;SG
ben	buona	ben	buono	ADV	ADJ;FEM;SG
ben	brava	ben	bravo	ADV	ADJ;FEM;SG
ben	bravo	ben	bravo	ADV	ADJ;MASC;SG
ben	buono	ben	buono	ADV	ADJ;MASC;SG
ben	bravi	ben	bravo	ADV	ADJ;MASC;PL
ben	pozzo	ben	pozzo	ADV	N;MASC;SG
ben	ok	ben	ok	ADV	V;IND;SG;2;PRS;FIN
ben	destro	ben	destro	ADV	N;MASC;SG
ben	right	ben	right	ADV	
ben	giusto	ben	giusto	ADV	ADJ;MASC;SG
ben	destra	ben	destra	ADV	N;FEM;SG
ben	tutto	ben	tutto	ADV	PRO;MASC;SG
ben	tutte	ben	tutto	ADV	DET;FEM;PL
ben	tutti	ben	tutto	ADV	PRO;MASC;PL
si	si	si	si	ADV	PRO;3
si	sì	si	sì	ADV	INTJ;POS
si	sì	si	sì	ADV	INTJ;POS
na	il	na	il	N	DET;DEF;MASC;SG
na	la	na	il	N	DET;DEF;FEM;SG
ao	il	ao	il	PROPN	DET;DEF;MASC;SG
ao	la	ao	il	PROPN	DET;DEF;FEM;SG
son	sono	ser	essere	V	V;IND;PL;3;PRS;FIN
son	loro	ser	loro	V	PRO;PL;3
á	il	á	il	N	DET;DEF;MASC;SG
á	la	á	il	N	DET;DEF;FEM;SG
aquí	here	aquí	vero	ADV	
iso	che	iso	che	PRO	DET
hai	lì	haber	lì	V	ADV
hai	là	haber	là	V	ADV
hai	sono	haber	essere	V	V;IND;PL;3;PRS;FIN
todo	tutto	todo	tutto	DET	PRO;MASC;SG
todo	tutti	todo	tutto	DET	PRO;MASC;PL
todo	tutto	todo	tutto	DET	PRO;MASC;SG
todo	everything	todo	everything	DET	N
cando	quando	cando	quando	PRO	ADV
cando	when	cando	when	PRO	
xa	te	xa	te	ADV	PRO;SG;2
xa	tu	xa	tu	ADV	PRO;SG;2
xa	voi	xa	voi	ADV	PRO;PL;2
xa	know	xa	know	ADV	N
dos	dal	dos	dal	PROPN	ADJ;SG
dos	dalla	dos	dalla	PROPN	ADJ;SG
dos	from	dos	from	PROPN	
dos	da	dos	da	PROPN	ADP
dos	il	dos	il	PROPN	DET;DEF;MASC;SG
dos	la	dos	il	PROPN	DET;DEF;FEM;SG
ti	te	ti	te		PRO;SG;2
ti	tu	ti	tu		PRO;SG;2
ti	voi	ti	voi		PRO;PL;2
só	only	só	only	ADV	
só	just	só	just	ADV	
súa	his	seu	his	DET	
súa	her	seu	her	DET	ADJ;SG
súa	loro	seu	loro	DET	PRO;PL;3
así	like	así	like	ADV	
así	this	así	this	ADV	
así	questo	así	questo	ADV	DET;MASC;SG
así	questa	así	questo	ADV	DET;FEM;SG
así	che	así	che	ADV	DET
seu	his	seu	his	DET	
seu	loro	seu	loro	DET	PRO;PL;3
seu	her	seu	her	DET	ADJ;SG
¿	cosa	¿	cosa		PRO;SG
¿	how	¿	how		N
¿	come	¿	come		ADV
¿	perchè	¿	perché		ADV
¿	perché	¿	perché		ADV
¿	why	¿	why		ADJ;SG
¿	te	¿	te		PRO;SG;2
¿	tu	¿	tu		PRO;SG;2
¿	voi	¿	voi		PRO;PL;2
¿	sono	¿	essere		V;IND;PL;3;PRS;FIN
ser	essendo	ser	essere	V	V;V.MSDR
ser	essere	ser	essere	V	V;NFIN
facer	make	facer	make	V	N
isto	this	isto	this	PRO	
isto	questo	isto	questo	PRO	DET;MASC;SG
isto	questa	isto	questo	PRO	DET;FEM;SG
isto	che	isto	che	PRO	DET
ten	got	ter	got	V	
ten	te	ter	te	V	PRO;SG;2
ten	tu	ter	tu	V	PRO;SG;2
ten	voi	ter	voi	V	PRO;PL;2
onde	where	onde	where	PRO	
onde	dove	onde	dove	PRO	ADV
nos	il	nos	il	PRO	DET;DEF;MASC;SG
nos	la	nos	il	PRO	DET;DEF;FEM;SG
esta	this	este	this	DET	
esta	tonight	este	tonight	DET	N
esta	stanotte	este	stanotta	DET	ADV
esta	stasera	este	stasera	DET	ADV
foi	era	ser	essere	V	V;IND;SG;3;IPFV;FIN
foi	fu	ser	essere	V	V;IND;SG;3;PST;FIN
nada	nothing	nada	nothing	PRO	N
quen	who	quen	who	PRO	
algo	something	algo	something	PRO	N
algo	alcune	algo	alcuno	PRO	DET;FEM;PL
algo	some	algo	some	PRO	
teño	got	ter	got	V	
todos	tutto	todo	tutto	DET	PRO;MASC;SG
todos	tutti	todo	tutto	DET	PRO;MASC;PL
todos	tutti	todo	tutto	DET	PRO;MASC;PL
porque	perchè	porque	perché	CONJ	ADV
porque	perché	porque	perché	CONJ	ADV
este	this	este	this	DET	
lle	her	lle	her	PRO	ADJ;SG
vai	will	ir	will	V	
vai	testamento	ir	testamento	V	N;MASC;SG
vai	volontà	ir	volontà	V	N;FEM
pode	possono	poder	potere	V	V;IND;PL;3;PRS;FIN
pode	can	poder	can	V	
pode	può	poder	potere	V	V;IND;SG;3;PRS;FIN
pode	may	poder	may	V	N
pode	maggio	poder	maggio	V	N;MASC;SG
pode	può	poder	potere	V	V;IND;SG;3;PRS;FIN
pode	te	poder	te	V	PRO;SG;2
pode	tu	poder	tu	V	PRO;SG;2
pode	voi	poder	voi	V	PRO;PL;2
tamén	too	tamén	too	ADV	
quero	don	quero	don	V	N;MASC;SG
anos	antico	ano	antico	N	ADJ;MASC;SG
anos	vecchi	ano	vecchio	N	ADJ;MASC;PL
anos	vecchio	ano	vecchio	N	ADJ;MASC;SG
