של	shel	של	shel	PART;GEN	N;MASC;SG
את	tu	את	tu	PART;ACC	INTJ
את	você	את	você	PART;ACC	PRO;NOM;SG;3
את	vc	את	vc	PART;ACC	PRO;NOM;MASC;SG;3
זה	este	זה	este	PRO;MASC;SG;3	DET;MASC;SG
זה	esse	זה	esse	PRO;MASC;SG;3	DET;MASC;SG
היא	she	הוא	she	PRO;FEM;SG;3	N;MASC;SG
היה	estava	היה	estar	V;MASC;SG;3;POS;PST	V;IND;SG;3;IPFV;FIN
היה	era	היה	ser	V;MASC;SG;3;POS;PST	V;IND;SG;3;IPFV;FIN
היה	tava	היה	tavo	V;MASC;SG;3;POS;PST	V;IND;SG;1;IPFV;FIN
היה	foi	היה	foi	V;MASC;SG;3;POS;PST	ADV
שיחה	chamada	שיחה	chamar	N;FEM;SG	V;FEM;SG;V.PTCP
שיחה	ligar	שיחה	ligar	N;FEM;SG	V;NFIN
שיחה	ligue	שיחה	ligar	N;FEM;SG	V;SBJV;SG;3;PRS;FIN
שיחה	chama	שיחה	chamar	N;FEM;SG	V;IND;SG;3;PRS;FIN
לאחר	after	לאחר	after	ADP	N;MASC;SG
לאחר	depois	לאחר	depois	ADP	ADV
בין	feijão	בין	feijão	ADP	N;MASC;SG
בין	bean	בין	bean	ADP	N;MASC;SG
בין	inter	בין	inter	ADP	N;MASC;SG
כל	tudo	כול	tudo	DET;PSSD	PRO;MASC;SG
כל	todos	כול	todo	DET;PSSD	PRO;MASC;PL
כי	pq	כי	pq	CONJ	
יותר	more	יותר	more	ADV	N;MASC;SG
ישראל	israel	ישראל	israel	PROPN	N;MASC;SG
עד	ate	עד	ate	ADP	INTJ
עד	até	עד	até	ADP	ADV
יש	oba	יש	obar	V	N;MASC;SG
שם	ai	שם	ai	ADV	INTJ
שם	nome	שם	nome	ADV	N;MASC;SG
הייתה	estava	היה	estar	V;FEM;SG;3;POS;PST	V;IND;SG;3;IPFV;FIN
הייתה	era	היה	ser	V;FEM;SG;3;POS;PST	V;IND;SG;3;IPFV;FIN
הייתה	tava	היה	tavo	V;FEM;SG;3;POS;PST	V;IND;SG;1;IPFV;FIN
הייתה	foi	היה	foi	V;FEM;SG;3;POS;PST	ADV
אשר	asher	אשר	asher	CONJ	N;MASC;SG
אשר	escher	אשר	escher	CONJ	N;MASC;SG
אשר	usher	אשר	usher	CONJ	N;MASC;SG
אשר	qual	אשר	qual	CONJ	PRO;MASC;SG
אשר	confirmar	אשר	confirmar	CONJ	V;NFIN
אשר	confirmem	אשר	confirmar	CONJ	V;SBJV;PL;3;PRS;FIN
אשר	confirme	אשר	confirmar	CONJ	V;SBJV;SG;3;PRS;FIN
כמו	like	כמו	like	ADP	N;MASC;SG
כמו	curta	כמו	curto	ADP	ADJ;FEM;SG
כמו	como	כמו	como	ADP	ADV
אחד	one	אחד	one	NUM;MASC;SG	N;MASC;SG
שמאל	partiu	שמאל	partir	N;MASC;SG	V;IND;SG;3;PST;FIN
חיצוניים	externas	חיצוני	externo	ADJ;MASC;PL	N;FEM;PL
חיצוניים	externo	חיצוני	externo	ADJ;MASC;PL	ADJ;MASC;SG
חיצוניים	externa	חיצוני	externo	ADJ;MASC;PL	N;FEM;SG
הברית	aliança	הברית	aliança	PROPN	N;FEM;SG
הברית	alliance	הברית	alliance	PROPN	N;MASC;SG
בו	ele	ב	ele	ADP	PRO;NOM;MASC;SG;3
בו	bu	ב	bu	ADP	N;MASC;SG
בו	boo	ב	boo	ADP	N;MASC;SG
היו	estavam	היה	estar	V;PL;3;POS;PST	V;IND;PL;3;IPFV;FIN
היו	foram	היה	ser	V;PL;3;POS;PST	V;IND;PL;3;PST;FIN
היו	eram	היה	ser	V;PL;3;POS;PST	V;IND;PL;3;IPFV;FIN
כאשר	quando	כאשר	quando	CONJ	ADV
כאשר	when	כאשר	when	CONJ	N;MASC;SG
אותו	ele	None	ele	PRO;ACC;MASC;SG;3	PRO;NOM;MASC;SG;3
בן	ben	בן	ben	PROPN	N;MASC;SG
בן	son	בן	son	PROPN	N;MASC;SG
בן	filho	בן	filho	PROPN	N;MASC;SG
שלו	seu	של	seu		DET;MASC;SG
שלו	his	של	his		N;MASC;SG
שלו	sua	של	seu		DET;FEM;SG
שלו	seu	של	seu		DET;MASC;SG
שלו	sua	של	seu		DET;FEM;SG
שני	segunda	שני	segundo	NUM;MASC;PL	ADJ;FEM;SG
שני	second	שני	second	NUM;MASC;PL	N;MASC;SG
שני	segundo	שני	segundo	NUM;MASC;PL	ADV
שני	shani	שני	shani	NUM;MASC;PL	N;MASC;SG
שני	two	שני	two	NUM;MASC;PL	N;MASC;SG
שני	segunda	שני	segundo	NUM;MASC;PL	ADJ;FEM;SG
לו	lew	ל	lew		N;MASC;SG
לו	lou	ל	elau		N;MASC;SG
העולם	world	העולם	world		N;MASC;SG
העולם	mundo	העולם	mundo		N;MASC;SG
העיר	vila	העיר	vila	V;MASC;SG;3;PST;ACT	N;FEM;SG
העיר	cidade	העיר	cidade	V;MASC;SG;3;PST;ACT	N;FEM;SG
העיר	cidade	העיר	cidade	V;MASC;SG;3;PST;ACT	N;FEM;SG
במהלך	durante	במהלך	durante	ADV	ADP
שנים	years	שנה	years	N;FEM;PL	N;MASC;SG
אף	nariz	אף	nariz	CONJ	N;MASC;SG
אף	fep	אף	fep	CONJ	N;FEM;SG
רבים	muitos	רב	muito	V;MASC;PL;V.PTCP;ACT	PRO;MASC;PL
רבים	muitas	רב	muito	V;MASC;PL;V.PTCP;ACT	PRO;FEM;PL
רבים	plural	רב	plural	V;MASC;PL;V.PTCP;ACT	N;MASC;SG
בה	dela	ב	dela		N;MASC;SG
בה	ela	ב	ela		PRO;NOM;FEM;SG;3
בה	her	ב	her		N;MASC;SG
אין	nenhum	None	nenhum	ADV;NEG	DET;MASC;SG
אין	nenhuma	None	nenhum	ADV;NEG	DET;FEM;SG
במאי	pode	במאי	poder	N;MASC;SG	V;IND;SG;3;PRS;FIN
שנה	anos	שנה	ano	N;FEM;SG	N;MASC;PL
נולד	born	נולד	born	V;MASC;SG;3;PST;MID	N;MASC;SG
הערות	comentário	הערה	comentário	N;FEM;PL	N;MASC;SG
הערות	comentar	הערה	comentar	N;FEM;PL	V;NFIN
הערות	comenta	הערה	comentar	N;FEM;PL	V;IND;SG;3;PRS;FIN
חלק	suave	חלק	suave	N;MASC;SG	ADJ;MASC;SG
חלק	suaves	חלק	suave	N;MASC;SG	ADJ;MASC;PL
לפני	antes	לפני	antes	ADP	ADV
אחת	one	אחת	one	NUM;FEM;SG	N;MASC;SG
ביולי	julho	ביולי	julho	PROPN	N;MASC;SG
שוליים	franja	שול	franja	N;MASC;PL	N;FEM;SG
שוליים	fringe	שול	fringe	N;MASC;PL	N;MASC;SG
שוליים	margem	שול	margem	N;MASC;PL	N;FEM;SG
להיות	sendo	היה	ser	V;POS;NFIN	V;V.MSDR
להיות	ser	היה	ser	V;POS;NFIN	V;NFIN
באוקטובר	outubro	באוקטובר	outubro	PROPN	N;MASC;SG
באוקטובר	toc	באוקטובר	toc	PROPN	N;MASC;SG
באוקטובר	out	באוקטובר	out	PROPN	N;MASC;SG
בשם	nomeada	בשם	nomear		V;FEM;SG;V.PTCP
בשם	nomeado	בשם	nomear		V;MASC;SG;V.PTCP
אותה	dela	None	dela	PRO;ACC;FEM;SG;3	N;MASC;SG
אותה	ela	None	ela	PRO;ACC;FEM;SG;3	PRO;NOM;FEM;SG;3
אותה	her	None	her	PRO;ACC;FEM;SG;3	N;MASC;SG
החל	começou	None	começar	ADP	V;IND;SG;3;PST;FIN
החל	começaram	None	começar	ADP	V;IND;PL;3;FIN
החל	começando	None	começar	ADP	V;V.MSDR
החל	iniciando	None	iniciar	ADP	V;V.MSDR
הרב	ervas	הרב	erva		N;FEM;PL
הרב	herb	הרב	herb		N;MASC;SG
הרב	erva	הרב	ervar		N;FEM;SG
מן	maná	מן	manar	ADP	N;MASC;SG
בינואר	janeiro	בינואר	janeiro		N;MASC;SG
במרץ	march	במרץ	march	PROPN	N;MASC;SG
במרץ	marchar	במרץ	marchar	PROPN	V;NFIN
במרץ	marcha	במרץ	marcha	PROPN	N;FEM;SG
במרץ	março	במרץ	março	PROPN	N;MASC;SG
ראש	cabeças	ראש	cabeça	N;MASC;SG	N;FEM;PL
חיים	vida	חיים	vida	PROPN	N;FEM;SG
חיים	life	חיים	life	PROPN	N;MASC;SG
חיים	chaim	חיים	chair	PROPN	N;MASC;SG
חיים	haim	חיים	haim	PROPN	N;MASC;SG
המאה	século	המאה	século		N;MASC;SG
המאה	century	המאה	century		N;MASC;SG
בנובמבר	novembro	בנובמבר	novembro	ADV	N;MASC;SG
בדצמבר	dezembro	בדצמבר	dezembro	PROPN	N;MASC;SG
לי	lee	ל	lee		N;MASC;SG
בבית	home	בבית	home		N;MASC;SG
בבית	casa	בבית	casa		N;FEM;SG
בבית	lar	בבית	lar		N;MASC;SG
בפברואר	fevereiro	בפברואר	fevereiro	ADV	N;MASC;SG
אלו	estes	אלו	este	PRO;PL;3	DET;MASC;PL
אלו	esses	אלו	esse	PRO;PL;3	DET;MASC;PL
אחר	outro	אחר	outro	ADP	PRO;MASC;SG
אחר	outros	אחר	outro	ADP	PRO;MASC;PL
אחר	outras	אחר	outro	ADP	PRO;FEM;PL
אחר	outra	אחר	outro	ADP	PRO;FEM;SG
בני	benny	בני	benny	PROPN	N;MASC;SG
בני	son	בני	son	PROPN	N;MASC;SG
בני	filho	בני	filho	PROPN	N;MASC;SG
שונים	diferente	שונה	diferente	ADJ;MASC;PL	ADJ;MASC;SG
שונים	vários	שונה	vários	ADJ;MASC;PL	PRO;MASC;PL
שונים	várias	שונה	várias	ADJ;MASC;PL	PRO;FEM;PL
רב	rav	רב	rav		N;MASC;SG
אדם	humano	אדם	humano	N;MASC;SG	ADJ;MASC;SG
אדם	humanas	אדם	humano	N;MASC;SG	N;FEM;PL
אדם	humana	אדם	humano	N;MASC;SG	ADJ;FEM;SG
כלל	regra	כלל	regra	ADV	N;FEM;SG
עוד	more	עוד	more	ADV	N;MASC;SG
דבר	conversar	דבר	conversar	N;MASC;SG	V;NFIN
דבר	fala	דבר	falar	N;MASC;SG	V;IND;SG;3;PRS;FIN
דבר	falar	דבר	falar	N;MASC;SG	V;NFIN
דבר	fale	דבר	falar	N;MASC;SG	V;SBJV;SG;3;PRS;FIN
דבר	falem	דבר	falar	N;MASC;SG	V;SBJV;PL;3;PRS;FIN
דבר	fala	דבר	falar	N;MASC;SG	V;IND;SG;3;PRS;FIN
דבר	falar	דבר	falar	N;MASC;SG	V;NFIN
דבר	fale	דבר	falar	N;MASC;SG	V;SBJV;SG;3;PRS;FIN
אחרים	outro	אחר	outro	ADJ;MASC;PL	PRO;MASC;SG
אחרים	outros	אחר	outro	ADJ;MASC;PL	PRO;MASC;PL
אחרים	outras	אחר	outro	ADJ;MASC;PL	PRO;FEM;PL
אחרים	outra	אחר	outro	ADJ;MASC;PL	PRO;FEM;SG
אחרים	outros	אחר	outro	ADJ;MASC;PL	PRO;MASC;PL
אחרים	outras	אחר	outro	ADJ;MASC;PL	PRO;FEM;PL
ספר	reservar	ספר	reservar	N;MASC;SG	V;NFIN
ספר	livros	ספר	livro	N;MASC;SG	N;MASC;PL
ספר	conte	ספר	conte	N;MASC;SG	V;SBJV;SG;3;PRS;FIN
ספר	diz	ספר	dizer	N;MASC;SG	V;IND;SG;3;PRS;FIN
ספר	diga	ספר	dizer	N;MASC;SG	V;SBJV;SG;3;PRS;FIN
לה	dela	ל	dela		N;MASC;SG
לה	ela	ל	ela		PRO;NOM;FEM;SG;3
לה	her	ל	her		N;MASC;SG
זכה	won	זכה	won	V;MASC;SG;3;PST;ACT	N;MASC;SG
אחרי	after	אחרי	after	ADP	N;MASC;SG
אחרי	depois	אחרי	depois	ADP	ADV
אלה	estes	אלה	este	PRO;MASC;PL;3	DET;MASC;PL
אלה	esses	אלה	esse	PRO;MASC;PL;3	DET;MASC;PL
אלה	ella	אלה	ella	PRO;MASC;PL;3	N;FEM;SG
אלה	deusa	אלה	deusa	PRO;MASC;PL;3	N;FEM;SG
כבר	ja	כבר	ja	ADV	INTJ
ירושלים	jerusalem	ירושלים	jerusalem	PROPN	N;MASC;PL
ירושלים	jerusalém	ירושלים	jerusalém	PROPN	N;MASC;SG
ירושלים	yerushalayim	ירושלים	yerushalayim	PROPN	V;IND;SG;3;PRS;FIN
המדינה	estaduais	המדין	estadual	V;FEM;SG;3;PST;ACT	N;MASC;PL
המדינה	state	המדין	state	V;FEM;SG;3;PST;ACT	N;MASC;SG
המדינה	estado	המדין	estado	V;FEM;SG;3;PST;ACT	N;MASC;SG
המדינה	estadual	המדין	estadual	V;FEM;SG;3;PST;ACT	ADJ;MASC;SG
יהודים	judaica	יהודי	judaica	N;MASC;PL	N;FEM;SG
יהודים	judia	יהודי	judia	N;MASC;PL	N;FEM;SG
יהודים	judeu	יהודי	judeu	N;MASC;PL	N;MASC;SG
יהודים	judaico	יהודי	judaico	N;MASC;PL	N;MASC;SG
רבות	muitos	רב	muito	N;FEM;PL	PRO;MASC;PL
רבות	muitas	רב	muito	N;FEM;PL	PRO;FEM;PL
כמה	alguns	כמה	algum	DET;PSSD	PRO;MASC;PL
כמה	algumas	כמה	algum	DET;PSSD	PRO;FEM;PL
מטר	pés	מטר	pé	PROPN	N;MASC;PL
מטר	metro	מטר	metro	PROPN	N;MASC;SG
מטר	contadores	מטר	contador	PROPN	N;MASC;PL
מטר	metros	מטר	metro	PROPN	N;MASC;PL
מטר	medidores	מטר	medidor	PROPN	N;MASC;PL
מטר	medidor	מטר	medidor	PROPN	N;MASC;SG
מטר	contador	מטר	contador	PROPN	N;MASC;SG
מטר	métrica	מטר	métrico	PROPN	N;FEM;SG
מטר	metros	מטר	metro	PROPN	N;MASC;PL
דרך	via	דרך	via		N;FEM;SG
דרך	através	דרך	através		ADV
דרך	through	דרך	through		N;MASC;SG
דרך	maneira	דרך	maneira		N;FEM;SG
דרך	way	דרך	way		N;MASC;SG
יכול	poderiam	None	poder	V;MASC;SG;V.PTCP	V;COND;PL;3;FIN
יכול	podia	None	poder	V;MASC;SG;V.PTCP	V;IND;SG;3;IPFV;FIN
יכול	poderia	None	poder	V;MASC;SG;V.PTCP	V;COND;SG;3;FIN
יכול	podiam	None	poder	V;MASC;SG;V.PTCP	V;IND;PL;3;IPFV;FIN
יכול	pode	None	poder	V;MASC;SG;V.PTCP	V;IND;SG;3;PRS;FIN
יכול	podem	None	poder	V;MASC;SG;V.PTCP	V;IND;PL;3;PRS;FIN
יכול	lata	None	lata	V;MASC;SG;V.PTCP	N;FEM;SG
יכול	can	None	can	V;MASC;SG;V.PTCP	N;MASC;SG
באמצעות	via	באמצעות	via	ADP	N;FEM;SG
בעלי	marido	בעל	marido	N;PSSD;MASC;PL	N;MASC;SG
בעלי	esposo	בעל	esposo	N;PSSD;MASC;PL	N;MASC;SG
יחד	juntos	יחד	junto	ADV	N;MASC;PL
יחד	juntas	יחד	juntas	ADV	N;FEM;PL
בשל	madura	בשל	madura	ADP	ADJ;FEM;SG
בשל	maduro	בשל	maduro	ADP	ADJ;MASC;SG
בשל	maduros	בשל	maduro	ADP	ADJ;MASC;PL
בשל	devido	בשל	devido	ADP	ADV
בשל	devida	בשל	devida	ADP	V;FEM;SG;V.PTCP
בשל	devidas	בשל	devida	ADP	V;FEM;PL;V.PTCP
פרס	recompensar	פרס	recompensar	PROPN	V;NFIN
פרס	recompensa	פרס	recompensar	PROPN	N;FEM;SG
פרס	recompensas	פרס	recompensa	PROPN	N;FEM;PL
פרס	prémio	פרס	prémio	PROPN	N;MASC;SG
פרס	premio	פרס	premio	PROPN	N;MASC;SG
פרס	prêmio	פרס	prêmio	PROPN	N;MASC;SG
פרס	prémio	פרס	prémio	PROPN	N;MASC;SG
פרס	prêmio	פרס	prêmio	PROPN	N;MASC;SG
ראו	rao	ראה	rao	V;PL;3;PST;ACT	N;MASC;SG
דוד	dodd	דוד	dodd	PROPN	N;MASC;SG
דוד	titio	דוד	titio	PROPN	N;MASC;SG
דוד	tio	דוד	tio	PROPN	N;MASC;SG
דוד	davi	דוד	daver	PROPN	N;MASC;SG
דוד	david	דוד	david	PROPN	PROPN;MASC;SG
שלה	dela	של	dela		N;MASC;SG
שלה	dela	של	dela		N;MASC;SG
שלה	ela	של	ela		PRO;NOM;FEM;SG;3
שלה	her	של	her		N;MASC;SG
בנוסף	plus	בנוסף	plus	ADV	N;MASC;SG
תחת	ass	תחת	ass	ADP	N;MASC;SG
תחת	cú	תחת	cú	ADP	N;MASC;SG
תחת	rabo	תחת	rabo	ADP	N;MASC;SG
תחת	cu	תחת	cu	ADP	N;MASC;SG
תחת	bunda	תחת	bunda	ADP	N;FEM;SG
תחת	cu	תחת	cu	ADP	N;MASC;SG
תחת	rabo	תחת	rabo	ADP	N;MASC;SG
תחת	bumbum	תחת	bumbum	ADP	N;MASC;SG
תחת	bunda	תחת	bunda	ADP	N;FEM;SG
תחת	under	תחת	under	ADP	N;MASC;SG
כתב	escreveu	כתב	escrever	N;MASC;SG	V;IND;SG;3;PST;FIN
כתב	escrevia	כתב	escrever	N;MASC;SG	V;IND;SG;3;IPFV;FIN
כתב	escrevi	כתב	escrever	N;MASC;SG	V;IND;SG;1;PST;FIN
הקבוצה	grupo	הקבוצה	grupo	PROPN	N;MASC;SG
הקבוצה	agrupar	הקבוצה	agrupar	PROPN	V;NFIN
הערך	value	הערך	value		N;MASC;SG
הערך	valor	הערך	valor		N;MASC;SG
היום	hj	היום	hj	ADV	V;IND;SG;1;PRS;FIN
רבי	rabi	רבי	rabi	PROPN	N;MASC;SG
רבי	rabino	רבי	rabino	PROPN	N;MASC;SG
מי	oms	מי	oms	ADV	N;FEM;SG
מי	who	מי	who	ADV	N;MASC;SG
מי	quem	מי	quem	ADV	PRO;SG
למרות	apesar	למרות	apesar	ADP	ADV
למרות	embora	למרות	embora	ADP	CONJ
למרות	embora	למרות	embora	ADP	CONJ
אחרות	outros	אחר	outro	ADJ;FEM;PL	PRO;MASC;PL
אחרות	outras	אחר	outro	ADJ;FEM;PL	PRO;FEM;PL
אותם	eles	None	eles	PRO;ACC;MASC;PL;3	PRO;NOM;MASC;PL;3
המלחמה	guerra	המלחם	guerra	PROPN	N;FEM;SG
המלחמה	war	המלחם	war	PROPN	N;MASC;SG
המלחמה	guerras	המלחם	guerra	PROPN	N;FEM;PL
שונות	diferente	שונה	diferente	ADJ;FEM;PL	ADJ;MASC;SG
שונות	vários	שונה	vários	ADJ;FEM;PL	PRO;MASC;PL
הארץ	earth	הארץ	earth		N;MASC;SG
הארץ	terra	הארץ	terra		N;FEM;SG
תאריך	data	תאריך	data	PROPN	N;FEM;SG
עבר	passadas	עבר	passar	N;MASC;SG	V;FEM;PL;V.PTCP
עבר	passados	עבר	passar	N;MASC;SG	V;MASC;PL;V.PTCP
עבר	passado	עבר	passar	N;MASC;SG	V;MASC;SG;V.PTCP
עבר	movida	עבר	mover	N;MASC;SG	V;FEM;SG;V.PTCP
עבר	movido	עבר	mover	N;MASC;SG	V;MASC;SG;V.PTCP
עבר	comovida	עבר	comover	N;MASC;SG	V;FEM;SG;V.PTCP
עבר	comovido	עבר	comover	N;MASC;SG	V;MASC;SG;V.PTCP
עבר	passou	עבר	passar	N;MASC;SG	V;IND;SG;3;PST;FIN
אפשר	ativar	אפשר	ativar	V	V;NFIN
אפשר	activar	אפשר	activar	V	V;NFIN
אפשר	habilitar	אפשר	habilitar	V	V;NFIN
אפשר	permitir	אפשר	permitir	V	V;NFIN
אפשר	permita	אפשר	permitir	V	V;SBJV;SG;3;PRS;FIN
נוסף	adicionado	None	adicionar	ADP	V;MASC;SG;V.PTCP
נוסף	adicionada	None	adicionar	ADP	V;FEM;SG;V.PTCP
נוסף	acrescentado	None	acrescentar	ADP	V;MASC;SG;V.PTCP
נוסף	adicionados	None	adicionar	ADP	V;MASC;PL;V.PTCP
נוסף	adicionou	None	adicionar	ADP	V;IND;SG;3;PST;FIN
נוסף	adicionadas	None	adicionar	ADP	V;FEM;PL;V.PTCP
מרכז	centrais	מרכז	central	N;MASC;SG	N;MASC;PL
מרכז	centralizar	מרכז	centralizar	N;MASC;SG	V;NFIN
מרכז	centrar	מרכז	centrar	N;MASC;SG	V;NFIN
מרכז	centrar	מרכז	centrar	N;MASC;SG	V;NFIN
מרכז	centralizar	מרכז	centralizar	N;MASC;SG	V;NFIN
שימוש	utilizar	שימוש	utilizar	N;MASC;SG	V;NFIN
שימוש	usar	שימוש	usar	N;MASC;SG	V;NFIN
שימוש	usando	שימוש	usar	N;MASC;SG	V;V.MSDR
שימוש	utilizando	שימוש	utilizar	N;MASC;SG	V;V.MSDR
שימוש	usar	שימוש	usar	N;MASC;SG	V;NFIN
שימוש	use	שימוש	usar	N;MASC;SG	V;SBJV;SG;3;PRS;FIN
שימוש	utilizar	שימוש	utilizar	N;MASC;SG	V;NFIN
שיש	mármore	שיש	mármore		N;MASC;SG
שיש	marble	שיש	marble		N;MASC;SG
רוב	roubar	רוב	roubar	N;MASC;SG	V;NFIN
כולל	inclusiva	כלל	inclusivo	V;MASC;SG;V.PTCP;ACT	N;FEM;SG
כולל	inclusivo	כלל	inclusivo	V;MASC;SG;V.PTCP;ACT	ADJ;MASC;SG
כולל	inclui	כלל	incluir	V;MASC;SG;V.PTCP;ACT	V;IND;SG;3;PRS;FIN
כולל	inclusive	כלל	inclusive	V;MASC;SG;V.PTCP;ACT	ADV
כולל	incluídas	כלל	incluir	V;MASC;SG;V.PTCP;ACT	V;FEM;PL;V.PTCP
כולל	incluídos	כלל	incluir	V;MASC;SG;V.PTCP;ACT	V;MASC;PL;V.PTCP
גדול	large	גדול	large	ADJ;MASC;SG	N;MASC;SG
גדול	grandes	גדול	grande	ADJ;MASC;SG	N;MASC;PL
גדול	big	גדול	big	ADJ;MASC;SG	N;MASC;SG
גדול	grandes	גדול	grande	ADJ;MASC;SG	N;MASC;PL
ישראלים	israelita	ישראלי	israelita	N;MASC;PL	N;MASC;SG
ישראלים	israelense	ישראלי	israelense	N;MASC;PL	ADJ;MASC;SG
מאז	since	מאז	since	ADV	N;MASC;SG
מאז	desde	מאז	desde	ADV	ADP
יהודי	judeus	יהודי	judeu	N;MASC;SG	N;MASC;PL
סוג	gentil	סוג	gentil	N;MASC;SG	ADJ;MASC;SG
סוג	bondoso	סוג	bondoso	N;MASC;SG	ADJ;MASC;SG
סוג	digite	סוג	digitir	N;MASC;SG	V;SBJV;SG;3;PRS;FIN
ראשון	domingos	ראשון	domingo	PROPN	N;MASC;PL
ראשון	domingo	ראשון	domingo	PROPN	N;MASC;SG
ראשון	rishon	ראשון	rishon	PROPN	N;MASC;SG
ראשון	primeira	ראשון	primeiro	PROPN	ADJ;FEM;SG
ראשון	primeiros	ראשון	primeiro	PROPN	ADJ;MASC;PL
ראשון	primeiramente	ראשון	primeiramente	PROPN	ADV
ראשון	primeiro	ראשון	primeiro	PROPN	ADV
מידע	info	מידע	info	N;MASC;SG	ADJ;FEM;SG
מידע	informações	מידע	informação	N;MASC;SG	N;FEM;PL
מידע	dados	מידע	dado	N;MASC;SG	N;MASC;PL
אנשים	povo	איש	povo	N;MASC;PL	N;MASC;SG
אנשים	gente	איש	gente	N;MASC;PL	N;FEM;SG
קובץ	arquivo	קובץ	arquivo	PROPN	N;MASC;SG
קובץ	ficheiro	קובץ	ficheiro	PROPN	N;MASC;SG
