את	你	את	你	PART;ACC	PRO;2
זה	這	זה	這	PRO;MASC;SG;3	DET
זה	那	זה	那	PRO;MASC;SG;3	DET
שיחה	致電	שיחה	致電	N;FEM;SG	V
שיחה	打電	שיחה	打電	N;FEM;SG	V
שיחה	呼叫	שיחה	呼叫	N;FEM;SG	V
לאחר	後	לאחר	後	ADP	ADV
לאחר	之後	לאחר	之後	ADP	N
בין	豆	בין	豆	ADP	N
כל	all	כול	all	DET;PSSD	
כי	因為	כי	因為	CONJ	ADP
יותר	多	יותר	多	ADV	
יותר	更多	יותר	更多	ADV	ADJ
ישראל	以色列	ישראל	以色列	PROPN	PROPN
אך	但	אך	但	CONJ	ADV
אך	不過	אך	不過	CONJ	ADV
אך	但是	אך	但是	CONJ	ADV
יש	耶	יש	耶	V	
שם	名字	שם	名字	ADV	N
שם	名稱	שם	名稱	ADV	N
שם	姓名	שם	姓名	ADV	N
בית	beit	בית	beit	N;MASC;SG	
בית	首頁	בית	首頁	N;MASC;SG	
בית	home	בית	home	N;MASC;SG	
אשר	確認	אשר	確認	CONJ	V
אשר	證實	אשר	證實	CONJ	V
כמו	讚	כמו	讚	ADP	
כמו	就	כמו	就	ADP	ADV
כמו	喜歡	כמו	喜歡	ADP	V
אחד	one	אחד	one	NUM;MASC;SG	
הברית	聯盟	הברית	聯盟	PROPN	N
הברית	同盟	הברית	同盟	PROPN	N
הברית	結盟	הברית	結盟	PROPN	V
בו	boo	ב	boo	ADP	
רק	只有	רק	只有	ADV	ADP
רק	只要	רק	只要	ADV	ADP
כאשר	當	כאשר	當	CONJ	ADP
בן	ben	בן	ben	PROPN	
בן	本	בן	本	PROPN	
בן	奔	בן	奔	PROPN	ADP
בן	兒子	בן	兒子	PROPN	N
שלו	他	של	他		PRO;3
שני	秒	שני	秒	NUM;MASC;PL	N
שני	週	שני	週	NUM;MASC;PL	N
שני	星期	שני	星期	NUM;MASC;PL	N
לו	婁	ל	婁		PROPN
לו	盧	ל	盧		PROPN
לו	lou	ל	lou		
העולם	世界	העולם	世界		N
העיר	城鎮	העיר	城鎮	V;MASC;SG;3;PST;ACT	N
העיר	鎮	העיר	鎮	V;MASC;SG;3;PST;ACT	N
העיר	城市	העיר	城市	V;MASC;SG;3;PST;ACT	N
העיר	市	העיר	市	V;MASC;SG;3;PST;ACT	N
העיר	城	העיר	城	V;MASC;SG;3;PST;ACT	N
אף	鼻	אף	鼻	CONJ	N
אף	鼻子	אף	鼻子	CONJ	N
רבים	許多	רב	許多	V;MASC;PL;V.PTCP;ACT	NUM
רבים	多	רב	多	V;MASC;PL;V.PTCP;ACT	NUM
רבים	複數	רב	複數	V;MASC;PL;V.PTCP;ACT	N
אבל	但	אבל	但	CONJ	ADV
אבל	不過	אבל	不過	CONJ	ADV
אבל	但是	אבל	但是	CONJ	ADV
בה	她	ב	她		PRO;3
אין	無	None	無	ADV;NEG	V
במאי	may	במאי	may	N;MASC;SG	
במאי	梅	במאי	梅	N;MASC;SG	PROPN
במאי	五	במאי	五	N;MASC;SG	NUM
במאי	五	במאי	五	N;MASC;SG	NUM
במאי	導演	במאי	導演	N;MASC;SG	V
נולד	天生	נולד	天生	V;MASC;SG;3;PST;MID	N
הערות	評論	הערה	評論	N;FEM;PL	V
חלק	順利	חלק	順利	N;MASC;SG	ADV
חלק	平	חלק	平	N;MASC;SG	PROPN
לפני	以前	לפני	以前	ADP	N
לפני	前	לפני	前	ADP	N
לפני	之前	לפני	之前	ADP	N
אחת	one	אחת	one	NUM;FEM;SG	
ביולי	七	ביולי	七	PROPN	NUM
ביולי	七	ביולי	七	PROPN	NUM
באוקטובר	十月	באוקטובר	十月	PROPN	
באוקטובר	十	באוקטובר	十	PROPN	NUM
באוקטובר	十月	באוקטובר	十月	PROPN	
הרב	藥草	הרב	藥草		N
מן	甘露	מן	甘露	ADP	N
בינואר	一	בינואר	一		NUM
במרץ	三	במרץ	三	PROPN	NUM
חיים	生命	חיים	生命	PROPN	N
חיים	人生	חיים	人生	PROPN	N
חיים	生活	חיים	生活	PROPN	V
חיים	chaim	חיים	chaim	PROPN	
חיים	haim	חיים	haim	PROPN	
המאה	世紀	המאה	世紀		N
בנובמבר	十一	בנובמבר	十一	ADV	NUM
בדצמבר	十二	בדצמבר	十二	PROPN	NUM
לי	lee	ל	lee		
לי	李	ל	李		PROPN
בבית	家	בבית	家		N
בבית	home	בבית	home		
בבית	住家	בבית	住家		N
בפברואר	二	בפברואר	二	ADV	NUM
אלו	這些	אלו	這些	PRO;PL;3	DET
אחר	其他	אחר	其他	ADP	DET
בני	兒子	בני	兒子	PROPN	N
רב	rav	רב	rav		
אדם	adam	אדם	adam	N;MASC;SG	
אדם	亞當	אדם	亞當	N;MASC;SG	PROPN
אדם	man	אדם	man	N;MASC;SG	
כלל	細則	כלל	細則	ADV	N
עוד	多	עוד	多	ADV	
עוד	更多	עוד	更多	ADV	ADJ
דבר	聊	דבר	聊	N;MASC;SG	V
אחרים	其他	אחר	其他	ADJ;MASC;PL	DET
אחרים	其他	אחר	其他	ADJ;MASC;PL	DET
לה	她	ל	她		PRO;3
זכה	元	זכה	元	V;MASC;SG;3;PST;ACT	PROPN
אחרי	後	אחרי	後	ADP	ADV
אחרי	之後	אחרי	之後	ADP	N
אולם	然而	אולם	然而	CONJ	ADV
יום	日	יום	日	N;MASC;SG	PROPN
