और	och	और	och		CONJ
से	från	से	från		ADP
है	hai	है	hai	V;IND;SG;3;PRS;FIN;ACT	N;NOM;INDF;NEUT;SG
एक	one	एक	one	NUM	N;NOM;INDF;MASC+FEM;SG
श्रेणी	serier	श्रेणी	serie	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;PL
श्रेणी	kategorierna	श्रेणी	kategorium	N;NOM;FEM;SG;3	N;NOM;DEF;MASC+FEM;PL
श्रेणी	kategorier	श्रेणी	kategorium	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;PL
भी	jämn	भी	jämn	PART	ADJ;NOM;INDF;MASC+FEM;SG
भी	även	भी	även	PART	ADV
भी	också	भी	också	PART	ADV
भी	även	भी	även	PART	ADV
भी	också	भी	också	PART	ADV
भी	oxå	भी	oxå	PART	N;NOM;INDF;MASC+FEM;SG
भी	too	भी	too	PART	N;NOM;INDF;NEUT;SG
भी	alltför	भी	alltför	PART	ADV
यह	denna	यह	denna	PRO;NOM;SG;3	PRO;DEF;MASC+FEM;SG
यह	detta	यह	denna	PRO;NOM;SG;3	PRO;DEF;NEUT;SG
किया	avklarat	कर	avklara	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
किया	färdig	कर	färdig	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;NOM;INDF;MASC+FEM;SG
इस	denna	यह	denna	DET;ACC;SG;3	PRO;DEF;MASC+FEM;SG
इस	detta	यह	denna	DET;ACC;SG;3	PRO;DEF;NEUT;SG
हैं	are	है	are	V;IND;PL;3;PRS;FIN;ACT	N;NOM;INDF;MASC+FEM;SG
कि	att	कि	att		PART
भारत	indiska	भारत	indisk	PROPN;NOM;MASC;SG;3	ADJ;NOM;PL
भारत	india	भारत	india	PROPN;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
भारत	indiskt	भारत	indisk	PROPN;NOM;MASC;SG;3	ADJ;NOM;INDF;NEUT;SG
भारत	indien	भारत	indien	PROPN;NOM;MASC;SG;3	PROPN;NOM
जो	joe	जो	joe	PRO;NOM;SG;3	PROPN;NOM
जो	vilka	जो	vilken	PRO;NOM;SG;3	PRO;INDF;PL
