evans	evans	evans	evans		PROPN;NOM;MASC;SG
bátran	tapfer	bátran	tapfer		ADJ
üzlet	shop	üzlet	shop	N;NOM;SG	
üzlet	einkaufen	üzlet	einkaufen	N;NOM;SG	V;NFIN
üzlet	deal	üzlet	deal	N;NOM;SG	
üzlet	abmachung	üzlet	abmachung	N;NOM;SG	ADV
üzlet	speichern	üzlet	speichern	N;NOM;SG	V;NFIN
üzlet	laden	üzlet	laden	N;NOM;SG	V;NFIN
üzlet	wirtschaft	üzlet	wirtschaft	N;NOM;SG	
üzlet	unternehmen	üzlet	unternehmen	N;NOM;SG	N;NOM;NEUT;PL
üzlet	geschäfte	üzlet	geschäft	N;NOM;SG	ADJ;NOM;PL
üzlet	geschäftlich	üzlet	geschäftlich	N;NOM;SG	ADJ
humán	geisteswissenschaften	humán	geisteswissenschaft		ADJ
humán	geistes	humán	geist		N;NOM;NEUT;SG
szardínia	sardinien	szardínia	sardinien		PROPN
szardínia	sardinen	szardínia	sardin		V;NFIN
szardínia	sardinen	szardínia	sardin		V;NFIN
ragadozók	fleischfresser	ragadozó	fleischfresser	N;NOM;PL	ADJ
ragadozók	raubtiere	ragadozó	raubtieren	N;NOM;PL	PROPN
ragadozók	räuber	ragadozó	räuber	N;NOM;PL	ADJ
ragadozók	raubtier	ragadozó	Raubtier	N;NOM;PL	ADJ
kellemetlen	beschwerden	kellemetlen	beschwerden		V;NFIN
kellemetlen	unbehagen	kellemetlen	unbehagen		V
kellemetlen	unangenehm	kellemetlen	unangenehm		ADJ
kellemetlen	unfreundlich	kellemetlen	unfreundlich		ADJ
kellemetlen	unangenehme	kellemetlen	unangenehm		ADJ;NOM;FEM;PL
kellemetlen	unangenehmen	kellemetlen	unangenehm		ADJ
kellemetlen	peinlich	kellemetlen	peinlich		ADJ
kellemetlen	unangenehm	kellemetlen	unangenehm		ADJ
kellemetlen	ungünstig	kellemetlen	ungünstig		ADJ
kellemetlen	umständlich	kellemetlen	umständlich		ADJ
kellemetlen	unangenehm	kellemetlen	unangenehm		ADJ
kellemetlen	unwohl	kellemetlen	unwohl		ADJ
kellemetlen	unbequem	kellemetlen	unbequem		ADJ
pontszám	score	pontszám	scoren	N;NOM;SG	PROPN
önéletrajzi	autobiographische	önéletrajzi	autobiographisch		ADJ;NOM;FEM;PL
tarn	tarn	tarn	tarn	PROPN;NOM;SG	PROPN;NOM;SG
guatemala	guatemala	guatemala	guatemala		PROPN;NOM;NEUT;SG
gondolatok	gedanken	gondolat	panken	N;NOM;PL	V;NFIN
gondolatok	überlegungen	gondolat	überlegungen	N;NOM;PL	V;NFIN
gondolatok	ideen	gondolat	ide	N;NOM;PL	V;NFIN
gondolatok	gedanken	gondolat	panken	N;NOM;PL	V;NFIN
gondolatok	überlegungen	gondolat	überlegungen	N;NOM;PL	V;NFIN
gondolatok	betrachtungen	gondolat	betrachtung	N;NOM;PL	V;NFIN
gondolatok	reflexionen	gondolat	reflexion	N;NOM;PL	V;NFIN
kiadványok	publikation	kiadvány	publikation	N;NOM;PL	N;NOM;FEM;SG
belföldi	inländische	belföldi	inländisch		ADJ;NOM;FEM;PL
belföldi	inländischen	belföldi	inländisch		ADJ
belföldi	heimisch	belföldi	heimisch		ADJ
belföldi	indigenen	belföldi	indigenen		ADJ;PL
belföldi	einheimische	belföldi	einheimisch		ADJ;NOM;FEM;PL
belföldi	indigene	belföldi	indigene		ADJ;NOM;FEM;PL
tartózkodik	stimmenthaltung	tartózkodik	stimmenthaltung	V;INDF;IND;SG;3;PRS;FIN;ACT	ADJ
tartózkodik	enthaltung	tartózkodik	enthaltung	V;INDF;IND;SG;3;PRS;FIN;ACT	N;NOM;FEM;SG
ram	ram	ram	ram	N;NOM;SG	
ram	arbeitsspeicher	ram	arbeitsspeicher	N;NOM;SG	ADJ
ram	rammen	ram	rammen	N;NOM;SG	V;NFIN
ram	widder	ram	widder	N;NOM;SG	
járőrök	patrouillen	járőr	patrouill	N;NOM;PL	V;NFIN
járőrök	patrouillen	járőr	patrouill	N;NOM;PL	V;NFIN
járőrök	streife	járőr	streifen	N;NOM;PL	ADJ;NOM
járőrök	patrouille	járőr	patrouille	N;NOM;PL	ADJ;NOM;SG
puccini	puccini	puccini	puccini	PROPN;NOM;SG	PROPN;NOM;MASC;SG
caroline	caroline	caroline	caroline		PROPN;NOM;FEM;SG
szakaszok	phase	szakasz	phase	N;NOM;PL	
szakaszok	etappen	szakasz	etapp	N;NOM;PL	V;NFIN
szakaszok	phasen	szakasz	phasen	N;NOM;PL	V;NFIN
szakaszok	stufen	szakasz	stufen	N;NOM;PL	V;NFIN
szakaszok	stadien	szakasz	stadienienen	N;NOM;PL	
szakaszok	etappen	szakasz	etapp	N;NOM;PL	V;NFIN
szakaszok	phasen	szakasz	phasen	N;NOM;PL	V;NFIN
szakaszok	abschnitte	szakasz	abschneiden	N;NOM;PL	
előírt	vorgeschriebene	előírt	vorgeschrieben	V;INDF;IND;SG;3;PST;FIN;ACT	ADJ;NOM;FEM;PL
azerbajdzsán	aserbaidschan	azerbajdzsán	aserbaidschan	N;NOM;SG	ADJ
rajzolta	drew	rajzol	drew	V;DEF;IND;SG;3;PST;FIN;ACT	PROPN;NOM;MASC;SG
tekintélyes	angesehene	tekintélyes	angesehen	ADJ;NOM;SG	ADJ;NOM;FEM;PL
tekintélyes	angesehenen	tekintélyes	angesehen	ADJ;NOM;SG	ADJ;PL
tekintélyes	renommierten	tekintélyes	renommiert	ADJ;NOM;SG	V;IND;PL;3;PST;FIN
tekintélyes	renommierte	tekintélyes	renommiert	ADJ;NOM;SG	V;IND;SG;3;PST;FIN
hátránya	nachteil	hátrány	nachteil	N;NOM;SG	
hátránya	kehrseite	hátrány	kehrseite	N;NOM;SG	ADJ
neumann	neumann	neumann	neumann		PROPN;NOM;SG
tea	tea	tea	tea	N;NOM;SG	
tea	tee	tea	tee	N;NOM;SG	
komikus	comics	komikus	comic	N;NOM;SG	PROPN
komikus	comic	komikus	comic	N;NOM;SG	PROPN;NOM;SG
komikus	komiker	komikus	komik	N;NOM;SG	ADJ
komikus	komiker	komikus	komik	N;NOM;SG	ADJ
látogató	besuch	látogató	besuchen	ADJ;NOM;SG	V;IND;SG;3;PST;FIN
látogató	besuchern	látogató	besuchern	ADJ;NOM;SG	V;NFIN
látogató	besucher	látogató	besucher	ADJ;NOM;SG	
látogató	besuch	látogató	besuchen	ADJ;NOM;SG	V;IND;SG;3;PST;FIN
látogató	besuchen	látogató	besuchen	ADJ;NOM;SG	V;NFIN
látogató	besuch	látogató	besuchen	ADJ;NOM;SG	V;IND;SG;3;PST;FIN
látogató	besuchern	látogató	besuchern	ADJ;NOM;SG	V;NFIN
látogató	besucherzahlen	látogató	besucherzahlen	ADJ;NOM;SG	V;NFIN
látogató	gäste	látogató	gesen	ADJ;NOM;SG	N;NOM;MASC;PL
látogató	besucher	látogató	besucher	ADJ;NOM;SG	
rugalmas	elastische	rugalmas	elastisch		ADJ;NOM;FEM;PL
rugalmas	belastbar	rugalmas	belastbar		ADJ
rugalmas	elastisch	rugalmas	elastisch		ADJ
rugalmas	widerstandsfähig	rugalmas	widerstandsfähig		ADJ
rugalmas	robust	rugalmas	robust		ADJ
rugalmas	flexibel	rugalmas	flexibel		ADJ
rugalmas	beweglich	rugalmas	beweglich		ADJ
rugalmas	flexiblen	rugalmas	flexibel		ADJ
rugalmas	elastisch	rugalmas	elastisch		ADJ
rugalmas	elastischen	rugalmas	elastisch		ADJ
rugalmas	elastische	rugalmas	elastisch		ADJ;NOM;FEM;PL
fennsík	hochebene	fennsík	hocheben	N;NOM;SG	ADJ;NOM;FEM;SG
fennsík	plateau	fennsík	plateau	N;NOM;SG	ADJ
fennsík	hochland	fennsík	hochland	N;NOM;SG	ADJ
egyforma	identische	egyforma	identisch		ADJ;NOM;FEM;PL
egyforma	identischen	egyforma	identisch		ADJ
egyforma	identisch	egyforma	identisch		ADJ
megszerzett	erworbene	megszerzett	erworben	V;INDF;IND;SG;3;PST;FIN;ACT	ADJ;NOM;FEM;PL
hamlet	weiler	hamlet	weil	N;NOM;SG	
hamlet	hamlet	hamlet	hamlen	N;NOM;SG	PROPN;SG
passzív	passiv	passzív	passiv		ADJ
passzív	passive	passzív	passiv		ADJ;NOM;FEM;PL
passzív	passiven	passzív	passiv		ADJ
passzív	passives	passzív	passiv		ADJ;NOM;NEUT;SG
passzív	passiver	passzív	passiv		ADJ
tudatos	bewusstsein	tudatos	bewußtsein	ADJ;NOM;SG	V;IND;SG;3;PRS;FIN
tudatos	bewußtsein	tudatos	bewußtsein	ADJ;NOM;SG	PROPN
lépést	geschwindigkeit	lépés	geschwindigkeit	N;ACC;SG	ADJ
lépést	pace	lépés	pace	N;ACC;SG	PROPN;NOM;SG
lépést	tempo	lépés	tempo	N;ACC;SG	ADJ
allan	allan	allan	allan	PROPN;NOM;SG	PROPN;NOM;MASC;SG
floyd	floyd	floyd	floyd	N;NOM;SG	PROPN;NOM;SG
nyerni	gewinne	nyer	gewinne	V;NFIN;ACT	
nyerni	sieg	nyer	seigen	V;NFIN;ACT	N;NOM;SG
nyerni	gewinn	nyer	gewinn	V;NFIN;ACT	N
firefox	firefox	firefox	firefox	N;NOM;SG	PROPN
cornelius	cornelius	cornelius	cornelius	N;NOM;SG	PROPN;NOM;MASC;SG
cornelius	cornelis	cornelius	cornelis	N;NOM;SG	PROPN;NOM;SG
doubs	doubs	doubs	doubs	PROPN;NOM;SG	PROPN;NOM;MASC;SG
emilia	emilia	emilia	emilia		PROPN;NOM;SG
gomb	buttons	gomb	buttons	N;NOM;SG	
gomb	schaltflächen	gomb	schaltfläch	N;NOM;SG	V;NFIN
gomb	knöpfen	gomb	knöpfen	N;NOM;SG	V;NFIN
gomb	knöpfe	gomb	knöpfen	N;NOM;SG	N;NOM;PL
gomb	taste	gomb	tasten	N;NOM;SG	
gomb	knopf	gomb	knopf	N;NOM;SG	
gomb	button	gomb	button	N;NOM;SG	
gomb	knöpfe	gomb	knöpfen	N;NOM;SG	N;NOM;PL
koppenhága	kopenhagen	koppenhág	kopenhagen	N;NOM;SG	PROPN;NOM;NEUT;SG
úttörő	bahnbrechende	úttörő	bahnbrechend		ADJ;NOM;FEM;PL
úttörő	pioneer	úttörő	pioneer		PROPN;SG
úttörő	wegbereiter	úttörő	wegbereiter		ADJ
úttörő	pionier	úttörő	pionier		ADJ
úttörő	vorreiter	úttörő	vorreiter		ADJ
úttörő	bahnbrechende	úttörő	bahnbrechend		ADJ;NOM;FEM;PL
úttörő	vorreiterrolle	úttörő	vorreiterrolle		ADJ;NOM;FEM;SG
úttörő	pionier	úttörő	pionier		ADJ
nagysága	helligkeit	nagyság	helligkeit	N;NOM;SG	ADJ
nagysága	größenordnung	nagyság	größenordnung	N;NOM;SG	ADJ
gyógyító	heilung	gyógyító	heilung	ADJ;NOM;SG	
gyógyító	heilende	gyógyító	heilend	ADJ;NOM;SG	ADJ;NOM;FEM;PL
gyógyító	heilen	gyógyító	heilen	ADJ;NOM;SG	V;NFIN
merénylet	attentate	merénylet	attentaten	N;NOM;SG	N;NOM;FEM;PL
