filmeket	filmele	film	filme	N;ACC;PL	N;DEF;FEM;PL
mesterek	masterat	mester	masterat	N;NOM;PL	N;INDF;MASC;SG
mesterek	masters	mester	masters	N;NOM;PL	N;INDF;MASC;SG
mesterek	stăpâni	mester	stăpâni	N;NOM;PL	
mesterek	stăpânii	mester	stăpân	N;NOM;PL	N;DEF;MASC;PL
anita	anita	anita	anită	PROPN;NOM;SG	N;DEF;FEM;SG
lausanne	lausanne	laus	lausann		N;INDF;FEM;SG
készülék	dispozitivul	készülék	dispozitiv	N;NOM;SG	N;DEF;MASC;SG
készülék	aparate	készülék	apara	N;NOM;SG	N;INDF;FEM;PL
hétvégén	weekenduri	hétvég	weekend	N;ON+ESS;SG	N;INDF;FEM;PL
hétvégén	weekendul	hétvég	weekend	N;ON+ESS;SG	N;DEF;MASC;SG
házas	căsătorită	házas	căsătorit		ADJ;INDF;FEM;SG
házas	măritată	házas	măritată		ADJ;INDF;FEM;SG
házas	casatorit	házas	casatori		ADJ;INDF;MASC;SG
házas	căsătorit	házas	căsători		ADJ;INDF;MASC;SG
extrém	extremă	extrém	extrem		ADJ;INDF;FEM;SG
extrém	extrem	extrém	extrem		ADV;RL
aug	aug	aug	augi	N;NOM;SG	
márka	marca	márka	marcă	N;NOM;SG	N;DEF;FEM;SG
márka	marcă	márka	marcă	N;NOM;SG	N;INDF;FEM;SG
terra	terra	terra	terru		N;DEF;FEM;SG
sawyer	sawyer	sawyer	sawyer	PROPN;NOM;SG	PROPN
birkózó	wrestling	birkózó	wrestling	N;NOM;SG	PROPN
birkózó	lupte	birkózó	lupta	N;NOM;SG	
birkózó	luptătorul	birkózó	luptător	N;NOM;SG	N;DEF;MASC;SG
vladimir	vladimir	vladimir	vladimir		PROPN
vincze	vincze	vinc	vincză		PROPN
atom	atomice	atom	atomic	N;NOM;SG	ADJ;INDF;FEM;PL
atom	atomic	atom	atomic	N;NOM;SG	ADJ;INDF;MASC;SG
atom	atomică	atom	atomic	N;NOM;SG	ADJ;INDF;FEM;SG
atom	atomica	atom	atomica	N;NOM;SG	N;DEF;FEM;SG
menő	fain	menő	fain		ADV
hotspur	hotspur	hotspur	hotspur	N;NOM;SG	PROPN
basszusgitáros	basistul	basszusgitáros	basist	N;NOM;SG	N;DEF;MASC;SG
janus	janus	janus	janus		PROPN
szabványos	standardul	szabványos	standard	N;NOM;SG	N;DEF;MASC;SG
szabványos	standard	szabványos	standard	N;NOM;SG	ADJ
októberi	octombrie	októberi	octombrie	ADJ;NOM;SG	N;INDF;MASC;SG
arabul	araba	arab	araba		N;DEF;FEM;SG
arabul	arabă	arab	arab		N;INDF;FEM;SG
milliméter	milimetri	milliméter	milimetru	N;NOM;SG	N;INDF;MASC;PL
büntetést	pedepsit	büntetés	pedepsi	N;ACC;SG	ADJ;INDF;MASC;SG
büntetést	pedepsită	büntetés	pedepsi	N;ACC;SG	ADJ;INDF;FEM;SG
nyak	gat	nyak	gat	N;NOM;SG	
nyak	gâtul	nyak	gât	N;NOM;SG	N;DEF;MASC;SG
légitársaság	airlines	légitársaság	airlines	N;NOM;SG	PROPN
érsekség	arhiepiscopia	érsekség	arhiepiscopie	N;NOM;SG	N;DEF;FEM;SG
többségi	majoritate	többségi	majoritate	ADJ;NOM;SG	N;INDF;FEM;SG
többségi	majoritatea	többségi	majoritate	ADJ;NOM;SG	N;DEF;FEM;SG
univerzum	universul	univerzum	univers	N;NOM;SG	N;DEF;MASC;SG
indulás	plecare	indulás	plecare	N;NOM;SG	N;INDF;FEM;SG
