het	το	het	ο	PRO;3	DET;NOM;DEF;NEUT;SG
een	ενα	een	ένας	DET;INDF	N;NOM;NEUT;SG
een	μία	een	ένας	DET;INDF	NUM;NOM;FEM;SG
een	ένα	een	ένας	DET;INDF	NUM;NOM;NEUT;SG
een	μια	een	ένας	DET;INDF	NUM;NOM;FEM;SG
voor	for	voor	for	ADP	
uit	έξω	uit	έξω	ADP	ADV
uit	out	uit	out	ADP	
uit	εξω	uit	εξω	ADP	ADV
dat	ότι	dat	ότι	PRO;3	CONJ
dat	that	dat	that	PRO;3	
aan	aan	aan	aan	ADP	
was	κερί	zijn	κερί	V;SG;PST;FIN	N;NOM;NEUT;SG
score	σκορ	score	σκορ	N;MASC+FEM;SG	
niet	όχι	niet	όχι	ADV	PART
tot	μεχρι	tot	μεχρι	ADP	ADV
soort	type	soort	type	N;SG	
soort	ειδη	soort	ειδη	N;SG	N;NOM;NEUT;PL
soort	είδη	soort	είδος	N;SG	N;NOM;NEUT;PL
eerst	πρώτο	eerst	πρώτος	ADV	NUM;NOM;NEUT;SG
eerst	πρώτη	eerst	πρώτος	ADV	NUM;NOM;FEM;SG
eerst	πρώτος	eerst	πρώτος	ADV	NUM;NOM;MASC;SG
deze	οἱ	deze	οἱ	PRO	N
maar	αλλα	maar	αλλα	CONJ	ADV
maar	μα	maar	μα	CONJ	ADV
gepubliceerd	δημοσίευση	publiceren	δημοσίευση	V;V.PTCP	N;NOM;FEM;SG
wordt	γίνετε	worden	γίνομαι	V;SG;PRS;FIN	V;IPFV;IND;PL;2;PRS;FIN;PASS
geldig	ισχύει	geldig	ισχύω	ADJ	V;IPFV;IND;SG;3;PRS;FIN;ACT
worden	γίνε	worden	γίνομαι	V;PL;PRS;FIN	V;IPFV;IND;SG;1;PRS;FIN;PASS
worden	γίνετε	worden	γίνομαι	V;PL;PRS;FIN	V;IPFV;IND;PL;2;PRS;FIN;PASS
over	περίπου	over	περίπου	ADP	ADV
over	over	over	over	ADP	
dan	νταν	dan	νταν	ADV	
dan	dan	dan	dan	ADV	
onder	κατωτέρω	onder	κατωτέρω	ADP	ADV
onder	κάτω	onder	κάτω	ADP	ADV
onder	παρακάτω	onder	παράκατος	ADP	ADV
onder	κατω	onder	κατω	ADP	ADV
eerste	πρώτο	één	πρώτος	ADJ	NUM;NOM;NEUT;SG
eerste	πρώτον	één	πρώτον	ADJ	ADV
eerste	πρώτη	één	πρώτος	ADJ	NUM;NOM;FEM;SG
eerste	πρώτα	één	πρώτα	ADJ	ADV
eerste	πρώτος	één	πρώτος	ADJ	NUM;NOM;MASC;SG
meer	λίμνη	veel	λίμνη	PRO	N;NOM;FEM;SG
meer	περισσότερο	veel	πολύ	PRO	ADV;CMPR
meer	περισσότεροι	veel	πολύς	PRO	ADJ;NOM;CMPR;MASC;PL
meer	πιο	veel	πιο	PRO	ADV
meer	περισσότερες	veel	πολύς	PRO	ADJ;NOM;CMPR;FEM;PL
meer	περισσότερα	veel	πολύς	PRO	ADJ;NOM;CMPR;NEUT;PL
andere	λοιπά	ander	λοιπός	ADJ	ADV
andere	αλλα	ander	αλλα	ADJ	ADV
andere	άλλες	ander	άλλος	ADJ	PRO;NOM;FEM;PL;3
andere	άλλα	ander	άλλος	ADJ	PRO;NOM;NEUT;PL;3
andere	άλλους	ander	άλλος	ADJ	PRO;NOM;MASC;PL;3
andere	άλλοι	ander	άλλος	ADJ	PRO;NOM;MASC;PL;3
andere	αλλοι	ander	αλλος	ADJ	PRO;NOM;MASC;PL;3
andere	άλλα	ander	άλλος	ADJ	PRO;NOM;NEUT;PL;3
kan	can	kunnen	can	V;SG;PRS;FIN	
kan	kan	kunnen	kan	V;SG;PRS;FIN	
cet	cet	cet	cet		
geen	καμία	geen	κανένας	DET	PRO;NOM;FEM;SG;3
geen	κανένα	geen	κανένας	DET	PRO;NOM;NEUT;SG;3
geen	ουδέν	geen	ουδέν	DET	
haar	τρίχα	haar	τρίχος	PRO;ACC;3	N;NOM;FEM;SG
haar	τρίχες	haar	τρίχος	PRO;ACC;3	N;NOM;FEM;PL
haar	μαλλιά	haar	μαλλιά	PRO;ACC;3	N;NOM;NEUT;PL
jaar	χρονια	jaar	χρονος	N;NEUT;SG	N;NOM;NEUT;PL
jaar	ετη	jaar	εγώ	N;NEUT;SG	N;NOM;NEUT;PL
jaar	χρόνια	jaar	χρόνος	N;NEUT;SG	N;NOM;NEUT;PL
jaar	έτη	jaar	έτος	N;NEUT;SG	N;NOM;NEUT;PL
twee	two	twee	two	NUM	
deel	share	deel	share	N;NEUT;SG	
externe	εξωτερικά	extern	εξωτερικά	ADJ	ADV
externe	εξωτερικό	extern	εξωτερικό	ADJ	N;NOM;NEUT;SG
overleg	διαβουλεύσεις	overleg	διαβούλευση	N;NEUT;SG	N;NOM;FEM;PL
overleg	διαβουλεύσεις	overleg	διαβούλευση	N;NEUT;SG	N;NOM;FEM;PL
tussen	ανάμεσα	tussen	ανάμεσα	ADP	ADV
waar	αληθές	waar	αληθή	ADV	N;NOM;NEUT;SG
waar	αληθεια	waar	αληθεια	ADV	N;NOM;FEM;SG
waar	αληθινή	waar	αληθινός	ADV	ADJ;NOM;FEM;SG
waar	αλήθεια	waar	αλήθεια	ADV	N;NOM;FEM;SG
veel	πολλά	veel	πολύς	PRO	ADJ;NOM;NEUT;PL
veel	πολλοι	veel	πολύς	PRO	ADJ;NOM;MASC;PL
veel	πολλοί	veel	πολύς	PRO	ADJ;NOM;MASC;PL
veel	πολλές	veel	πολύς	PRO	ADJ;NOM;FEM;PL
veel	πολλα	veel	πολύς	PRO	ADV
hun	hun	hun	hun	PRO;ACC;3	
staat	κράτος	staan	κράτος	V;SG;PRS;FIN	N;NOM;NEUT;SG
staat	πολιτεία	staan	πολιτεία	V;SG;PRS;FIN	N;ACC;FEM;SG
