ofiarą	áldozat	ofiara	áldozat	N;INS;FEM;SG	N;NOM;SG
pomiaru	mérés	pomiar	mérés	N;GEN;MASC;SG	N;NOM;SG
pomiaru	mérési	pomiar	mérési	N;GEN;MASC;SG	ADJ;NOM;SG
pomiaru	mérés	pomiar	mérés	N;GEN;MASC;SG	N;NOM;SG
osobowości	személyiség	osobowość	személyiség	N;GEN;FEM;SG	N;NOM;SG
osobowości	személyisége	osobowość	személyiség	N;GEN;FEM;SG	N;NOM;SG
osobowości	egyéniség	osobowość	egyéniség	N;GEN;FEM;SG	N;NOM;SG
seulu	szöul	seul	szöul	PROPN;NOM;MASC;SG	N;NOM;SG
seulu	szöulban	seul	szöul	PROPN;NOM;MASC;SG	N;IN+ESS;SG
poprzednie	korábbi	poprzednie	korábbi		ADJ;NOM;CMPR;SG
poprzednie	korábbi	poprzednie	korábbi		ADJ;NOM;CMPR;SG
maryland	maryland	maryland	maryland	N;NOM;MASC;SG	
electric	villamos	electric	villamos		N;NOM;SG
electric	villany	electric	villany		N;NOM;SG
królową	királynő	królowa	királynő	N;INS;FEM;SG	N;NOM;SG
królową	queen	królowa	ő	N;INS;FEM;SG	
królową	dáma	królowa	dáma	N;INS;FEM;SG	
królową	királyné	królowa	király	N;INS;FEM;SG	N;NOM;SG
komentarze	hozzászólás	komentarz	hozzászólás	N;NOM;MASC;PL	
komentarze	megjegyzés	komentarz	megjegyzés	N;NOM;MASC;PL	N;NOM;SG
keith	keith	keith	keith	PROPN;NOM;MASC;SG	
naczynia	edényeket	naczynie	edény	N;NOM;NEUT;PL	N;ACC;PL
zastąpić	helyébe	zastąpić	hely	V;PFV;NFIN;ACT	N;IN+ALL;SG
zastąpić	helyettesítő	zastąpić	helyettesítő	V;PFV;NFIN;ACT	ADJ;NOM;SG
zastąpić	pótlék	zastąpić	pótlék	V;PFV;NFIN;ACT	N;NOM;SG
reakcje	reagálás	reakcja	reagálás	N;NOM;FEM;PL	N;NOM;SG
reakcje	reakció	reakcja	reakció	N;NOM;FEM;PL	N;NOM;SG
ekipa	team	ekipa	team	N;NOM;FEM;SG	
