nakład	усилия	nakład	усилие	N;NOM;MASC;SG	N;INAN;NOM;NEUT;PL
wcześniejsze	ранее	wczesny	ранее	ADJ;NOM;CMPR;NEUT;SG	ADV
wcześniejsze	предыдущие	wczesny	предыдущий	ADJ;NOM;CMPR;NEUT;SG	ADJ;NOM;PL
wcześniejsze	предыдущая	wczesny	предыдущий	ADJ;NOM;CMPR;NEUT;SG	ADJ;NOM;FEM;SG
wcześniejsze	предыдущий	wczesny	предыдущий	ADJ;NOM;CMPR;NEUT;SG	ADJ;NOM;MASC;SG
wcześniejsze	предыдущее	wczesny	предыдущий	ADJ;NOM;CMPR;NEUT;SG	ADJ;NOM;NEUT;SG
summer	лето	summer	лето		N;INAN;NOM;NEUT;SG
summer	summer	summer	summer		PROPN
summer	саммер	summer	саммер		N;INAN;NOM;FEM;SG
summer	летний	summer	летний		ADJ;NOM;MASC;SG
niedziela	воскресенье	niedziela	воскресенье		N;INAN;NOM;NEUT;SG
niedziela	воскресение	niedziela	воскресение		N;INAN;NOM;NEUT;SG
after	после	after	после		ADP
after	after	after	after		PROPN
skrzyżowaniu	пересечения	skrzyżowanie	пересечение	N;DAT;NEUT;SG	N;INAN;NOM;NEUT;PL
skrzyżowaniu	пересечение	skrzyżowanie	пересечение	N;DAT;NEUT;SG	N;INAN;NOM;NEUT;SG
skrzyżowaniu	перекрестке	skrzyżowanie	перекресток	N;DAT;NEUT;SG	N;INAN;ESS;MASC;SG
obozach	лагерях	obóz	лагерь	N;GEN;MASC;PL	N;INAN;ESS;MASC;PL
obozach	лагеря	obóz	лагерь	N;GEN;MASC;PL	N;INAN;NOM;MASC;PL
wady	недостатки	wada	недостаток	V;IPFV;IND;SG;FIN;ACT	N;INAN;NOM;MASC;PL
wady	слабости	wada	слабость	V;IPFV;IND;SG;FIN;ACT	N;INAN;NOM;FEM;PL
wady	недостатки	wada	недостаток	V;IPFV;IND;SG;FIN;ACT	N;INAN;NOM;MASC;PL
wady	слабость	wada	слабость	V;IPFV;IND;SG;FIN;ACT	N;INAN;NOM;FEM;SG
wady	недостатки	wada	недостаток	V;IPFV;IND;SG;FIN;ACT	N;INAN;NOM;MASC;PL
wady	дефекты	wada	дефект	V;IPFV;IND;SG;FIN;ACT	N;INAN;NOM;MASC;PL
wady	дефектов	wada	дефект	V;IPFV;IND;SG;FIN;ACT	N;INAN;GEN;MASC;PL
wady	недостатки	wada	недостаток	V;IPFV;IND;SG;FIN;ACT	N;INAN;NOM;MASC;PL
małopolska	возвышенность	małopolski	возвышенность	ADJ;NOM;FEM;SG	N;INAN;NOM;FEM;SG
