renascimento	revival	renascimento	revival	N;MASC;SG	
campbell	campbell	campbell	campbell	N;MASC;SG	PROPN;NOM;MASC;SG
cultivo	uprawa	cultivo	uprawa	N;MASC;SG	
namorado	chłopaku	namorar	chłopak	V;MASC;SG;V.PTCP	N;VOC;MASC;SG
namorado	chłopak	namorar	chłopak	V;MASC;SG;V.PTCP	N;NOM;MASC;SG
namorado	chłopaka	namorar	chłopak	V;MASC;SG;V.PTCP	N;ACC;MASC;SG
determinados	zdecydowana	determinar	zdecydowany	V;MASC;PL;V.PTCP	ADJ;NOM;FEM;SG
determinados	ustalona	determinar	ustalić	V;MASC;PL;V.PTCP	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
determinados	ustalone	determinar	ustalić	V;MASC;PL;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
determinados	zdeterminowany	determinar	zdeterminować	V;MASC;PL;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
determinados	określone	determinar	określony	V;MASC;PL;V.PTCP	
determinados	zdeterminowana	determinar	zdeterminować	V;MASC;PL;V.PTCP	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
reuniões	zebrania	reunião	zebraniać	N;FEM;PL	N;NOM;NEUT;SG
reuniões	posiedzenia	reunião	posiedzenie	N;FEM;PL	N;NOM;NEUT;SG
gerações	pokolenie	geração	pokolenie	N;FEM;PL	N;NOM;NEUT;SG
gerações	pokolenia	geração	pokolenie	N;FEM;PL	N;NOM;NEUT;SG
gerações	pokoleń	geração	pokolenie	N;FEM;PL	
capitais	kapitał	capital	kapitał	N;MASC;PL	N;ACC;MASC;SG
capitais	stolica	capital	stolica	N;MASC;PL	N;NOM;FEM;SG
capitais	kapitału	capital	kapitał	N;MASC;PL	N;GEN;MASC;SG
capitais	stolicy	capital	stolica	N;MASC;PL	
capitais	capital	capital	capital	N;MASC;PL	
minnesota	minnesota	minnesota	minnesota	N;FEM;SG	
pagina	page	pagina	page	N;FEM;SG	
pagina	strony	pagina	strona	N;FEM;SG	N;NOM;FEM;PL
leme	helm	leme	helm	N;MASC;SG	
leme	ster	leme	ster	N;MASC;SG	
leme	ster	leme	ster	N;MASC;SG	
liberais	liberalne	liberal	liberalny	N;MASC;PL	ADJ;NOM;NEUT;SG
selvagem	wild	selvagem	wild	ADJ;MASC;SG	
selvagem	dziki	selvagem	dzik	ADJ;MASC;SG	N;NOM;MASC;SG
selvagem	dziko	selvagem	dziko	ADJ;MASC;SG	
selvagem	dzika	selvagem	dziki	ADJ;MASC;SG	
selvagem	dzikie	selvagem	dziki	ADJ;MASC;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
selvagem	savage	selvagem	savaga	ADJ;MASC;SG	
selvagem	dziki	selvagem	dzik	ADJ;MASC;SG	N;NOM;MASC;SG
selvagem	dzikie	selvagem	dziki	ADJ;MASC;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
transmitida	przekazywane	transmitir	przekazywać	V;FEM;SG;V.PTCP	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
transmitida	przekazany	transmitir	przekazać	V;FEM;SG;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
transmitida	przekazana	transmitir	przekazać	V;FEM;SG;V.PTCP	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
transmitida	przesłane	transmitir	przesłać	V;FEM;SG;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
transmitida	przekazane	transmitir	przekazać	V;FEM;SG;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
evans	evans	evans	evans	N;MASC;SG	PROPN;NOM;MASC;SG
bandeiras	flag	bandeira	flag	N;FEM;PL	
bandeiras	flagi	bandeira	flaga	N;FEM;PL	N;ACC;FEM;SG
leonor	eleanor	leonor	eleanor	N;FEM;SG	PROPN;NOM;FEM;SG
leonor	eleonora	leonor	eleonor	N;FEM;SG	PROPN;NOM;FEM;SG
causada	spowodowane	causar	spowodować	V;FEM;SG;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
causada	wywołane	causar	wywołać	V;FEM;SG;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
acampamento	obozy	acampamento	obóz	N;MASC;SG	N;NOM;MASC;PL
acampamento	camp	acampamento	campa	N;MASC;SG	
graham	graham	grahar	grahać	N;MASC;SG	
fabaceae	fabaceae	fabaceae	fabace	N;FEM;SG	
publicar	wydawnictwo	publicar	wydawnictwo	V;NFIN	N;NOM;NEUT;SG
publicar	publikacja	publicar	publikacja	V;NFIN	N;NOM;FEM;SG
publicar	wydawnictwa	publicar	wydawnictwo	V;NFIN	N;NOM;NEUT;SG
publicar	publikacje	publicar	publikacja	V;NFIN	N;NOM;FEM;PL
publicar	publikowania	publicar	publikowanie	V;NFIN	N;IPFV;GEN;NEUT;SG;POS;V.MSDR
publicar	publikowanie	publicar	publikowanie	V;NFIN	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
publicar	publikowanie	publicar	publikowanie	V;NFIN	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
publicar	post	publicar	post	V;NFIN	N;NOM;MASC;SG
publicar	poczta	publicar	poczta	V;NFIN	N;NOM;FEM;SG
publicar	publikowanie	publicar	publikowanie	V;NFIN	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
vencido	przegrany	vencer	przegrany	V;MASC;SG;V.PTCP	ADJ;NOM;MASC;SG
vencido	pokonany	vencer	pokonać	V;MASC;SG;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
vencido	zbity	vencer	zbić	V;MASC;SG;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
