din	fra	din	fra	ADP;ACC	ADV
fost	været	fi	være	V;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
mai	mai	mai	mai	ADV	
mai	flere	mai	mange	ADV	ADJ;CMPR;PL
pentru	til	pentru	til	ADP;ACC	ADV
lui	lui	el	lui	PRO;3	
lui	hans	el	hans	PRO;3	DET;3
sunt	er	fi	være	V;IND;PL;3;PRS;FIN	V;IND;PRS;FIN;ACT
dupa	efter	dupa	efter	N;DEF;FEM;SG	ADV
dupa	efter	dupa	efter	N;DEF;FEM;SG	ADV
ale	ale	al	ale	DET;FEM;PL	
lea	lea	lea	lea		
prin	gennem	prin	gennem	ADP;ACC	ADV
prin	igennem	prin	igennem	ADP;ACC	ADV
regiunea	region	regiune	region	N;DEF;FEM;SG	N;INDF;MASC+FEM;SG
mare	big	mare	big	ADJ;INDF;MASC;SG	
mare	store	mare	stor	ADJ;INDF;MASC;SG	ADJ;PL
mare	søs	mare	søs	ADJ;INDF;MASC;SG	N;INDF;MASC+FEM;SG
mare	sea	mare	sea	ADJ;INDF;MASC;SG	
mare	hav	mare	hav	ADJ;INDF;MASC;SG	N;INDF;NEUT;SG
mare	havet	mare	hav	ADJ;INDF;MASC;SG	N;DEF;NEUT;SG
anul	aars	an	aars	N;DEF;MASC;SG	N;INDF;MASC+FEM;SG
anul	år	an	år	N;DEF;MASC;SG	N;INDF;NEUT;SG
comuna	almindelige	comună	almindelig	N;DEF;FEM;SG	ADJ;PL
comuna	fælles	comună	fælles	N;DEF;FEM;SG	ADJ
comuna	almindelig	comună	almindelig	N;DEF;FEM;SG	ADJ;INDF;MASC+FEM;SG
comuna	kommune	comună	kommune	N;DEF;FEM;SG	N;INDF;MASC+FEM;SG
comuna	kommun	comună	kommun	N;DEF;FEM;SG	
comuna	almindelige	comună	almindelig	N;DEF;FEM;SG	ADJ;PL
comuna	fælles	comună	fælles	N;DEF;FEM;SG	ADJ
comuna	almindelig	comună	almindelig	N;DEF;FEM;SG	ADJ;INDF;MASC+FEM;SG
locuitori	indbyggerne	locuitor	indbygger	N;INDF;MASC;PL	N;DEF;MASC+FEM;PL
locuitori	fastboende	locuitor	fastboende	N;INDF;MASC;PL	V;PRS;V.PTCP
locuitori	bosiddende	locuitor	bosidde	N;INDF;MASC;PL	ADJ
legaturi	link	legatură	link	N;INDF;FEM;PL	N;INDF;NEUT;SG
legaturi	links	legatură	links	N;INDF;FEM;PL	N;INDF;NEUT;SG
legaturi	link	legatură	link	N;INDF;FEM;PL	N;INDF;NEUT;SG
legaturi	links	legatură	links	N;INDF;FEM;PL	N;INDF;NEUT;SG
