din	du	din	du	ADP;ACC	DET;MASC;SG
care	qui	care	qui	PRO;3	PRO
care	oms	care	om	PRO;3	N;MASC;SG
care	who	care	who	PRO;3	PROPN
care	lesquels	care	lequel	PRO;3	PRO;MASC;PL
care	laquelle	care	lequel	PRO;3	PRO;FEM;SG
care	lequel	care	lequel	PRO;3	PRO;MASC;SG
mai	mai	mai	mai	ADV	N;MASC;SG
mai	maï	mai	maï	ADV	
lui	sa	el	son	PRO;3	DET;FEM;SG
lui	his	el	his	PRO;3	PROPN
lui	ses	el	son	PRO;3	DET;MASC;PL
lui	son	el	son	PRO;3	DET;MASC;SG
dupa	apres	dupa	après	N;DEF;FEM;SG	
dupa	after	dupa	after	N;DEF;FEM;SG	PROPN
dupa	après	dupa	après	N;DEF;FEM;SG	ADP
dupa	aprés	dupa	apré	N;DEF;FEM;SG	
dupa	apres	dupa	après	N;DEF;FEM;SG	
dupa	after	dupa	after	N;DEF;FEM;SG	PROPN
dupa	après	dupa	après	N;DEF;FEM;SG	ADP
dupa	aprés	dupa	apré	N;DEF;FEM;SG	
ale	ale	al	ale	DET;FEM;PL	PROPN
lea	lea	lea	lea		N;FEM;SG
lea	léa	lea	lea		PROPN
mare	super	mare	super	ADJ;INDF;MASC;SG	ADV
mare	big	mare	big	ADJ;INDF;MASC;SG	INTJ
mare	mer	mare	mer	ADJ;INDF;MASC;SG	N;FEM;SG
comuna	fréquent	comună	fréquent	N;DEF;FEM;SG	ADJ;MASC;SG
comuna	fréquents	comună	fréquent	N;DEF;FEM;SG	ADJ;MASC;PL
comuna	commun	comună	commun	N;DEF;FEM;SG	ADJ;MASC;SG
comuna	fréquent	comună	fréquent	N;DEF;FEM;SG	ADJ;MASC;SG
comuna	fréquents	comună	fréquent	N;DEF;FEM;SG	ADJ;MASC;PL
comuna	commun	comună	commun	N;DEF;FEM;SG	ADJ;MASC;SG
externe	externe	extern	externe	ADJ;INDF;FEM;PL	ADJ;MASC;SG
externe	extérieur	extern	extérieur	ADJ;INDF;FEM;PL	N;MASC;SG
externe	extérieure	extern	extérieur	ADJ;INDF;FEM;PL	ADJ;FEM;SG
locuitori	résidants	locuitor	résidant	N;INDF;MASC;PL	ADJ;MASC;PL
vezi	consultez	vedea	consulter	V;IND;SG;2;PRS;FIN	V;IMP;PL;2;PRS;FIN
vezi	voyez	vedea	voir	V;IND;SG;2;PRS;FIN	V;IMP;PL;2;PRS;FIN
cod	code	cod	code		N;MASC;SG
cod	morue	cod	morue		N;FEM;SG
cod	cod	cod	cod		N;MASC;SG
cod	cabillaud	cod	cabillaud		N;MASC;SG
populatie	populations	populatie	population	N;INDF;FEM;SG	N;FEM;PL
bucuresti	bucarest	bucurest	bucarest	PROPN	PROPN
bucuresti	bucuresti	bucurest	bucuresti	PROPN	PROPN
bucuresti	bucarest	bucurest	bucarest	PROPN	PROPN
bucuresti	bucarest	bucurest	bucarest	PROPN	PROPN
fiind	etre	fi	être	V;V.MSDR	V;NFIN
lista	listes	listă	liste	N;DEF;FEM;SG	N;FEM;PL
lista	listes	listă	liste	N;DEF;FEM;SG	N;FEM;PL
ucraina	ukraine	ucraina	ukrainer	PROPN	ADJ;FEM;SG
nume	nommer	nume	nommer	N;INDF	V;NFIN
ani	ani	an	ani	N;INDF;MASC;PL	
avea	avait	avea	avoir	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;IPFV;FIN
avea	avaient	avea	avoir	V;IND;SG;3;IPFV;FIN	V;IND;PL;3;IPFV;FIN
avea	avais	avea	avoir	V;IND;SG;3;IPFV;FIN	V;IND;SG;1;IPFV;FIN
intre	entre	intra	entre	V;SBJV;3;PRS;FIN	ADP
intre	entre	intra	entre	V;SBJV;3;PRS;FIN	ADP
pana	plumes	pană	plume	N;DEF;FEM;SG	N;FEM;PL
doua	two	doi	two	NUM;FEM;SG	PROPN
doua	two	doi	two	NUM;FEM;SG	PROPN
rege	king	rege	king	N;INDF;MASC;SG	PROPN
sub	under	sub	under	ADP;ACC	PROPN
alte	autre	alt	autre	DET;FEM;PL;3	PRO;SG
alte	autres	alt	autre	DET;FEM;PL;3	PRO;PL
cand	lorsque	cand	lorsque		CONJ
cand	quand	cand	quand		CONJ
cand	lorsque	cand	lorsque		CONJ
cand	quand	cand	quand		CONJ
centura	belt	centură	belt	N;DEF;FEM;SG	PROPN
centura	belt	centură	belt	N;DEF;FEM;SG	PROPN
unde	oú	unde	oú	ADV	CONJ
unde	où	unde	où	ADV	PRO
majoritatea	most	majoritate	most	N;DEF;FEM;SG	PROPN
majoritatea	majoritaire	majoritate	majoritaire	N;DEF;FEM;SG	ADJ;MASC;SG
majoritatea	majoritaires	majoritate	majoritaire	N;DEF;FEM;SG	ADJ;MASC;PL
densitate	densités	densitate	densité	N;INDF;FEM;SG	N;FEM;PL
limba	langues	limbă	langue	N;DEF;FEM;SG	N;FEM;PL
limba	langues	limbă	langue	N;DEF;FEM;SG	N;FEM;PL
multe	nombreux	mult	nombreux	PRO;FEM;PL;3	ADJ;MASC;PL
multe	beaucoup	mult	beaucoup	PRO;FEM;PL;3	ADV
multe	nombreuses	mult	nombreux	PRO;FEM;PL;3	ADJ;FEM;PL
socorro	socorro	socorro	socorro		PROPN
prima	première	prim	premier	NUM;DEF;FEM;SG	ADJ;FEM;SG
prima	premières	prim	premier	NUM;DEF;FEM;SG	ADJ;FEM;PL
prima	premier	prim	premier	NUM;DEF;FEM;SG	ADJ;MASC;SG
prima	premiers	prim	premier	NUM;DEF;FEM;SG	ADJ;MASC;PL
prima	prime	prim	prime	NUM;DEF;FEM;SG	N;FEM;SG
prima	primes	prim	prime	NUM;DEF;FEM;SG	N;FEM;PL
prima	premium	prim	premium	NUM;DEF;FEM;SG	
sat	assise	sat	asseoir	N;INDF;MASC;SG	V;FEM;SG;PST;V.PTCP
sat	assis	sat	assis	N;INDF;MASC;SG	V;MASC;SG;PST;V.PTCP
toate	toute	tot	tout	PRO;FEM;PL;3	DET;FEM;SG
toate	tout	tot	tout	PRO;FEM;PL;3	PRO;MASC;SG
toate	all	tot	all	PRO;FEM;PL;3	
lor	leur	lui	lui	DET;3	PRO;PL;3
fie	soit	fie	soit	CONJ;POS	CONJ
avut	avait	avea	avoir	V;MASC;SG;V.PTCP	V;IND;SG;3;IPFV;FIN
avut	avaient	avea	avoir	V;MASC;SG;V.PTCP	V;IND;PL;3;IPFV;FIN
familia	familiale	familie	familial	N;DEF;FEM;SG	ADJ;FEM;SG
familia	familles	familie	famille	N;DEF;FEM;SG	N;FEM;PL
numele	nommer	nume	nommer	N;DEF;MASC;SG	V;NFIN
numele	noms	nume	nom	N;DEF;MASC;SG	N;MASC;PL
principala	principales	principal	principal	ADJ;DEF;FEM;SG	ADJ;FEM;PL
principala	main	principal	main	ADJ;DEF;FEM;SG	N;FEM;SG
principala	principaux	principal	principal	ADJ;DEF;FEM;SG	ADJ;MASC;PL
principala	principales	principal	principal	ADJ;DEF;FEM;SG	ADJ;FEM;PL
principala	main	principal	main	ADJ;DEF;FEM;SG	N;FEM;SG
principala	principaux	principal	principal	ADJ;DEF;FEM;SG	ADJ;MASC;PL
sud	méridional	sud	méridional	N;INDF;MASC;SG	ADJ;MASC;SG
primul	première	prim	premier	NUM;DEF;MASC;SG	ADJ;FEM;SG
primul	premières	prim	premier	NUM;DEF;MASC;SG	ADJ;FEM;PL
primul	premier	prim	premier	NUM;DEF;MASC;SG	ADJ;MASC;SG
primul	premiers	prim	premier	NUM;DEF;MASC;SG	ADJ;MASC;PL
doar	seul	doar	seul	ADV	ADJ;MASC;SG
doar	seule	doar	seul	ADV	ADJ;FEM;SG
doar	just	doar	just	ADV	INTJ
asteroid	astéroïdes	asteroid	astéroïde	ADJ;INDF;MASC;SG	N;MASC;PL
asteroid	astéroïde	asteroid	astéroïde	ADJ;INDF;MASC;SG	N;MASC;SG
recensamantului	recensements	recensamant	recensement	N;DEF;MASC;SG	N;MASC;PL
trei	trei	trei	trei	NUM;PL	PROPN
trei	three	trei	three	NUM;PL	PROPN
asteroizi	astéroïde	asteroid	astéroïde	N;INDF;MASC;PL	N;MASC;SG
lats	lat	lats	lat		
lats	lats	lats	lat		N;MASC;SG
discutie	discussions	discutie	discussion	N;INDF;FEM;SG	N;FEM;PL
discutie	discussions	discutie	discussion	N;INDF;FEM;SG	N;FEM;PL
discutie	discussions	discutie	discussion	N;INDF;FEM;SG	N;FEM;PL
franta	france	frantă	france	PROPN	N;FEM;SG
franta	france	frantă	france	PROPN	N;FEM;SG
franta	france	frantă	france	PROPN	N;FEM;SG
mult	much	mult	much	ADV	INTJ
fara	sans	fară	sans		ADP
fara	sans	fară	sans		ADP
foarte	tres	foarte	tre	ADV	ADJ;MASC;SG
raionul	allée	raion	aller	N;DEF;MASC;SG	V;FEM;SG;PST;V.PTCP
data	données	dată	donnée	N;DEF;FEM;SG	N;FEM;PL
unul	une	unul	un	PRO;MASC;SG;3	DET;INDF;FEM;SG
unul	one	unul	one	PRO;MASC;SG;3	PROPN
apoi	puis	apoi	puis	ADV	CONJ
oras	villes	oras	ville	N;INDF;MASC;SG	N;FEM;PL
oras	villes	oras	ville	N;INDF;MASC;SG	N;FEM;PL
oras	villes	oras	ville	N;INDF;MASC;SG	N;FEM;PL
pot	pouvez	putea	pouvoir	V;IND;PL;3;PRS;FIN	V;IMP;PL;2;PRS;FIN
pot	peux	putea	pouvoir	V;IND;PL;3;PRS;FIN	V;IND;SG;1;PRS;FIN
pot	peut	putea	pouvoir	V;IND;PL;3;PRS;FIN	V;IND;SG;3;PRS;FIN
camp	camps	camp	camp	N;INDF;MASC;SG	N;MASC;PL
germania	allemagne	germania	allemagne	PROPN	PROPN
face	faites	face	faire	V;IND;SG;3;PRS;FIN	V;FEM;PL;PST;V.PTCP
national	nationaux	national	national	ADJ;INDF;MASC;SG	ADJ;MASC;PL
national	nationales	national	national	ADJ;INDF;MASC;SG	ADJ;FEM;PL
national	nationaux	national	national	ADJ;INDF;MASC;SG	ADJ;MASC;PL
national	nationales	national	national	ADJ;INDF;MASC;SG	ADJ;FEM;PL
national	nationaux	national	national	ADJ;INDF;MASC;SG	ADJ;MASC;PL
national	nationales	national	national	ADJ;INDF;MASC;SG	ADJ;FEM;PL
minoritate	minoritaires	minoritate	minoritaire	N;INDF;FEM;SG	ADJ;MASC;PL
minoritate	minoritaire	minoritate	minoritaire	N;INDF;FEM;SG	ADJ;MASC;SG
ucraineana	ukrainiennes	ucrainean	ukrainien	N;DEF;FEM;SG	ADJ;FEM;PL
ucraineana	ukrainien	ucrainean	ukrainien	N;DEF;FEM;SG	ADJ;MASC;SG
ucraineana	ukrainienne	ucrainean	ukrainien	N;DEF;FEM;SG	ADJ;FEM;SG
ucraineana	ukrainiens	ucrainean	ukrainien	N;DEF;FEM;SG	ADJ;MASC;PL
general	généraux	general	général	ADJ;INDF;MASC;SG	ADJ;MASC;PL
general	généralités	general	généralité	ADJ;INDF;MASC;SG	N;FEM;PL
general	général	general	général	ADJ;INDF;MASC;SG	N;MASC;SG
peste	poissons	peste	poisson	ADP;ACC	N;MASC;PL
peste	pêcher	peste	pêcher	ADP;ACC	V;NFIN
peste	poisson	peste	poisson	ADP;ACC	N;MASC;SG
romana	roumains	romană	roumain	N;DEF;FEM;SG	ADJ;MASC;PL
romana	roumaine	romană	roumain	N;DEF;FEM;SG	ADJ;FEM;SG
romana	roumain	romană	roumain	N;DEF;FEM;SG	ADJ;MASC;SG
romana	romain	romană	romain	N;DEF;FEM;SG	ADJ;MASC;SG
romana	romaine	romană	romain	N;DEF;FEM;SG	ADJ;FEM;SG
romana	romaines	romană	romain	N;DEF;FEM;SG	ADJ;FEM;PL
romana	romains	romană	romain	N;DEF;FEM;SG	ADJ;MASC;PL
romana	romana	romană	romaner	N;DEF;FEM;SG	PROPN
afla	apprenez	afla	apprendre	V;IND;SG;3;IPFV;FIN	V;IMP;PL;2;PRS;FIN
afla	apprends	afla	apprendre	V;IND;SG;3;IPFV;FIN	V;IND;SG;1;PRS;FIN
inceput	commencé	incepe	commencer	ADJ;INDF;MASC;SG	V;MASC;SG;PST;V.PTCP
inceput	démarré	incepe	démarrer	ADJ;INDF;MASC;SG	V;MASC;SG;PST;V.PTCP
inceput	commencée	incepe	commencer	ADJ;INDF;MASC;SG	V;FEM;SG;PST;V.PTCP
inceput	commencement	incepe	commencement	ADJ;INDF;MASC;SG	N;MASC;SG
inceput	début	incepe	début	ADJ;INDF;MASC;SG	N;MASC;SG
duce	duke	duce	duke	V;IND;SG;3;PRS;FIN	PROPN
duce	duc	duce	duc	V;IND;SG;3;PRS;FIN	N;MASC;SG
duce	duce	duce	ducer	V;IND;SG;3;PRS;FIN	N;MASC;SG
roman	roumains	roman	roumain	N;INDF;MASC;SG	ADJ;MASC;PL
roman	roumaine	roman	roumain	N;INDF;MASC;SG	ADJ;FEM;SG
roman	roumain	roman	roumain	N;INDF;MASC;SG	ADJ;MASC;SG
roman	romain	roman	romain	N;INDF;MASC;SG	ADJ;MASC;SG
roman	romaine	roman	romain	N;INDF;MASC;SG	ADJ;FEM;SG
roman	romaines	roman	romain	N;INDF;MASC;SG	ADJ;FEM;PL
roman	romains	roman	romain	N;INDF;MASC;SG	ADJ;MASC;PL
existand	existantes	existand	existant		ADJ;FEM;PL
existand	existant	existand	exister		V;PRS;V.PTCP
existand	existants	existand	existant		ADJ;MASC;PL
vedere	afficher	vedere	afficher	N;INDF;FEM;SG	V;NFIN
vedere	vue	vedere	voir	N;INDF;FEM;SG	V;FEM;SG;PST;V.PTCP
vedere	voir	vedere	voir	N;INDF;FEM;SG	V;NFIN
vedere	visualiser	vedere	visualiser	N;INDF;FEM;SG	V;NFIN
wikipedia	wikipédia	wikipedia	wikipédia	N;DEF;FEM;SG	V;MASC;SG;PST;V.PTCP
specie	espèces	specie	espèce	N;INDF;FEM;SG	N;FEM;PL
unite	unie	unit	unie	ADJ;INDF;FEM;PL	V;FEM;SG;PST;V.PTCP
unite	unis	unit	unir	ADJ;INDF;FEM;PL	V;MASC;PL;PST;V.PTCP
moldova	moldova	moldova	moldova	PROPN	PROPN
moldova	moldavie	moldova	moldavie	PROPN	PROPN
atunci	puis	atunci	puis	ADV	CONJ
aceste	ces	acest	ce	DET;FEM;PL;3	PRO;PL;3
una	une	unul	un	PRO;FEM;SG;3	DET;INDF;FEM;SG
una	one	unul	one	PRO;FEM;SG;3	PROPN
aceasta	cette	acesta	ce	PRO;FEM;SG;3	DET;FEM;SG
life	vie	life	vie		N;FEM;SG
orasul	villes	oras	ville	N;DEF;MASC;SG	N;FEM;PL
orasul	villes	oras	ville	N;DEF;MASC;SG	N;FEM;PL
tot	toute	tot	tout	PRO;MASC;SG;3	DET;FEM;SG
tot	toutes	tot	tout	PRO;MASC;SG;3	PRO;FEM;PL
tot	tous	tot	tout	PRO;MASC;SG;3	PRO;MASC;PL
tot	all	tot	all	PRO;MASC;SG;3	
tot	still	tot	still	PRO;MASC;SG;3	PROPN
tot	encore	tot	encore	PRO;MASC;SG;3	ADV
tot	toujours	tot	toujours	PRO;MASC;SG;3	ADV
chiar	meme	chiar	même	ADV	INTJ
facut	fait	face	faire	ADJ;INDF;MASC;SG	V;MASC;SG;PST;V.PTCP
facut	fabriqués	face	fabriquer	ADJ;INDF;MASC;SG	V;MASC;PL;PST;V.PTCP
facut	faite	face	faire	ADJ;INDF;MASC;SG	V;FEM;SG;PST;V.PTCP
facut	fabriqué	face	fabriquer	ADJ;INDF;MASC;SG	V;MASC;SG;PST;V.PTCP
cunoscute	connues	cunoscut	connaître	ADJ;INDF;FEM;PL	V;FEM;PL;PST;V.PTCP
