strasbourg	strasbourg	strasbourg	strasbourg	N;INDF;MASC;SG	PROPN;NOM
chateau	chateau	chati	chateau	V;IND;PL;3;IPFV;FIN	N;NOM;INDF;NEUT;SG
chateau	chateau	chati	chateau	V;IND;PL;3;IPFV;FIN	N;NOM;INDF;NEUT;SG
adaugarea	tillägg	adaugare	tillägg	N;DEF;FEM;SG	N;NOM;INDF;NEUT;SG
adaugarea	tillsats	adaugare	tillsats	N;DEF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
adaugarea	addera	adaugare	addera	N;DEF;FEM;SG	V;IMP;FIN;ACT
bois	bois	bois	boi	PROPN	N;NOM;INDF;MASC+FEM;SG
formularul	blankett	formular	blankett	N;DEF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
formularul	formulär	formular	formulär	N;DEF;MASC;SG	N;NOM;INDF;NEUT;SG
formularul	form	formular	form	N;DEF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
formularul	bilda	formular	bilda	N;DEF;MASC;SG	V;IMP;FIN;ACT
grupate	grupperas	grupat	gruppera	ADJ;INDF;FEM;PL	V;IND;PRS;NFIN;PASS
crima	mörda	crimă	mörda	N;DEF;FEM;SG	V;IMP;FIN;ACT
crima	mord	crimă	mord	N;DEF;FEM;SG	N;NOM;INDF;NEUT;SG
crima	kriminalitet	crimă	kriminalitet	N;DEF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
crima	brottslighet	crimă	brottslighet	N;DEF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
crima	brott	crimă	brott	N;DEF;FEM;SG	N;NOM;INDF;NEUT;SG
crima	crime	crimă	crime	N;DEF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
crima	mörda	crimă	mörda	N;DEF;FEM;SG	V;IMP;FIN;ACT
crima	mord	crimă	mord	N;DEF;FEM;SG	N;NOM;INDF;NEUT;SG
crima	kriminalitet	crimă	kriminalitet	N;DEF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
crima	brottslighet	crimă	brottslighet	N;DEF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
