для	til	для	til	ADP	ADV
как	hvordan	как	hvordan	CONJ	ADV
как	gerne	как	gerne	CONJ	ADV
как	like	как	like	CONJ	
его	hans	он	hans	PRO;ACC;MASC;SG;3	DET;3
после	efter	после	efter	ADP	ADV
была	var	быть	være	V;IPFV;FEM;IND;SG;PST;FIN;ACT	V;IND;PST;FIN;ACT
была	blev	быть	blive	V;IPFV;FEM;IND;SG;PST;FIN;ACT	V;IND;PST;FIN;ACT
место	place	место	place	N;INAN;NOM;NEUT;SG	
вид	dyrearter	вид	dyrearter	N;INAN;NOM;MASC;SG	N;INDF;NEUT;PL
вид	arter	вид	arte	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;PL
под	under	под	under	ADP	ADV
только	kun	только	kun	PART	ADV
только	bare	только	bare	PART	ADV
есть	fik	быть	få	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;PST;FIN;ACT
есть	got	быть	got	V;IPFV;IND;SG;3;PRS;FIN;ACT	
язык	tunge	язык	tung	N;INAN;NOM;MASC;SG	ADJ;PL
язык	tongue	язык	tongue	N;INAN;NOM;MASC;SG	
ссср	ussr	ссср	ussr	PROPN;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
ссср	sovjetunionen	ссср	sovjetunion	PROPN;INAN;NOM;MASC;SG	N;DEF;MASC+FEM;SG
код	koder	код	kode	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;PL
более	flere	более	mange	ADV;CMPR	ADJ;CMPR;PL
мая	may	май	may	N;INAN;GEN;MASC;SG	
мая	kan	май	kunne	N;INAN;GEN;MASC;SG	V;IND;PRS;FIN;ACT
деревня	village	деревня	villag	N;INAN;NOM;FEM;SG	
марта	marta	март	marta	N;INAN;GEN;MASC;SG	
марта	marchere	март	marcher	N;INAN;GEN;MASC;SG	V;NFIN;ACT
все	alt	все	al	PRO;INAN;NOM;NEUT;SG	ADJ;NEUT;SG
все	alle	все	al	PRO;INAN;NOM;NEUT;SG	ADJ;PL
