kategória	kategorien	kategória	kategorien	N;NOM;FEM;SG	N;NOM;FEM;PL
roku	jahr	rok	Jahr	N;INAN;GEN;MASC;SG	N;NOM;NEUT;SG
roku	baujahr	rok	baujahr	N;INAN;GEN;MASC;SG	
roku	jahres	rok	jahres	N;INAN;GEN;MASC;SG	N;NOM;NEUT;SG
roku	jahre	rok	jahren	N;INAN;GEN;MASC;SG	ADV
ako	wie	ako	wie	ADV	ADP
ako	woher	ako	woher	ADV	ADV
ako	mögen	ako	mögen	ADV	V;FIN
ako	gefällt	ako	gefallen	ADV	V;IND;SG;3;PRS;FIN
ako	wie	ako	wie	ADV	ADP
ako	like	ako	like	ADV	PROPN;NOM;SG
bol	bol	byť	bol	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP	PROPN;NOM;SG
bol	war	byť	sein	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP	V;IND;SG;3;PST;FIN
bol	wurde	byť	werden	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP	V;IND;SG;3;PST;FIN;PASS
pozri	schau	pozrieť	schau	V;PFV;IMP;SG;2;POS;FIN	;SG
pozri	see	pozrieť	see	V;PFV;IMP;SG;2;POS;FIN	
pozri	schau	pozrieť	schau	V;PFV;IMP;SG;2;POS;FIN	;SG
pozri	guck	pozrieť	guck	V;PFV;IMP;SG;2;POS;FIN	;SG
pozri	schaut	pozrieť	schauen	V;PFV;IMP;SG;2;POS;FIN	V;IND;SG;3;PRS;FIN
obce	kommunen	obec	kommun	N;NOM;FEM;PL	V;NFIN
obce	communes	obec	communes	N;NOM;FEM;PL	ADJ
obce	gemeinde	obec	gemeinde	N;NOM;FEM;PL	N;NOM;FEM;SG
obce	dorf	obec	dorf	N;NOM;FEM;PL	N;NOM;NEUT;SG
obce	dörfer	obec	dörfern	N;NOM;FEM;PL	
obce	ortschaften	obec	ortschaften	N;NOM;FEM;PL	ADJ
mba	mba	mba	mba		
obyvateľov	einwohner	obyvateľ	einwohner	N;ANIM;ACC;MASC;PL	N;NOM;MASC;PL
