kategória	kategória	kategória	kategória	N;NOM;FEM;SG	
roku	évjárat	rok	évjárat	N;INAN;GEN;MASC;SG	N;NOM;SG
roku	éve	rok	év	N;INAN;GEN;MASC;SG	N;NOM;SG
roku	évi	rok	évi	N;INAN;GEN;MASC;SG	
roku	év	rok	év	N;INAN;GEN;MASC;SG	N;NOM;SG
ako	hogyan	ako	hogyan	ADV	ADV
ako	mint	ako	mint	ADV	CONJ
ako	like	ako	lik	ADV	
ako	tetszik	ako	tetszik	ADV	V;INDF;IND;SG;3;PRS;FIN;ACT
bol	bol	byť	bol	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP	
pozri	lásd	pozrieť	lásd	V;PFV;IMP;SG;2;POS;FIN	
pozri	nézd	pozrieť	nézd	V;PFV;IMP;SG;2;POS;FIN	V;DEF;IMP;PL;3;PRS;FIN;ACT
mba	mba	mba	mba		
obyvateľov	lakói	obyvateľ	lakó	N;ANIM;ACC;MASC;PL	N;NOM;PL
obyvateľov	lakosok	obyvateľ	lakos	N;ANIM;ACC;MASC;PL	N;NOM;PL
obyvateľov	lakos	obyvateľ	lakos	N;ANIM;ACC;MASC;PL	N;NOM;SG
obyvateľov	lakói	obyvateľ	lakó	N;ANIM;ACC;MASC;PL	N;NOM;PL
obyvateľov	lakók	obyvateľ	lakó	N;ANIM;ACC;MASC;PL	N;NOM;PL
obyvateľov	lakosok	obyvateľ	lakos	N;ANIM;ACC;MASC;PL	N;NOM;PL
obec	kommuna	obec	kommuna	N;NOM;FEM;SG	
obec	falusi	obec	falusi	N;NOM;FEM;SG	ADJ;NOM;SG
pre	for	pre	for	ADP;ACC	
ktorá	ami	ktorý	ami	DET;NOM;FEM;SG	PRO;NOM;SG;3
ktorá	melyik	ktorý	melyik	DET;NOM;FEM;SG	
ktorá	mely	ktorý	mely	DET;NOM;FEM;SG	
ktorá	amely	ktorý	amely	DET;NOM;FEM;SG	PRO;NOM;SG;3
bod	pont	bod	pont	N;INAN;NOM;MASC;SG	
bod	point	bod	point	N;INAN;NOM;MASC;SG	
pri	pri	pri	pri	ADP;ESS	PROPN;NOM;SG
ktoré	ami	ktorý	ami	DET;NOM;NEUT;SG	PRO;NOM;SG;3
ktoré	melyik	ktorý	melyik	DET;NOM;NEUT;SG	
ktoré	mely	ktorý	mely	DET;NOM;NEUT;SG	
ktoré	amely	ktorý	amely	DET;NOM;NEUT;SG	PRO;NOM;SG;3
ktorý	ami	ktorý	ami	DET;ANIM;NOM;MASC;SG	PRO;NOM;SG;3
ktorý	melyik	ktorý	melyik	DET;ANIM;NOM;MASC;SG	
ktorý	mely	ktorý	mely	DET;ANIM;NOM;MASC;SG	
ktorý	amely	ktorý	amely	DET;ANIM;NOM;MASC;SG	PRO;NOM;SG;3
odkazy	hivatkozás	odkaz	hivatkozás	N;INAN;NOM;MASC;PL	N;NOM;SG
odkazy	hivatkozásokat	odkaz	hivatkozás	N;INAN;NOM;MASC;PL	N;ACC;PL
socorro	socorro	socorro	socor	N;NOM;NEUT;SG	NUM;NOM;SG
externé	külső	externý	külső	ADJ;NOM;NEUT;SG	
iné	egyéb	iný	egyéb	DET;NOM;NEUT;SG	
iné	más	iný	más	DET;NOM;NEUT;SG	PRO;NOM;SG;3
iné	másoknak	iný	más	DET;NOM;NEUT;SG	PRO;DAT;PL;3
iné	egyéb	iný	egyéb	DET;NOM;NEUT;SG	
iné	mások	iný	más	DET;NOM;NEUT;SG	
iné	egyebek	iný	egyéb	DET;NOM;NEUT;SG	
the	az	the	az		
podľa	alatta	podľa	alat	ADP;GEN	
miesto	helyén	miesto	hely	N;NOM;NEUT;SG	N;ON+ESS;SG
obcí	települések	obec	település	N;GEN;FEM;PL	N;NOM;PL
obcí	önkormányzatok	obec	önkormányzat	N;GEN;FEM;PL	N;NOM;PL
obcí	települések	obec	település	N;GEN;FEM;PL	N;NOM;PL
obci	kommuna	obec	kommuna	N;DAT;FEM;SG	
ich	őket	on	ők	PRO;NOM;MASC;PL;3	PRO;ACC;PL;3
ich	ich	on	ich	PRO;NOM;MASC;PL;3	
team	csapat	team	csapat	PROPN;ANIM;NOM;MASC;SG	N;NOM;SG
