nikjer	nicaieri	nikjer	nicaieri	ADV	
promocijo	promovare	promocija	promovare	N;ACC;FEM;SG	N;INDF;FEM;SG
promocijo	promovarea	promocija	promovare	N;ACC;FEM;SG	N;DEF;FEM;SG
slabosti	slăbiciunile	slabost	slăbiciune	N;NOM;FEM;PL	N;DEF;FEM;PL
device	fecioara	devica	fecioară	N;NOM;FEM;PL	N;DEF;FEM;SG
device	fecioară	devica	fecior	N;NOM;FEM;PL	
preprosta	simplu	preprost	simplu	ADJ;NOM;FEM;SG	ADV
preprosta	simple	preprost	simplu	ADJ;NOM;FEM;SG	ADJ;INDF;FEM;PL
preprosta	simplă	preprost	simplu	ADJ;NOM;FEM;SG	ADJ;INDF;FEM;SG
frölunda	frölunda	frölunda	frölunda	N;NOM;MASC;SG	N;DEF;FEM;SG
unija	uniunea	unija	uniune	N;NOM;FEM;SG	N;DEF;FEM;SG
unija	uniunii	unija	uniune	N;NOM;FEM;SG	N;DEF;FEM;SG
unija	uniune	unija	uniune	N;NOM;FEM;SG	N;INDF;FEM;SG
sky	cerul	sky	cer		N;DEF;MASC;SG
sky	sky	sky	sky		N;INDF;MASC;SG
sky	cer	sky	cere		V;IND;SG;3;PRS;FIN
dnevni	daily	dneven	daily	ADJ;NOM;MASC;SG	N;INDF;MASC;SG
dnevni	zilnic	dneven	zilnic	ADJ;NOM;MASC;SG	ADV
julia	iulia	julia	iulie	PROPN;NOM;FEM;SG	N;DEF;FEM;SG
julia	julia	julia	julie	PROPN;NOM;FEM;SG	N;DEF;FEM;SG
tanja	tania	tamje	tanie	PROPN;NOM;FEM;SG	N;DEF;FEM;SG
tanja	tanya	tamje	tanya	PROPN;NOM;FEM;SG	N;INDF;MASC;SG
tanja	tanja	tamje	tanjă	PROPN;NOM;FEM;SG	PROPN
predstavljen	recomandate	predstavljen	recomandat	ADJ;NOM;INDF;MASC;SG;V.PTCP	ADJ;INDF;FEM;PL
predstavljen	prezentată	predstavljen	prezentat	ADJ;NOM;INDF;MASC;SG;V.PTCP	ADJ;INDF;FEM;SG
predstavljen	prezentate	predstavljen	prezentat	ADJ;NOM;INDF;MASC;SG;V.PTCP	ADJ;INDF;FEM;PL
beck	beck	beck	beck		N
obvezno	obligatorie	obvezno	obligatoriu	ADV	ADJ;INDF;FEM;SG
obvezno	obligatorie	obvezno	obligatoriu	ADV	ADJ;INDF;FEM;SG
obvezno	obligatorii	obvezno	obligatoriu	ADV	ADJ;INDF;PL
obvezno	obligatorie	obvezno	obligatoriu	ADV	ADJ;INDF;FEM;SG
obvezno	obligatorii	obvezno	obligatoriu	ADV	ADJ;INDF;PL
june	june	juna	june		
june	iunie	juna	iunie		N;INDF;MASC;SG
svobodna	liberă	svoboden	liber	ADJ;NOM;FEM;SG	ADJ;INDF;FEM;SG
svobodna	liber	svoboden	liber	ADJ;NOM;FEM;SG	ADV
svobodna	liberi	svoboden	liber	ADJ;NOM;FEM;SG	ADJ;INDF;MASC;PL
svobodna	free	svoboden	free	ADJ;NOM;FEM;SG	
jose	jose	josa	jose	PROPN;NOM;MASC;SG	PROPN
jose	josé	josa	josé	PROPN;NOM;MASC;SG	PROPN
kraljico	regină	kraljica	regina	N;ACC;FEM;SG	ADJ;INDF;FEM;SG
kraljico	damă	kraljica	damă	N;ACC;FEM;SG	N;INDF;FEM;SG
kraljico	regina	kraljica	regină	N;ACC;FEM;SG	N;DEF;FEM;SG
predniki	stramosii	prednik	stramos	N;NOM;MASC;PL	N;DEF;MASC;PL
colin	colin	colina	colin	PROPN;NOM;MASC;SG	PROPN
razmišljanja	gândire	razmišljanje	gândire	N;GEN;NEUT;SG	N;INDF;FEM;SG
razmišljanja	gândirea	razmišljanje	gândire	N;GEN;NEUT;SG	N;DEF;FEM;SG
razmišljanja	gândind	razmišljanje	gândi	N;GEN;NEUT;SG	V;V.MSDR
