modificación	modifikation	modificación	modifikation	N;FEM;SG	ADJ
ginebra	gin	ginebra	gehen	N;FEM;SG	
ginebra	genf	ginebra	genf	N;FEM;SG	PROPN;NOM;MASC;SG
luces	scheinwerfer	luz	scheinwerfer	N;FEM;PL	ADJ
luces	beleuchtung	luz	beleuchtung	N;FEM;PL	N;SG
luces	leuchten	luz	leucht	N;FEM;PL	V;NFIN
luces	licht	luz	licht	N;FEM;PL	PROPN
luces	lichter	luz	lichter	N;FEM;PL	ADJ
interiores	interieur	interior	interieur	ADJ;PL	PROPN
interiores	interieur	interior	interieur	ADJ;PL	PROPN
juveniles	jungtiere	juvenil	jungtieren	ADJ;PL	
historieta	comics	historieta	comic	N;FEM;SG	PROPN
historieta	comic	historieta	comic	N;FEM;SG	PROPN;NOM;SG
historieta	comics	historieta	comic	N;FEM;SG	PROPN
historieta	comic	historieta	comic	N;FEM;SG	PROPN;NOM;SG
historieta	komiker	historieta	komik	N;FEM;SG	ADJ
sindicato	union	sindicato	union	N;MASC;SG	PROPN;NOM;SG
sindicato	gewerkschaft	sindicato	gewerkschaft	N;MASC;SG	ADJ
sindicato	unión	sindicato	unión	N;MASC;SG	PROPN;NOM;MASC;SG
sindicato	syndikat	sindicato	syndikat	N;MASC;SG	PROPN
períodos	zeiten	período	zeiten	N;MASC;PL	V;NFIN
períodos	zeiträume	período	zeitraum	N;MASC;PL	
inclusión	eingliederung	inclusión	eingliederung	N;FEM;SG	ADJ;NOM;FEM;SG
inclusión	aufnahme	inclusión	aufnehmen	N;FEM;SG	
inclusión	einbeziehung	inclusión	einbeziehung	N;FEM;SG	V;V.PTCP
inclusión	einschluss	inclusión	einschlussen	N;FEM;SG	
rick	rick	rick	racken	PROPN	PROPN;NOM;SG
suspensión	fahrwerk	suspensión	fahrwerk	N;FEM;SG	ADJ
suspensión	suspension	suspensión	suspension	N;FEM;SG	
suspensión	aussetzung	suspensión	aussetzung	N;FEM;SG	
suspensión	suspendierung	suspensión	suspendierung	N;FEM;SG	ADJ
desplazamiento	verdrängung	desplazamiento	verdrängung	N;MASC;SG	ADJ
desplazamiento	hubraum	desplazamiento	hubraum	N;MASC;SG	PROPN
reconocidos	bestätigte	reconocido	bestätigen	ADJ;MASC;PL;V.PTCP	V;IND;SG;3;PST;FIN
reconocidos	anerkannt	reconocido	anerkennen	ADJ;MASC;PL;V.PTCP	V;V.PTCP
reconocidos	anerkannte	reconocido	anerkannt	ADJ;MASC;PL;V.PTCP	ADJ;SG
reconocidos	anerkannte	reconocido	anerkannt	ADJ;MASC;PL;V.PTCP	ADJ;SG
reconocidos	erkannt	reconocido	erkennen	ADJ;MASC;PL;V.PTCP	V;V.PTCP
reconocidos	anerkannt	reconocido	anerkennen	ADJ;MASC;PL;V.PTCP	V;V.PTCP
reconocidos	anerkannten	reconocido	anerkennen	ADJ;MASC;PL;V.PTCP	V;IND;PL;3;PST;FIN
reconocidos	erkannte	reconocido	erkennen	ADJ;MASC;PL;V.PTCP	V;IND;SG;3;PST;FIN
reconocidos	anerkannte	reconocido	anerkannt	ADJ;MASC;PL;V.PTCP	ADJ;SG
reconocidos	erkannt	reconocido	erkennen	ADJ;MASC;PL;V.PTCP	V;V.PTCP
reconocidos	anerkannt	reconocido	anerkennen	ADJ;MASC;PL;V.PTCP	V;V.PTCP
berlin	berlin	berlin	berlin	N;MASC;SG	PROPN;NOM;NEUT;SG
pedido	bestellungen	pedido	bestellingen	ADJ;MASC;SG;V.PTCP	N;NOM;FEM;PL
pedido	ordnung	pedido	ordnung	ADJ;MASC;SG;V.PTCP	N
pedido	auftrag	pedido	auftragen	ADJ;MASC;SG;V.PTCP	N;MASC;SG
pedido	reihenfolge	pedido	reihenfolge	ADJ;MASC;SG;V.PTCP	ADJ;NOM;FEM;PL
pedido	bestellung	pedido	bestellung	ADJ;MASC;SG;V.PTCP	N;NOM;FEM;SG
históricamente	geschichtlich	históricamente	geschichtlich	ADV	ADJ
históricamente	historisch	históricamente	historisch	ADV	ADJ
educativa	bildungs	educativo	bildungs	ADJ;FEM;SG	
específica	spezielle	específico	speziell	ADJ;FEM;SG	ADJ;NOM;FEM;PL
específica	spezifische	específico	spezifisch	ADJ;FEM;SG	ADJ;NOM;FEM;PL
huelga	strike	huelga	strik	N;FEM;SG	
huelga	schlag	huelga	schlagen	N;FEM;SG	
centrocampista	mittelfeldspieler	centrocampista	mittelfeldspieler	N;SG	ADJ
distinta	verschiedenen	distinto	verschieden	ADJ;FEM;SG	ADJ;NOM;PL
distinta	unterschiedliche	distinto	unterschiedlich	ADJ;FEM;SG	ADJ;NOM;FEM;PL
distinta	verschiedene	distinto	verschieden	ADJ;FEM;SG	ADJ;NOM;FEM;PL
eddie	eddie	eddie	eddie	N;MASC;SG	PROPN;NOM;SG
claudia	claudia	claudia	claudia	N;FEM;SG	PROPN;NOM;SG
claudia	claude	claudia	claude	N;FEM;SG	PROPN;NOM;MASC;SG
apple	äpfel	applir	apfel	PROPN	
apple	apfel	applir	apfel	PROPN	
apple	apple	applir	applen	PROPN	
benjamin	benjamin	benjamin	benjamin	PROPN	PROPN;NOM;MASC;SG
capitales	hauptstädten	capital	hauptstädten	N;MASC;PL	ADJ
capitales	hauptstädte	capital	hauptstädte	N;MASC;PL	
capitales	hauptstadt	capital	hauptstadt	N;MASC;PL	ADJ
capitales	kapital	capital	kapital	N;MASC;PL	
