rob	rob	rob	rob	PROPN	
chaco	chaco	chaco	chaco	N;MASC;SG	
ligera	fény	ligero	fény	ADJ;FEM;SG	N;NOM;SG
ligera	light	ligero	light	ADJ;FEM;SG	
ligera	fényt	ligero	fény	ADJ;FEM;SG	N;ACC;SG
ligera	enyhe	ligero	enyhe	ADJ;FEM;SG	
tocando	megható	tocar	megható	V;V.MSDR	
tocando	érintés	tocar	érintés	V;V.MSDR	N;NOM;SG
recuerdos	emlék	recuerdo	emlék	N;MASC;PL	N;NOM;SG
recuerdos	memória	recuerdo	memória	N;MASC;PL	N;NOM;SG
recuerdos	emlék	recuerdo	emlék	N;MASC;PL	N;NOM;SG
recuerdos	emlékezet	recuerdo	emlékezet	N;MASC;PL	N;NOM;SG
mantenido	tartott	mantener	tart	ADJ;MASC;SG;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
mantenido	tartotta	mantener	tart	ADJ;MASC;SG;V.PTCP	V;DEF;IND;SG;3;PST;FIN;ACT
mantenido	megtartotta	mantener	meg+tart	ADJ;MASC;SG;V.PTCP	V;DEF;IND;SG;3;PST;FIN;ACT
mantenido	megtartott	mantener	megtartott	ADJ;MASC;SG;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
específicos	specifikus	específico	specifikus	ADJ;MASC;PL	ADJ;NOM;SG
específicos	konkrét	específico	konkrét	ADJ;MASC;PL	
wright	wright	wright	wright	PROPN	
falla	bukta	fallar	bukta	N;FEM;SG	
llano	llano	llano	llano	ADJ;MASC;SG	
llano	sima	llano	sima	ADJ;MASC;SG	
romper	szünet	romper	szünet	V;NFIN	N;NOM;SG
romper	törés	romper	törés	V;NFIN	N;NOM;SG
huerta	gyümölcsös	huerta	gyümölcsös	N;FEM;SG	
huerta	huerta	huerta	huer	N;FEM;SG	
septentrional	észak	septentrional	észak	ADJ;SG	
septentrional	északi	septentrional	északi	ADJ;SG	
seguimiento	nyomkövető	seguimiento	nyomkövető	N;MASC;SG	
seguimiento	monitoring	seguimiento	monitoring	N;MASC;SG	
difíciles	nehéz	difícil	nehéz	ADJ;PL	
difíciles	bonyolult	difícil	bonyolult	ADJ;PL	
neerlandés	holland	neerlandés	holland	N;MASC;SG	
neerlandés	dutch	neerlandés	dutch	N;MASC;SG	
compuestas	kompozit	compuesto	kompozit	ADJ;FEM;PL;V.PTCP	N;NOM;SG
compuestas	összetett	compuesto	összetett	ADJ;FEM;PL;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
compuestas	összetett	compuesto	összetett	ADJ;FEM;PL;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
compuestas	vegyület	compuesto	vegyület	ADJ;FEM;PL;V.PTCP	N;NOM;SG
bloqueado	zárva	bloqueado	zárva	ADJ;MASC;SG;V.PTCP	ADV;V.CVB
bloqueado	bezárva	bloqueado	bezárva	ADJ;MASC;SG;V.PTCP	ADV;V.CVB
bloqueado	letiltott	bloqueado	letilt	ADJ;MASC;SG;V.PTCP	
infierno	pokol	infierno	pokol	N;MASC;SG	
infierno	pokol	infierno	pokol	N;MASC;SG	
gastos	kiadás	gasto	kiadás	N;MASC;PL	N;NOM;SG
africana	afrikai	africano	afrikai	ADJ;FEM;SG	
depósito	betétek	depósito	betét	N;MASC;SG	N;NOM;PL
depósito	foglaló	depósito	foglaló	N;MASC;SG	
lucio	lucio	lucio	lucio	N;MASC;SG	
lucio	pike	lucio	pike	N;MASC;SG	
lucio	lucius	lucio	lucius	N;MASC;SG	
avanzada	fejlett	avanzado	fejlett	ADJ;FEM;SG;V.PTCP	
avanzada	haladó	avanzado	haladó	ADJ;FEM;SG;V.PTCP	
avanzada	előrehaladott	avanzado	előrehaladott	ADJ;FEM;SG;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
nucleares	nukleáris	nuclear	nukleáris	ADJ;PL	N;NOM;SG
emma	emma	emma	emma	N;FEM;SG	
terry	terry	terry	terry	PROPN	
lobos	farkas	lobo	farkas	N;MASC;PL	
lobos	wolf	lobo	wolf	N;MASC;PL	
lobos	lobos	lobo	lobos	N;MASC;PL	
octava	octave	octavo	octave	ADJ;FEM;SG	
pendiente	lejtő	pendiente	lejtő	ADJ;SG	N;NOM;SG
pendiente	függőben	pendiente	függő	ADJ;SG	N;IN+ESS;SG
pendiente	folyamatban	pendiente	folyamat	ADJ;SG	N;IN+ESS;SG
pendiente	kiemelkedő	pendiente	kiemelkedő	ADJ;SG	
pendiente	kimagasló	pendiente	kimagasló	ADJ;SG	
realista	realista	realista	realista	ADJ;SG	
realista	realista	realista	realista	ADJ;SG	
century	évszázad	century	évszázad	PROPN	N;NOM;SG
century	század	century	század	PROPN	N;NOM;SG
definitivo	határozott	definitivo	határoz	ADJ;MASC;SG	V;INDF;IND;SG;3;PST;FIN;ACT
definitivo	végleges	definitivo	végleges	ADJ;MASC;SG	
definitivo	záró	definitivo	záró	ADJ;MASC;SG	N;NOM;SG
definitivo	utolsó	definitivo	utolsó	ADJ;MASC;SG	
definitivo	végső	definitivo	végső	ADJ;MASC;SG	
recordar	emlékezés	recordar	emlékezés	V;NFIN	N;NOM;SG
comenzando	kezdetek	comenzar	kezdet	V;V.MSDR	N;NOM;PL
comenzando	kezdete	comenzar	kezdet	V;V.MSDR	N;NOM;SG
comenzando	eleje	comenzar	eleje	V;V.MSDR	N;NOM;SG
comenzando	kezdet	comenzar	kezd	V;V.MSDR	N;NOM;SG
comenzando	kezdő	comenzar	kezdő	V;V.MSDR	
comenzando	kezdve	comenzar	kezdv	V;V.MSDR	N;ON+ESS;SG
paraíso	paradise	paraíso	paradis	N;MASC;SG	
autora	szerző	autora	szerző	N;FEM;SG	
malta	máltai	malta	máltai	N;FEM;SG	ADJ;NOM;SG
malta	málta	malta	málta	N;FEM;SG	PROPN;NOM;SG
aerolíneas	légitársaság	aerolínea	légitársaság	N;FEM;PL	N;NOM;SG
aerolíneas	airlines	aerolínea	airlines	N;FEM;PL	N;NOM;SG
aerolíneas	légitársaság	aerolínea	légitársaság	N;FEM;PL	N;NOM;SG
bloques	tömb	bloque	tömb	N;MASC;PL	N;NOM;SG
positiva	pozitívak	positivo	pozitív	ADJ;FEM;SG	ADJ;NOM;PL
turner	turner	turner	turner	N;SG	
vidal	vidal	vidal	vidal	PROPN	
polvo	port	polvo	por	N;MASC;SG	
polvo	port	polvo	por	N;MASC;SG	
tomada	foglalt	tomado	foglal	ADJ;FEM;SG;V.PTCP	
balón	ball	balón	ball	N;MASC;SG	
fija	javítások	fijo	javítás	ADJ;FEM;SG	N;NOM;PL
alegría	joy	alegría	joy	N;FEM;SG	
alegría	öröm	alegría	öröm	N;FEM;SG	
luxemburgo	luxemburgi	luxemburgo	luxemburgi	N;MASC;SG	ADJ;NOM;SG
luxemburgo	luxemburg	luxemburgo	luxemburg	N;MASC;SG	
luxemburgo	luxembourg	luxemburgo	luxembourg	N;MASC;SG	
prusia	porosz	prusia	porosz	N;FEM;SG	
reconoció	elismert	reconocer	elismer	V;IND;SG;3;PST;FIN	
cría	tenyésztési	cría	tenyésztési	N;FEM;SG	ADJ;NOM;SG
