que	det	que	det	CONJ	PRO;NEUT;SG;3
del	del	del	dele	ADP;MASC;SG	V;IMP;FIN
los	the	él	the	PRO;ACC;MASC;PL;3	
los	den	él	den	PRO;ACC;MASC;PL;3	PRO;SG;3
con	with	con	with	ADP	N
las	the	él	the	PRO;ACC;FEM;PL;3	
las	den	él	den	PRO;ACC;FEM;PL;3	PRO;SG;3
una	one	uno	one	DET;INDF;FEM;SG	
una	en	uno	en	DET;INDF;FEM;SG	
una	ett	uno	ett	DET;INDF;FEM;SG	
una	én	uno	én	DET;INDF;FEM;SG	
como	hvordan	como	hvordan	CONJ	N;INDF;MASC;SG
como	korleis	como	korleis	CONJ	ADV
como	how	como	how	CONJ	N;INDF;SG
como	som	como	som	CONJ	ADP
como	liker	como	like	CONJ	V;IND;PRS;FIN
como	like	como	lik	CONJ	ADJ;SG
más	fleire	más	mange	ADV	ADJ;CMPR
más	fler	más	fler	ADV	N;INDF;NEUT;SG
más	flere	más	flere	ADV	
más	mer	más	mer	ADV	N;INDF;MASC;SG
más	meir	más	mykje	ADV	ADJ;CMPR
más	mere	más	mere	ADV	N;INDF;MASC;SG
sus	sine	su	sin	DET;PL;3	PRO;PL
sus	deres	su	deres	DET;PL;3	N;INDF;MASC;SG
sus	hans	su	hans	DET;PL;3	PRO;NEUT;SG
sus	sin	su	sin	DET;PL;3	PRO;MASC;SG
sus	ditt	su	din	DET;PL;3	PRO;NEUT;SG
sus	din	su	din	DET;PL;3	PRO;MASC;SG
sus	dine	su	din	DET;PL;3	PRO;PL
sus	dets	su	det	DET;PL;3	N;INDF;NEUT;SG
sus	sine	su	sin	DET;PL;3	PRO;PL
sus	sin	su	sin	DET;PL;3	PRO;MASC;SG
sus	its	su	its	DET;PL;3	
también	too	también	too	ADV	N
entre	entre	entre	entre	ADP	N;INDF;MASC;SG
este	this	este	this	PRO;MASC;SG	
este	dette	este	dette	PRO;MASC;SG	PRO;NEUT;SG;3
este	denne	este	denne	PRO;MASC;SG	PRO;SG;3
este	detta	este	dette	PRO;MASC;SG	PRO;NEUT;SG;3
este	east	este	eest	PRO;MASC;SG	PROPN
este	øst	este	øs	PRO;MASC;SG	N;INDF;NEUT;SG
años	ar	año	ar	N;MASC;PL	N;INDF;MASC;SG
años	årevis	año	årevis	N;MASC;PL	ADV
años	år	año	år	N;MASC;PL	N;INDF;NEUT;SG
dos	dos	dos	dos	NUM;PL	N
dos	two	dos	Two	NUM;PL	
son	finst	ser	finnast	V;IND;PL;3;PRS;FIN	V;IND;PRS;FIN
son	are	ser	are	V;IND;PL;3;PRS;FIN	PROPN
sobre	angående	sobre	angående	ADP	N;INDF;MASC;SG
sobre	omtrent	sobre	omtrent	ADP	ADV
sobre	konvolutt	sobre	konvolutt	ADP	N;INDF;MASC;SG
desde	siden	desde	siden	ADP	
desde	fra	desde	fra	ADP	
desde	from	desde	from	ADP	N
esta	this	este	this	PRO;FEM;SG	
esta	dette	este	dette	PRO;FEM;SG	PRO;NEUT;SG;3
esta	denne	este	denne	PRO;FEM;SG	PRO;SG;3
esta	detta	este	dette	PRO;FEM;SG	PRO;NEUT;SG;3
hasta	even	hasta	even	ADP	N;INDF;MASC;SG
hasta	selv	hasta	selv	ADP	
hasta	tilogmed	hasta	tilogmed	ADP	N;INDF;MASC;SG
hasta	sjølv	hasta	sjølv	ADP	ADV
hasta	until	hasta	until	ADP	N
externos	ekstern	externo	ekstern	ADJ;MASC;PL	ADJ;INDF;SG
externos	eksternt	externo	eksternt	ADJ;MASC;PL	ADJ;INDF;NEUT;SG
ciudad	town	ciudad	town	N;FEM;SG	PROPN
ser	being	ser	being	V;NFIN	N;INDF;NEUT;SG
ser	ser	ser	sjå	V;NFIN	V;IND;PRS;FIN
