fantasy	fantasier	fantasy	fantasi	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;PL
bönder	bønderne	bönder	bonde	N;NOM;INDF;NEUT;PL	N;DEF;MASC+FEM;PL
bönder	landmændene	bönder	landmand	N;NOM;INDF;NEUT;PL	N;DEF;MASC+FEM;PL
bönder	landbrugerne	bönder	landbruger	N;NOM;INDF;NEUT;PL	N;DEF;MASC+FEM;PL
cox	cox	cox	cox	PROPN;NOM	
nancy	nancy	nancy	nancy	PROPN;NOM	
break	bryde	break	bryde	N;NOM;INDF;NEUT;SG	V;NFIN;ACT
break	bræk	break	bræk	N;NOM;INDF;NEUT;SG	V;IMP
break	bryd	break	bryd	N;NOM;INDF;NEUT;SG	V;IMP
break	break	break	break	N;NOM;INDF;NEUT;SG	
fletcher	fletcher	fletcher	fletcher	PROPN;NOM	N;INDF;MASC+FEM;SG
eyes	øjnene	eyes	øje	N;NOM;INDF;NEUT;SG	N;DEF;NEUT;PL
eyes	øjne	eyes	øje	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;PL
eyes	eyes	eyes	eyes	N;NOM;INDF;NEUT;SG	
svans	halen	svans	han	N;NOM;INDF;MASC+FEM;SG	N;DEF;MASC+FEM;SG
woods	woods	woods	woods	N;NOM;INDF;MASC+FEM;SG	
woods	skoven	woods	skov	N;NOM;INDF;MASC+FEM;SG	N;DEF;MASC+FEM;SG
woods	skove	woods	skov	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;PL
tumba	tumba	tumba	tumba	PROPN;NOM	
praktiska	praktisk	praktisk	praktisk	ADJ;NOM;PL	ADJ;INDF;SG
clay	ler	clay	le	PROPN;NOM	N;INDF;MASC+FEM;SG
clay	clay	clay	clay	PROPN;NOM	
dansare	danser	dansare	danse	N;NOM;INDF;MASC+FEM;PL	V;IND;PRS;FIN;ACT
garcía	garcia	garcía	garcia	PROPN;NOM	
garcía	garcía	garcía	garcía	PROPN;NOM	
garcía	garcía	garcía	garcía	PROPN;NOM	
irländska	irere	irländsk	irer	ADJ;NOM;PL	N;INDF;MASC+FEM;PL
irländska	irish	irländsk	irish	ADJ;NOM;PL	
irländska	irerne	irländsk	ire	ADJ;NOM;PL	N;DEF;MASC+FEM;PL
irländska	irsk	irländsk	irsk	ADJ;NOM;PL	N;INDF;NEUT;SG
palmer	palmer	palmer	palme	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;PL
blandad	blandede	blanda	blande	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	V;PL;PST;V.PTCP
blandad	blandet	blanda	blande	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
blandad	blandet	blanda	blande	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
tåget	træne	tågen	træne	N;NOM;DEF;NEUT;SG	V;NFIN;ACT
tåget	train	tågen	train	N;NOM;DEF;NEUT;SG	N;INDF;MASC+FEM;SG
