den	de	den	de	PRO;DEF;MASC+FEM;SG	DET;DEF
med	med	med	med	ADP	N;MASC+FEM;SG
som	like	som	lik	CONJ	
som	welke	som	welk	CONJ	PRO
runt	rondom	runt	rondom	ADV	ADP
runt	rond	runt	rond	ADV	ADP
runt	ronde	runt	ronde	ADV	N;MASC+FEM;SG
runt	rondje	runt	rond	ADV	N;NEUT;SG
runt	round	runt	round	ADV	
runt	rond	runt	rond	ADV	ADP
månaden	maandelijkse	månad	maandelijks	N;NOM;DEF;MASC+FEM;SG	ADJ
månaden	maandelijks	månad	maandelijk	N;NOM;DEF;MASC+FEM;SG	ADJ
ligger	lies	ligga	lies	V;IND;PRS;FIN;ACT	N;MASC+FEM;SG
ligger	leugens	ligga	leugens	V;IND;PRS;FIN;ACT	N;PL
ingår	inclusief	ingå	inclusief	V;IND;PRS;FIN;ACT	ADJ
ingår	inclusief	ingå	inclusief	V;IND;PRS;FIN;ACT	ADJ
att	dat	att	dat	PART	PRO;3
ett	one	en	oon	NUM;NOM;INDF;NEUT;SG	
ett	een	en	een	NUM;NOM;INDF;NEUT;SG	DET;INDF
ett	eén	en	eén	NUM;NOM;INDF;NEUT;SG	N;MASC+FEM;SG
inga	geen	ingen	geen	PRO;INDF;PL	DET
inga	inga	ingen	ingaan	PRO;INDF;PL	V;SG;PRS;FIN
underarter	ondersoort	underart	ondersoort	N;NOM;INDF;MASC+FEM;PL	N;MASC+FEM;SG
life	life	life	life	N;NOM;INDF;MASC+FEM;SG	
listade	opgesomd	lisa	opsommen	ADJ;NOM;PL;PST;V.PTCP	V;V.PTCP
meter	meter	meter	meter	N;NOM;INDF;MASC+FEM;PL	N;MASC+FEM;SG
meter	meter	meter	meter	N;NOM;INDF;MASC+FEM;PL	N;MASC+FEM;SG
meter	meter	meter	meter	N;NOM;INDF;MASC+FEM;PL	N;MASC+FEM;SG
meter	meter	meter	meter	N;NOM;INDF;MASC+FEM;PL	N;MASC+FEM;SG
januari	januari	januari	januari	N;NOM;INDF;MASC+FEM;SG	PROPN;MASC+FEM;SG
millimeter	millimeter	millimet	millimeter	N;NOM;INDF;MASC+FEM;PL	N;MASC+FEM;SG
millimeter	millimeter	millimet	millimeter	N;NOM;INDF;MASC+FEM;PL	N;MASC+FEM;SG
millimeter	millimeter	millimet	millimeter	N;NOM;INDF;MASC+FEM;PL	N;MASC+FEM;SG
millimeter	millimeter	millimet	millimeter	N;NOM;INDF;MASC+FEM;PL	N;MASC+FEM;SG
genomsnitt	gemiddelde	genomsnitt	gemiddeld	N;NOM;INDF;NEUT;SG	ADJ
genomsnitt	gemiddeld	genomsnitt	gemiddeld	N;NOM;INDF;NEUT;SG	ADJ
genomsnitt	gemiddelden	genomsnitt	gemiddeld	N;NOM;INDF;NEUT;SG	N;PL
var	var	var	var	PRO;INDF;MASC+FEM;SG	N;MASC+FEM;SG
var	was	var	zijn	PRO;INDF;MASC+FEM;SG	V;SG;PST;FIN
var	waren	var	zijn	PRO;INDF;MASC+FEM;SG	V;PL;PST;FIN
var	waar	var	waar	PRO;INDF;MASC+FEM;SG	ADV
juli	juli	juli	juli	N;NOM;INDF;MASC+FEM;SG	PROPN;MASC+FEM;SG
juli	juli	juli	juli	N;NOM;INDF;MASC+FEM;SG	PROPN;MASC+FEM;SG
han	han	han	han	PRO;NOM;DEF;MASC+FEM;SG	N;MASC+FEM;SG
har	heb	ha	hebben	V;IND;PRS;FIN;ACT	V;SG;PRS;FIN
vattendrag	waterlopen	vattendrag	waterlopen	N;NOM;INDF;NEUT;SG	N;PL
vattendrag	rivieren	vattendrag	rivier	N;NOM;INDF;NEUT;SG	N;PL
kanada	canada	kanad	canada	PROPN;NOM	N;NEUT;SG
högsta	supreme	hög	supreem	ADJ;NOM;DEF;RL	N;MASC+FEM;SG
högsta	maximale	hög	maximaal	ADJ;NOM;DEF;RL	ADJ
högsta	maximaal	hög	maximaal	ADJ;NOM;DEF;RL	ADJ
högsta	maximum	hög	maximum	ADJ;NOM;DEF;RL	N;NEUT;SG
augusti	augustus	augusti	augustus	N;NOM;INDF;MASC+FEM;SG	PROPN;MASC+FEM;SG
kan	kan	kunna	kunnen	V;IND;PRS;FIN;ACT	V;SG;PRS;FIN
kan	kon	kunna	kunnen	V;IND;PRS;FIN;ACT	V;SG;PST;FIN
kan	kan	kunna	kunnen	V;IND;PRS;FIN;ACT	V;SG;PRS;FIN
kan	kunnen	kunna	kunnen	V;IND;PRS;FIN;ACT	V;PL;PRS;FIN
länkar	links	länka	links	N;NOM;INDF;MASC+FEM;PL	ADJ
externa	extern	ext	extern	N;NOM;DEF;MASC+FEM;PL	ADJ
externa	uitwendig	ext	uitwendig	N;NOM;DEF;MASC+FEM;PL	ADJ
externa	externe	ext	extern	N;NOM;DEF;MASC+FEM;PL	ADJ
februari	februari	februari	februari	N;NOM;INDF;MASC+FEM;SG	PROPN;MASC+FEM;SG
under	under	under	under	ADP	
lake	meer	lake	veel	N;NOM;INDF;NEUT;SG	PRO
sjö	meer	sjö	veel	N;NOM;INDF;MASC+FEM;SG	PRO
inte	niet	inte	niet	PART;NEG	ADV
sig	sig	sig	sig	PRO;ACC;DEF	N;MASC+FEM;SG
två	two	två	two	NUM;NOM	
lac	lac	lac	lac	V;IMP;FIN;ACT	N;MASC+FEM;SG
long	lang	long	lang	N;NOM;INDF;MASC+FEM;SG	ADJ
long	lange	long	lang	N;NOM;INDF;MASC+FEM;SG	ADJ
juni	juni	juni	juni	N;NOM;INDF;MASC+FEM;SG	PROPN;MASC+FEM;SG
juni	juni	juni	juni	N;NOM;INDF;MASC+FEM;SG	PROPN;MASC+FEM;SG
lat	lui	lat	lui	N;NOM;INDF;MASC+FEM;SG	ADJ
lat	luie	lat	luie	N;NOM;INDF;MASC+FEM;SG	ADJ
december	december	december	december	N;NOM;INDF;MASC+FEM;SG	PROPN;MASC+FEM;SG
växer	teelt	växa	teellen	V;IND;PRS;FIN;ACT	N;MASC+FEM;SG
efter	after	efter	after	ADP	
nära	close	nära	close	ADV	N;MASC+FEM;SG
nära	afsluiten	nära	afsluiten	ADV	V;NFIN
nära	sluiten	nära	sluiten	ADV	V;NFIN
nära	sluit	nära	sluiten	ADV	V;SG;PRS;FIN
nära	dichtbij	nära	dichtbij	ADV	ADJ
väster	westelijk	väster	westelijk	N;NOM;INDF;MASC+FEM;SG	ADJ
först	eerste	först	één	ADV	ADJ
berg	bergen	berg	bergen	N;NOM;INDF;NEUT;SG	V;NFIN
indonesien	indonesië	indonesien	indonesië	PROPN;NOM	N;MASC+FEM;SG
mars	maart	mars	maart	N;NOM;INDF;MASC+FEM;SG	PROPN;MASC+FEM;SG
mars	marcheren	mars	marcheren	N;NOM;INDF;MASC+FEM;SG	V;NFIN
mindre	mindere	lite	mindere	ADV;CMPR	PRO
mindre	kleiner	lite	klein	ADV;CMPR	ADJ;CMPR
mindre	kleinere	lite	klein	ADV;CMPR	ADJ;CMPR
mindre	minor	lite	minor	ADV;CMPR	N;MASC+FEM;SG
mindre	mineur	lite	mineur	ADV;CMPR	N;MASC+FEM;SG
mindre	minderjarige	lite	minderjarig	ADV;CMPR	ADJ
mindre	minder	lite	minder	ADV;CMPR	PRO
oktober	oktober	oktober	oktober	N;NOM;INDF;MASC+FEM;SG	PROPN;MASC+FEM;SG
oktober	october	oktober	october	N;NOM;INDF;MASC+FEM;SG	PROPN;MASC+FEM;SG
man	man	man	man	PRO;NOM;INDF;MASC+FEM;SG	N;MASC+FEM;SG
september	september	september	september	N;NOM;INDF;MASC+FEM;SG	PROPN;MASC+FEM;SG
större	majoor	stor	majoor	ADJ;NOM;CMPR	N;MASC+FEM;SG
större	major	stor	major	ADJ;NOM;CMPR	N;MASC+FEM;SG
större	hoofdvak	stor	hoofdvak	ADJ;NOM;CMPR	N;NEUT;SG
nordväst	noordwesten	nordväst	noordwesten	ADV	N;NEUT;SG
nordväst	noordwest	nordväst	noordwest	ADV	N;MASC+FEM;SG
blev	werden	bli	worden	V;IND;PST;FIN;ACT	V;PL;PST;FIN
blev	werd	bli	worden	V;IND;PST;FIN;ACT	V;SG;PST;FIN
andra	tweede	annan	twee	PRO;INDF;PL	ADJ
andra	overige	annan	overig	PRO;INDF;PL	ADJ
andra	andere	annan	ander	PRO;INDF;PL	ADJ
andra	ander	annan	ander	PRO;INDF;PL	ADJ
andra	overig	annan	overig	PRO;INDF;PL	
andra	overige	annan	overig	PRO;INDF;PL	ADJ
andra	andere	annan	ander	PRO;INDF;PL	ADJ
andra	overigen	annan	overigen	PRO;INDF;PL	ADJ
andra	anderen	annan	ander	PRO;INDF;PL	ADJ
nordost	noordoost	nordost	noordoost	ADV	N;MASC+FEM;SG
nordost	noordoosten	nordost	noordoosten	ADV	N;NEUT;SG
huvudsakligen	voornamelijk	huvudsakligen	voornamelijk	ADV	ADJ
huvudsakligen	hoofdzakelijk	huvudsakligen	hoofdzakelijk	ADV	ADJ
huvudsakligen	primair	huvudsakligen	primair	ADV	ADJ
huvudsakligen	hoofdzakelijk	huvudsakligen	hoofdzakelijk	ADV	ADJ
ovanligt	soms	ovanlig	soms	ADJ;NOM;INDF;NEUT;SG	ADV
namngivna	genoemd	namngiven	noemen	ADJ;NOM;PL;PST;V.PTCP	V;V.PTCP
namngivna	genaamd	namngiven	genaamd	ADJ;NOM;PL;PST;V.PTCP	V;V.PTCP
namngivna	benoemde	namngiven	benoemen	ADJ;NOM;PL;PST;V.PTCP	V;V.PTCP
söder	zuid	söder	zuid	N;NOM;INDF;MASC+FEM;SG	ADJ
mycket	veel	mycket	veel	ADV	PRO
mycket	much	mycket	much	ADV	
ottawa	ottawa	ottal	ottawa	PROPN;NOM	N;NEUT;SG
närmaste	dichtstbijzijnde	nära	dichtstbijzijnd	ADJ;NOM;DEF;RL	ADJ
närmaste	dichtstbijzijnde	nära	dichtstbijzijnd	ADJ;NOM;DEF;RL	ADJ
november	november	november	november	N;NOM;INDF;MASC+FEM;SG	PROPN;MASC+FEM;SG
maj	mogen	maj	mogen	N;NOM;INDF;MASC+FEM;SG	V;PL;PRS;FIN
maj	may	maj	may	N;NOM;INDF;MASC+FEM;SG	
maj	mei	maj	mei	N;NOM;INDF;MASC+FEM;SG	PROPN;MASC+FEM;SG
maj	mag	maj	mogen	N;NOM;INDF;MASC+FEM;SG	V;SG;PRS;FIN
maj	moge	maj	mogen	N;NOM;INDF;MASC+FEM;SG	V;SG;PRS;FIN
cest	cest	cest	cest		
platt	platt	platt	platen	ADV	ADJ
platt	plat	platt	plat	ADV	ADJ
född	born	född	born	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	N;MASC+FEM;SG
född	geboren	född	geboren	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	V;V.PTCP
finland	finland	finland	finland	PROPN;NOM	PROPN;NEUT;SG
första	eerst	en	eerst	ADJ;NOM	ADV
fick	got	få	got	V;IND;PST;FIN;ACT	N;MASC+FEM;SG
fick	heb	få	hebben	V;IND;PST;FIN;ACT	V;SG;PRS;FIN
sydväst	zuidwest	sydväst	zuidwest	ADV	N;NEUT;SG
sydväst	zuidwesten	sydväst	zuidwesten	ADV	N;NEUT;SG
australien	australië	australien	australië	PROPN;NOM	PROPN;NEUT;SG
sydöstra	zuidoosten	sydöstra	zuidoosten	ADJ;NOM;DEF;SG	N;NEUT;SG
sydöstra	zuidoost	sydöstra	zuidoost	ADJ;NOM;DEF;SG	N;MASC+FEM;SG
sydöstra	southeastern	sydöstra	southeastern	ADJ;NOM;DEF;SG	N;MASC+FEM;SG
april	april	april	april	N;NOM;INDF;MASC+FEM;SG	PROPN;MASC+FEM;SG
sydost	zuidoosten	sydost	zuidoosten	ADV	N;NEUT;SG
sydost	zuidoost	sydost	zuidoost	ADV	N;MASC+FEM;SG
hans	hans	han	hans	PRO;DEF	PROPN;MASC+FEM;SG
hans	zijn	han	zijn	PRO;DEF	V;PL;PRS;FIN
södra	zuiden	södra	zuiden	ADJ;NOM;DEF;SG	N;NEUT;SG
södra	södra	södra	södra	ADJ;NOM;DEF;SG	N;MASC+FEM;SG
toppen	groot	topp	groot	N;NOM;DEF;MASC+FEM;SG	ADJ
toppen	geweldig	topp	geweldig	N;NOM;DEF;MASC+FEM;SG	ADJ
toppen	fantastisch	topp	fantastisch	N;NOM;DEF;MASC+FEM;SG	ADJ
toppen	bovenste	topp	boven	N;NOM;DEF;MASC+FEM;SG	ADJ;RL
sverige	zweden	sverige	zweden	PROPN;NOM	PROPN;NEUT;SG
sedan	sinds	sedan	sinds	ADV	ADP
sedan	sedert	sedan	sedert	ADV	ADP
östra	oosten	östra	oosten	ADJ;NOM;DEF;SG	N;NEUT;SG
östra	oost	östra	oost	ADJ;NOM;DEF;SG	N;MASC+FEM;SG
cet	cet	cet	cet		
sitt	zitten	sig	zitten	PRO;DEF;NEUT;SG	V;NFIN
sitt	zit	sig	zitten	PRO;DEF;NEUT;SG	V;SG;PRS;FIN
sitt	sit	sig	sit	PRO;DEF;NEUT;SG	N;MASC+FEM;SG
kilometer	kilometer	kilomet	kilometer	N;NOM;INDF;MASC+FEM;PL	N;MASC+FEM;SG
kilometer	kilometer	kilomet	kilometer	N;NOM;INDF;MASC+FEM;PL	N;MASC+FEM;SG
kilometer	kilometer	kilomet	kilometer	N;NOM;INDF;MASC+FEM;PL	N;MASC+FEM;SG
norra	noorden	norra	noorden	ADJ;NOM;DEF;SG	N;NEUT;SG
norra	noord	norra	noord	ADJ;NOM;DEF;SG	N;NEUT;SG
mot	apk	mot	apk	ADP	N;MASC+FEM;SG
mot	mot	mot	mot	ADP	N;MASC+FEM;SG
västra	west	onstra	west	ADJ;NOM;DEF;SG	N;MASC+FEM;SG
västra	westen	onstra	westen	ADJ;NOM;DEF;SG	N;NEUT;SG
västra	western	onstra	western	ADJ;NOM;DEF;SG	N;NEUT;SG
namn	namen	namn	nemen	N;NOM;INDF;NEUT;SG	V;PL;PST;FIN
vilket	welke	vilken	welk	PRO;INDF;NEUT;SG	PRO
svenska	svenska	svensk	svenska	ADJ;NOM;PL	ADV
svensk	zweedse	svensk	zweeds	N;NOM;INDF;MASC+FEM;SG	ADJ
svensk	zweeds	svensk	zweeds	N;NOM;INDF;MASC+FEM;SG	ADJ
frankrike	frankrijk	frankrike	frankrijk	PROPN;NOM	PROPN;NEUT;SG
död	dood	död	dood	N;NOM;INDF;MASC+FEM;SG	ADJ
död	doods	död	doods	N;NOM;INDF;MASC+FEM;SG	ADJ
död	overlijden	död	overlijden	N;NOM;INDF;MASC+FEM;SG	V;NFIN
död	dood	död	dood	N;NOM;INDF;MASC+FEM;SG	ADJ
död	doods	död	doods	N;NOM;INDF;MASC+FEM;SG	ADJ
kina	china	kina	china	PROPN;NOM	PROPN;NEUT;SG
kina	porselein	kina	porselein	PROPN;NOM	N;NEUT;SG
est	est	est	est	PROPN;NOM	N;MASC+FEM;SG
jordbruksmark	landbouwgrond	jordbruksmark	landbouwgrond	ADJ;NOM;INDF;MASC+FEM;SG	N;MASC+FEM;SG
annat	overige	annan	overig	PRO;INDF;NEUT;SG	ADJ
annat	andere	annan	ander	PRO;INDF;NEUT;SG	ADJ
annat	ander	annan	ander	PRO;INDF;NEUT;SG	ADJ
annat	overig	annan	overig	PRO;INDF;NEUT;SG	
edt	edt	edt	edten	NUM;NOM	
from	vrome	from	vroom	N;NOM;INDF;MASC+FEM;SG	ADJ
from	vroom	from	vroom	N;NOM;INDF;MASC+FEM;SG	ADJ
park	parkeren	park	parkeren	N;NOM;INDF;MASC+FEM;SG	V;NFIN
hill	heuvel	hill	heuvel	PROPN;NOM	N;MASC+FEM;SG
hill	hill	hill	hill	PROPN;NOM	N;MASC+FEM;SG
flera	verschillende	flera	verschillend	PRO;INDF;PL	ADJ
flera	verscheidene	flera	verscheidene	PRO;INDF;PL	ADJ
flera	meervoudige	flera	meervoudig	PRO;INDF;PL	ADJ
flera	veelvoud	flera	veelvoud	PRO;INDF;PL	N;NEUT;SG
flera	meervoudig	flera	meervoudig	PRO;INDF;PL	ADJ
nord	noorden	nord	noorden	PROPN;NOM	N;NEUT;SG
nord	noord	nord	noord	PROPN;NOM	N;NEUT;SG
nord	nord	nord	nord	PROPN;NOM	N;MASC+FEM;SG
stockholm	stockholm	stockholm	stockholm	PROPN;NOM	N;NEUT;SG
alla	allen	all	al	PRO;INDF;PL	PRO
alla	alle	all	al	PRO;INDF;PL	DET
alla	allemaal	all	allemaal	PRO;INDF;PL	ADV
alla	alles	all	alles	PRO;INDF;PL	PRO;3
alla	iedereen	all	iedereen	PRO;INDF;PL	PRO;3
samma	hetzelfde	samma	hetzelfde	DET;INDF	ADJ
samma	zelfde	samma	zelfde	DET;INDF	ADJ
samma	same	samma	same	DET;INDF	
senare	later	sen	laat	ADV;CMPR	ADJ;CMPR
olika	anders	olik	anders	ADJ;NOM;PL	ADV
island	ijsland	island	ijsland	PROPN;NOM	N;NEUT;SG
