theridion	theridion	theridion	theridion	N;NOM;INDF;MASC+FEM;SG	V;IPFV;IMP;SG;2;FIN;ACT
begränsade	ograniczony	begränsad	ograniczyć	ADJ;NOM;PL;PST;V.PTCP	ADJ;NOM;MASC;SG
begränsade	ograniczona	begränsad	ograniczony	ADJ;NOM;PL;PST;V.PTCP	ADJ;NOM;FEM;SG
begränsade	zastrzeżone	begränsad	zastrzeżyć	ADJ;NOM;PL;PST;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
begränsade	ograniczone	begränsad	ograniczyć	ADJ;NOM;PL;PST;V.PTCP	ADJ;NOM;NEUT;SG
begränsade	ograniczona	begränsad	ograniczony	ADJ;NOM;PL;PST;V.PTCP	ADJ;NOM;FEM;SG
begränsade	ograniczony	begränsad	ograniczyć	ADJ;NOM;PL;PST;V.PTCP	ADJ;NOM;MASC;SG
begränsade	ograniczone	begränsad	ograniczyć	ADJ;NOM;PL;PST;V.PTCP	ADJ;NOM;NEUT;SG
begränsade	limited	begränsad	limited	ADJ;NOM;PL;PST;V.PTCP	
lindqvist	lindqvist	lindqvist	lindqvist	PROPN;NOM	
shaanxi	shaanxi	shaanxi	shaanna	PROPN;NOM	
hancock	hancock	hancock	hancock	PROPN;NOM	PROPN;NOM;MASC;SG
motorvägen	autostradzie	motorväg	autostrada	N;NOM;DEF;MASC+FEM;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
uppfyller	spełniające	uppfylla	spełniać	V;IND;PRS;FIN;ACT	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;ACT
uppfyller	spełnianie	uppfylla	spełniać	V;IND;PRS;FIN;ACT	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
avsedda	zamierzone	avse	zamierzyć	ADJ;NOM;PL;PST;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
avsedda	przeznaczona	avse	przeznaczyć	ADJ;NOM;PL;PST;V.PTCP	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
avsedda	przeznaczony	avse	przeznaczyć	ADJ;NOM;PL;PST;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
avsedda	przeznaczone	avse	przeznaczyć	ADJ;NOM;PL;PST;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
staterna	stanów	stat	stan	N;NOM;DEF;MASC+FEM;PL	N;GEN;MASC;PL
riga	rydze	rig	ryda	PROPN;NOM	
styrkorna	mocne	styrka	mocny	N;NOM;DEF;MASC+FEM;PL	ADJ;NOM;NEUT;SG
möten	zebrania	möt	zebraniać	N;NOM;INDF;NEUT;PL	N;NOM;NEUT;SG
möten	spotkań	möt	spotkanie	N;NOM;INDF;NEUT;PL	N;GEN;NEUT;PL
möten	posiedzenia	möt	posiedzenie	N;NOM;INDF;NEUT;PL	N;NOM;NEUT;SG
rymden	przestrzeni	rymd	przestrzeń	N;NOM;DEF;MASC+FEM;SG	N;GEN;FEM;SG
rymden	kosmos	rymd	kosmos	N;NOM;DEF;MASC+FEM;SG	
sidney	sidney	sidney	sidney	PROPN;NOM	
universal	uniwersalne	universal	uniwersalny	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;NEUT;SG
universal	universal	universal	universal	N;NOM;INDF;MASC+FEM;SG	
universal	uniwersalny	universal	uniwersalny	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;MASC;SG
universal	powszechnej	universal	powszechny	N;NOM;INDF;MASC+FEM;SG	ADJ;GEN;FEM;SG
universal	powszechne	universal	powszechny	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;NEUT;SG
fånga	połów	fånga	połów	V;IMP;FIN;ACT	
fånga	złapanie	fånga	złapać	V;IMP;FIN;ACT	N;PFV;NOM;NEUT;SG;POS;V.MSDR
fånga	łapanie	fånga	łapać	V;IMP;FIN;ACT	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
fånga	złapanie	fånga	złapać	V;IMP;FIN;ACT	N;PFV;NOM;NEUT;SG;POS;V.MSDR
normala	normalne	normal	normalny	ADJ;NOM;PL	ADJ;NOM;NEUT;SG
normala	normalnie	normal	normalnie	ADJ;NOM;PL	ADV
normala	normalny	normal	normalny	ADJ;NOM;PL	ADJ;NOM;MASC;SG
normala	normalna	normal	normalny	ADJ;NOM;PL	ADJ;NOM;FEM;SG
samlas	zbieranie	samla	zbierać	V;IND;NFIN;PASS	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
samlas	zgromadzenie	samla	zgromadzenie	V;IND;NFIN;PASS	N;PFV;NOM;NEUT;SG;POS;V.MSDR
samlas	zebranie	samla	zebranie	V;IND;NFIN;PASS	N;NOM;NEUT;SG
samlas	gromadzenie	samla	gromadzenie	V;IND;NFIN;PASS	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
her	jej	her	on	N;NOM;INDF;MASC+FEM;SG	PRO;GEN;FEM;SG;3
her	ją	her	on	N;NOM;INDF;MASC+FEM;SG	PRO;ACC;FEM;SG;3
medaljen	medal	medalj	medal	N;NOM;DEF;MASC+FEM;SG	N;ACC;MASC;SG
etniska	etnicznych	etnisk	etniczny	ADJ;NOM;PL	ADJ;GEN;MASC;PL
etniska	etniczne	etnisk	etniczny	ADJ;NOM;PL	ADJ;NOM;NEUT;SG
assistent	asystenta	assistent	asystent	N;NOM;INDF;MASC+FEM;SG	N;ACC;MASC;SG
framställning	petycję	framställning	petycja	N;NOM;INDF;MASC+FEM;SG	N;ACC;FEM;SG
framställning	petycji	framställning	petycja	N;NOM;INDF;MASC+FEM;SG	N;GEN;FEM;SG
ambassad	ambasady	ambassad	ambasada	N;NOM;INDF;MASC+FEM;SG	N;GEN;FEM;SG
ambassad	ambasadzie	ambassad	ambasada	N;NOM;INDF;MASC+FEM;SG	N;DAT;FEM;SG
ambassad	a	ambassad	a	N;NOM;INDF;MASC+FEM;SG	CONJ
oruro	oruro	oruro	oruro	ADJ;NOM;DEF;SG	
byter	przełączniki	byta	przełącznik	V;IND;PRS;FIN;ACT	N;NOM;MASC;PL
byter	przełączania	byta	przełączać	V;IND;PRS;FIN;ACT	N;IPFV;GEN;NEUT;SG;POS;V.MSDR
stånd	boner	stånd	boner	N;NOM;INDF;NEUT;SG	
stånd	erekcji	stånd	erekcja	N;NOM;INDF;NEUT;SG	N;GEN;FEM;SG
samlades	zebrane	samla	zebrać	V;IND;PST;FIN;PASS	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
visor	daszek	visa	daszka	N;NOM;INDF;MASC+FEM;PL	N;ACC;MASC;SG
örgryte	örgryte	örgryte	srgryt	PROPN;NOM	
möjlig	mozliwe	möjlig	mozliwy	ADJ;NOM;INDF;MASC+FEM;SG	
bokstäver	pisma	bokstov	pismo	N;NOM;INDF;MASC+FEM;PL	N;NOM;NEUT;SG
bokstäver	liter	bokstov	liter	N;NOM;INDF;MASC+FEM;PL	N;GEN;FEM;PL
bokstäver	listy	bokstov	list	N;NOM;INDF;MASC+FEM;PL	
