leningrad	lenjingrad	leningrad	lenjingrad		N;NOM;MASC;SG
castle	castle	cast	castle		ADP
castle	dvorac	cast	dvorac		N;NOM;MASC;SG
castle	zamak	cast	zamak		N;NOM;MASC;SG
rain	kiša	rain	kiša		N;NOM;FEM;SG
eugene	eugene	eugen	eugen	PROPN;NOM;SG;3	N;NOM;MASC;SG
çakmak	svjetlije	çak	svjetlije		N;NOM;FEM;PL
çakmak	lakši	çak	lak		ADJ;NOM;DEF;CMPR;MASC;SG
çakmak	upaljač	çak	upaljač		N;NOM;MASC;SG
evrimsel	evolucijski	evrimsel	evolucijski		ADV
duyar	čuje	duy	čuti		V;IND;SG;3;PRS;FIN
spin	spin	spin	spin		N;NOM;MASC;SG
spin	okret	spin	okret		N;NOM;MASC;SG
kaldırma	uklanjanje	kaldırma	uklanjanje		N;NOM;NEUT;SG
kaldırma	dizanje	kaldırma	dizanje		N;NOM;NEUT;SG
kaldırma	uklanjanje	kaldırma	uklanjanje		N;NOM;NEUT;SG
emmanuel	emmanuel	emmanuel	emmanuel		N;NOM;MASC;SG
gregory	gregory	gregory	gregory		N;NOM;MASC;SG
aşı	cjepiva	aş	cjepivo		N;NOM;NEUT;PL
aşı	cjepivo	aş	cjepivo		N;NOM;NEUT;SG
aşı	cjepiva	aş	cjepivo		N;NOM;NEUT;PL
feneri	svjetionik	fener	svjetionik		N;NOM;MASC;SG
feneri	svjetionika	fener	svjetionika		N;ACC;MASC;SG
atanan	dodijeljen	ata	dodijeliti		ADJ;NOM;MASC;SG;V.PTCP;PASS
atanan	dodijeljena	ata	dodijeliti		ADJ;NOM;DEF;FEM;SG;V.PTCP;PASS
atanan	imenovao	ata	imenovati		V;MASC;SG;PST;V.PTCP;ACT
atanan	imenovan	ata	imenovati		ADJ;NOM;MASC;SG;V.PTCP;PASS
ahlak	etike	ahlak	etika	N;NOM;SG;3	N;NOM;FEM;PL
ahlak	etiku	ahlak	etika	N;NOM;SG;3	N;ACC;FEM;SG
ahlak	moralno	ahlak	moralno	N;NOM;SG;3	ADV
dimitri	dmitry	dimitri	dmitry		PROPN;NOM;MASC;SG
dimitri	dmitri	dimitri	dmitar		N;NOM;MASC;SG
dimitri	dimitri	dimitri	dimitar		N;NOM;MASC;SG
duyuruldu	najavio	duyur	najaviti	V;PFV;IND;SG;3;POS;PST;PASS	V;MASC;SG;PST;V.PTCP;ACT
duyuruldu	objavio	duyur	objaviti	V;PFV;IND;SG;3;POS;PST;PASS	V;MASC;SG;PST;V.PTCP;ACT
duyuruldu	najavili	duyur	najaviti	V;PFV;IND;SG;3;POS;PST;PASS	V;MASC;PL;PST;V.PTCP;ACT
malmö	malmö	malmö	malmö	PROPN;NOM;SG;3	N;NOM;MASC;SG
sözde	navodno	söz	navodno		ADV
sözde	navodne	söz	navodan		ADJ;NOM;DEF;FEM;PL
sözde	navodni	söz	navodan		ADJ;NOM;DEF;MASC;SG
sözde	navodno	söz	navodno		ADV
şiddetle	snažno	şiddet	snažno	N;INS;SG;3	ADV
şiddetle	nasilno	şiddet	nasilno	N;INS;SG;3	ADV
şiddetle	nasilje	şiddet	nasilje	N;INS;SG;3	N;NOM;NEUT;SG
