de	say	de	say		
ile	함께	ile	함께		ADV
en	즐겨찾기	en	즐기+어+내+기	ADV	V
daha	기타	daha	기타	ADV	N
sonra	그렇다면	sonra	그렇다면	ADV	CONJ
sonra	그러면	sonra	그러면	ADV	CONJ
sonra	그때	sonra	그때	ADV	
ilk	우선	ilk	우선		ADV
ilk	처음	ilk	처음		N
ilk	먼저	ilk	먼저		ADV
çok	아주	çok	아주		ADV
çok	매우	çok	매우		ADV
çok	많이	çok	많이		ADV
çok	훨씬	çok	훨씬		ADV
yer	위치	yer	위치	N;NOM;SG;3	
büyük	대형	büyük	대형		N
büyük	거대한	büyük	거대+하+ㄴ		V
bağlantılar	커넥션	bağlantı	커넥션	N;NOM;PL;3	
bağlantılar	링크	bağlantı	링크	N;NOM;PL;3	
türkiye	터키	türkiye	터키	PROPN;NOM;SG;3	
türkiye	칠면조	türkiye	칠면조	PROPN;NOM;SG;3	
ancak	그러나	ancak	그러나		CONJ
center	센터	center	센터	N;NOM;SG;3	
ayrıca	또한	ayrıca	또한		CONJ
istanbul	이스탄불	istanbul	이스탄불	PROPN;NOM;SG;3	PROPN
türk	투르크인	türk	투르크인	ADJ	
türk	투르크	türk	투르크	ADJ	PROPN
türk	터키식	türk	터키식	ADJ	
türk	터키어	türk	터키+어	ADJ	
türk	터키	türk	터키	ADJ	
diğer	기타	diğer	기타	ADJ	N
her	꼴찌	her	꼴찌	DET	
aynı	동일	aynı	동일	ADJ	
aynı	똑같이	aynı	똑같이	ADJ	ADV
bağlı	첨부된	bağlı	첨부+되+ㄴ		V
bağlı	연결됨	bağlı	연결+되+ㄴ		V
bağlı	연결됨	bağlı	연결+되+ㄴ		V
iyi	좋다	iyi	좋+다		ADJ
ilgili	관련	ilgili	관련	ADJ	N
ilgili	관련성	ilgili	관련성	ADJ	N
ilgili	관심사	ilgili	관심사	ADJ	N
ilgili	관심	ilgili	관심	ADJ	N
ilgili	관련	ilgili	관련	ADJ	N
son	마지막	son	마지막		N
son	종료	son	종료		N
son	끝내기	son	끝내+기		V
alan	필드	al	필드	V;PFV;IND;POS;PRS;V.PTCP	
alan	현장	al	현장	V;PFV;IND;POS;PRS;V.PTCP	
alan	도메인	al	도메인	V;PFV;IND;POS;PRS;V.PTCP	N
alan	영역	al	영역	V;PFV;IND;POS;PRS;V.PTCP	N
alan	앨런	al	앨런	V;PFV;IND;POS;PRS;V.PTCP	PROPN
alan	알렌	al	알렌	V;PFV;IND;POS;PRS;V.PTCP	
alan	알란	al	알+란	V;PFV;IND;POS;PRS;V.PTCP	
alan	구역	al	구역	V;PFV;IND;POS;PRS;V.PTCP	N
alan	영역	al	영역	V;PFV;IND;POS;PRS;V.PTCP	N
alan	지역	al	지역	V;PFV;IND;POS;PRS;V.PTCP	N
alan	면적	al	면적	V;PFV;IND;POS;PRS;V.PTCP	
dünya	세상	dünya	세상		N
dünya	세계	dünya	세계		N
dünya	earth	dünya	earth		
dünya	지구	dünya	지구		N
abd	미국	abd	미국		PROPN
birlikte	함께	birlikte	함께		ADV
birlikte	같이	birlikte	같이		ADV
eski	오래된	eski	오래+되+ㄴ		V
önemli	중요	önemli	중요		N
önemli	중요하다	önemli	중요+하+다		V
madde	소재	madde	소재	N;NOM;SG;3	
sağlık	헬스	sağlık	헬스	N;NOM;SG;3	
sağlık	보건	sağlık	보건	N;NOM;SG;3	
genel	일반	genel	일반	ADJ	N
genel	전반적으로	genel	전반+적+으로	ADJ	ADV
genel	전체적으로	genel	전체+적+으로	ADJ	ADV
genel	전반	genel	전반	ADJ	N
genel	장군	genel	장군	ADJ	N
genel	일반	genel	일반	ADJ	N
genel	일반인	genel	일반+이+ㄴ	ADJ	
mart	행진	mart	행진		N
film	필름	film	필름		N
film	영화	film	영화		N
film	영화	film	영화		N
film	필름	film	필름		N
film	영화	film	영화		N
film	영화	film	영화		N
dosya	파일	dosya	파일		N
dosya	파일	dosya	파일		N
yıl	year	yıl	year		
avrupa	유럽	avrupa	유럽		PROPN
ama	근데	ama	근데	CONJ	
toplam	평생	toplam	평생		N
toplam	합계	toplam	합계		N
toplam	총액	toplam	총액		N
toplam	전체	toplam	전체		N
toplam	전반적으로	toplam	전반+적+으로		ADV
toplam	전체적으로	toplam	전체+적+으로		ADV
toplam	전반	toplam	전반		N
jpg	jpeg	jpg	jpeg		
ikinci	둘째	ikinci	둘째	ADJ	NUM
ikinci	두번째	ikinci	두번+째	ADJ	N
ağustos	아우구스트	ağustos	아우구스트		PROPN
içinde	인사이드	içinde	인사이드	ADV	
içinde	내부	içinde	내부	ADV	N
önce	이전	önce	이전		N
önce	전에	önce	전+에		ADV
önce	우선	önce	우선		ADV
önce	처음	önce	처음		N
önce	먼저	önce	먼저		ADV
den	den	None	den		
resim	사진	resim	사진		N
resim	그림	resim	그림		N
resim	그림	resim	그림		N
resim	그리기	resim	그리+기		V
ye	먹기	ye	먹+기		V
şehir	시내	şehir	시내		N
şehir	도시	şehir	도시		N
şehir	마을	şehir	마을		N
şehir	도시	şehir	도시		N
şehir	도시	şehir	도시		N
zaman	타임	zaman	타임	N;NOM;SG;3	
zaman	time	zaman	time	N;NOM;SG;3	
bazı	일부	bazı	일부	DET	N
köy	마을	köy	마을		N
yüksek	하이	yüksek	하이	ADJ	
birçok	많은	birçok	많+ㄴ	DET	ADJ
sadece	단발	sadece	단발	ADV	
yol	노선	yol	노선		N
yol	way	yol	way		
fakat	그런데	fakat	그런데		CONJ
fakat	그러나	fakat	그러나		CONJ
fakat	하지만	fakat	하지만		CONJ
grup	밴드	grup	밴드		N
grup	집단	grup	집단		N
takım	분대	takım	분대		N
takım	스쿼드	takım	스쿼드		N
takım	team	takım	team		
kendi	소유	kendi	소유	PRO;NOM;SG;3;REFL	
şekilde	웨이팅	şekil	웨이팅	N;ESS;SG;3	
şekilde	way	şekil	way	N;ESS;SG;3	
şekilde	웨이	şekil	웨+이	N;ESS;SG;3	
tek	singles	tek	singles		
kez	타임스	kez	타임스	N;NOM;SG;3	
kez	타임즈	kez	타임즈	N;NOM;SG;3	
hakkında	대략	hak	대략	N;ESS;SG;3	
osmanlı	오스만	osmanlı	오스만		PROPN
ankara	앙카라	ankar	앙카라		PROPN
tarihi	데이트	tarih	데이트		N
tarihi	역사	tarih	역사		N
tarihi	역사	tarih	역사		N
tarihi	내역	tarih	내역		N
tarihi	기록	tarih	기록		N
küçük	작아	küçük	작+아	ADJ	
küçük	소작	küçük	소작	ADJ	
küçük	lil	küçük	lil	ADJ	
küçük	리틀	küçük	리틀	ADJ	
müzik	음악	müzik	음악		N
müzik	뮤직	müzik	뮤직		N
gelen	수신	gel	수신	V;PFV;IND;POS;PRS;V.PTCP	N
resmi	사진	resmi	사진		N
resmi	그림	resmi	그림		N
resmi	공식	resmi	공식		N
resmi	official	resmi	official		
kabul	동의	kabul	동의	N;NOM;SG;3	
kabul	수락	kabul	수락	N;NOM;SG;3	
