бретань	bretagne	бретання	bretagny	PROPN;INAN;NOM;MASC;SG	
закінчили	zrobione	закінчити	zrobić	V;PFV;IND;PL;PST;FIN	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
аналог	analogiczny	аналог	analogiczny	N;INAN;NOM;MASC;SG	ADJ;NOM;MASC;SG
аналог	analogiczne	аналог	analogiczny	N;INAN;NOM;MASC;SG	ADJ;NOM;NEUT;SG
старим	stare	старий	stary	ADJ;INS;NEUT;SG	
старим	stary	старий	stary	ADJ;INS;NEUT;SG	ADJ;NOM;MASC;SG
старим	old	старий	old	ADJ;INS;NEUT;SG	
старим	stara	старий	stary	ADJ;INS;NEUT;SG	
використана	stosowane	використаний	stosować	ADJ;PFV;NOM;FEM;SG;V.PTCP;PASS	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
використана	używana	використаний	używać	ADJ;PFV;NOM;FEM;SG;V.PTCP;PASS	ADJ;IPFV;NOM;FEM;SG;POS;V.PTCP;PASS
використана	używany	використаний	używać	ADJ;PFV;NOM;FEM;SG;V.PTCP;PASS	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;PASS
використана	używane	використаний	używać	ADJ;PFV;NOM;FEM;SG;V.PTCP;PASS	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
звичаї	celne	звичай	celny	N;INAN;NOM;MASC;PL	ADJ;NOM;NEUT;SG
звичаї	cła	звичай	cza	N;INAN;NOM;MASC;PL	
звичаї	cło	звичай	cło	N;INAN;NOM;MASC;PL	
травми	szkody	травма	szkoda	N;INAN;NOM;FEM;PL	
травми	urazy	травма	uraz	N;INAN;NOM;FEM;PL	V;IPFV;IND;SG;PRS;FIN;ACT
травми	uraz	травма	uraz	N;INAN;NOM;FEM;PL	N;NOM;MASC;SG
травми	uszkodzenie	травма	uszkodzić	N;INAN;NOM;FEM;PL	N;PFV;NOM;NEUT;SG;POS;V.MSDR
травми	urazy	травма	uraz	N;INAN;NOM;FEM;PL	V;IPFV;IND;SG;PRS;FIN;ACT
травми	uraz	травма	uraz	N;INAN;NOM;FEM;PL	N;NOM;MASC;SG
адмін	administratora	адмін	administrator	N;INAN;NOM;MASC;SG	N;ACC;MASC;SG
адмін	administratorem	адмін	administrator	N;INAN;NOM;MASC;SG	N;INS;MASC;SG
типові	domyślną	тип	domyślny	ADJ;NOM;PL	ADJ;ACC;FEM;SG
