категорія	категории	категорія	категория	N;INAN;NOM;FEM;SG	N;INAN;NOM;FEM;PL
від	from	від	from	ADP;GEN	PROPN
від	vid	від	vid	ADP;GEN	
для	for	для	for	ADP;GEN	PROPN
про	about	про	about	ADP;ACC	PROPN
про	о	про	о	ADP;ACC	INTJ
його	ему	він	он	PRO;ACC;MASC;SG;3	PRO;DAT;MASC;SG;3
був	была	бути	быть	V;IPFV;MASC;IND;SG;PST;FIN	V;IPFV;FEM;IND;SG;PST;FIN;ACT
населення	населения	населення	население	N;INAN;NOM;NEUT;SG	N;INAN;GEN;NEUT;SG
було	была	бути	быть	V;IPFV;NEUT;IND;SG;PST;FIN	V;IPFV;FEM;IND;SG;PST;FIN;ACT
він	wien	він	wien	PRO;NOM;MASC;SG;3	PROPN
після	after	після	after	ADP;GEN	PROPN
час	времена	час	время	N;INAN;NOM;MASC;SG	N;INAN;NOM;NEUT;PL
час	times	час	times	N;INAN;NOM;MASC;SG	PROPN
час	времени	час	время	N;INAN;NOM;MASC;SG	N;INAN;GEN;NEUT;SG
час	time	час	time	N;INAN;NOM;MASC;SG	PROPN
області	районы	область	район	N;INAN;GEN;FEM;SG	N;INAN;NOM;MASC;PL
області	области	область	область	N;INAN;GEN;FEM;SG	N;INAN;NOM;FEM;PL
які	которое	який	который	DET;NOM;PL	PRO;NOM
які	которая	який	который	DET;NOM;PL	PRO;NOM
які	которые	який	который	DET;NOM;PL	PRO;NOM
які	который	який	который	DET;NOM;PL	PRO;NOM
який	которое	який	который	DET;NOM;MASC;SG	PRO;NOM
який	которая	який	который	DET;NOM;MASC;SG	PRO;NOM
який	которые	який	который	DET;NOM;MASC;SG	PRO;NOM
який	который	який	который	DET;NOM;MASC;SG	PRO;NOM
була	была	бути	быть	V;IPFV;FEM;IND;SG;PST;FIN	V;IPFV;FEM;IND;SG;PST;FIN;ACT
осіб	лиц	особа	лицо	N;ANIM;ACC;FEM;PL	N;ANIM;GEN;NEUT;PL
міста	города	місто	город	N;INAN;NOM;NEUT;SG	N;INAN;NOM;MASC;PL
міста	городов	місто	город	N;INAN;NOM;NEUT;SG	N;INAN;GEN;MASC;PL
міста	прихоти	місто	прихоти	N;INAN;NOM;NEUT;SG	N;INAN;NOM;FEM;PL
див	видишь	див.	видеть		V;IPFV;IND;SG;2;PRS;FIN;ACT
див	посмотреть	див.	смотреть		V;PFV;NFIN;ACT
див	см	див.	сантиметр		ADV
село	деревне	село	деревня	N;INAN;NOM;NEUT;SG	N;INAN;DAT;FEM;SG
через	виа	через	виа	ADP;ACC	N;INAN;NOM;MASC;SG
через	via	через	via	ADP;ACC	PROPN
села	деревни	село	деревня	N;INAN;NOM;NEUT;SG	N;INAN;NOM;FEM;PL
