категорія	kategori	категорія	kategori	N;INAN;NOM;FEM;SG	
від	from	від	from	ADP;GEN	
для	icin	для	icin	ADP;GEN	
для	için	для	için	ADP;GEN	
також	ayrica	також	ayrica	ADV	
також	ayrıca	також	ayrıca	ADV	
про	hakkında	про	hak	ADP;ACC	N;ESS;SG;3
про	yaklaşık	про	yaklaşık	ADP;ACC	
його	onunki	він	onunki	PRO;ACC;MASC;SG;3	
його	onun	він	o	PRO;ACC;MASC;SG;3	PRO;GEN;SG;3
населення	demografik	населення	demografik	N;INAN;NOM;NEUT;SG	ADJ
населення	nüfusu	населення	nüfus	N;INAN;NOM;NEUT;SG	N;ACC;SG;3
населення	nüfus	населення	nüfus	N;INAN;NOM;NEUT;SG	
він	wien	він	wien	PRO;NOM;MASC;SG;3	PROPN;NOM;SG;3
під	altta	під	altta	ADP;ACC	
під	altında	під	alt	ADP;ACC	ADJ;ESS;SG;3
під	altinda	під	alt	ADP;ACC	ADJ;ESS;SG;3
під	altına	під	alt	ADP;ACC	ADJ;DAT;SG;3
під	altında	під	alt	ADP;ACC	ADJ;ESS;SG;3
під	altında	під	alt	ADP;ACC	ADJ;ESS;SG;3
під	altinda	під	alt	ADP;ACC	ADJ;ESS;SG;3
під	altına	під	alt	ADP;ACC	ADJ;DAT;SG;3
після	sonrası	після	sonra	ADP;GEN	
після	ardından	після	ardından	ADP;GEN	ADV
після	sonrasında	після	sonra	ADP;GEN	N;ESS;SG;3
після	sonra	після	sonra	ADP;GEN	ADV
час	times	час	times	N;INAN;NOM;MASC;SG	
час	zamanlar	час	zaman	N;INAN;NOM;MASC;SG	N;NOM;PL;3
час	vakit	час	vakit	N;INAN;NOM;MASC;SG	
час	time	час	tim	N;INAN;NOM;MASC;SG	
але	fakat	але	fakat	CONJ	
області	alanlar	область	alan	N;INAN;GEN;FEM;SG	N;NOM;PL;3
області	alanları	область	alan	N;INAN;GEN;FEM;SG	N;ACC;PL;3
області	bölgeler	область	bölge	N;INAN;GEN;FEM;SG	N;NOM;PL;3
які	hangi	який	hangi	DET;NOM;PL	ADJ
які	hangisi	який	hangi	DET;NOM;PL	
при	pri	при	pri	ADP;ESS	
який	hangi	який	hangi	DET;NOM;MASC;SG	ADJ
який	hangisi	який	hangi	DET;NOM;MASC;SG	
осіб	kişiler	особа	kişi	N;ANIM;ACC;FEM;PL	N;NOM;PL;3
міста	kentler	місто	kent	N;INAN;NOM;NEUT;SG	N;NOM;PL;3
міста	şehirler	місто	şehir	N;INAN;NOM;NEUT;SG	N;NOM;PL;3
міста	şehirleri	місто	şehir	N;INAN;NOM;NEUT;SG	N;NOM;PL;3
міста	heves	місто	heves	N;INAN;NOM;NEUT;SG	
див	gör	див.	gör		V;PFV;IMP;SG;2;POS;PRS
див	görün	див.	görün		V;PFV;IMP;PL;2;POS;PRS
див	görmek	див.	gör		V;PFV;NOM;IND;POS;PRS;V.MSDR
село	selo	село	selo	N;INAN;NOM;NEUT;SG	
село	köyü	село	köy	N;INAN;NOM;NEUT;SG	
село	köy	село	köy	N;INAN;NOM;NEUT;SG	
район	bölge	район	bölge	N;INAN;NOM;MASC;SG	
район	bahşı	район	bahşı	N;INAN;NOM;MASC;SG	
район	ilçe	район	ilçe	N;INAN;NOM;MASC;SG	
