бухгалтер	محاسب	бухгалтер	محاسب	N;INAN;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
їли	خوردنی	їсти	خوردنی	V;IPFV;IND;PL;PST;FIN	ADJ
завершене	انتہائی	завершений	انتہائی	ADJ;PFV;NOM;NEUT;SG;V.PTCP;PASS	ADV
завершене	نپٹ	завершений	نپٹ	ADJ;PFV;NOM;NEUT;SG;V.PTCP;PASS	
завершене	ختم	завершений	ختم	ADJ;PFV;NOM;NEUT;SG;V.PTCP;PASS	N;NOM;MASC;SG;3
завершене	تفصیلات	завершений	تفصیل	ADJ;PFV;NOM;NEUT;SG;V.PTCP;PASS	N;NOM;MASC;PL;3
завершене	نہایت	завершений	نہایت	ADJ;PFV;NOM;NEUT;SG;V.PTCP;PASS	ADV
завершене	مکمّل	завершений	مکمّل	ADJ;PFV;NOM;NEUT;SG;V.PTCP;PASS	PROPN;NOM;MASC;SG;3
завершене	انتہائی	завершений	انتہائی	ADJ;PFV;NOM;NEUT;SG;V.PTCP;PASS	ADV
завершене	نپٹ	завершений	نپٹ	ADJ;PFV;NOM;NEUT;SG;V.PTCP;PASS	
завершене	ختم	завершений	ختم	ADJ;PFV;NOM;NEUT;SG;V.PTCP;PASS	N;NOM;MASC;SG;3
завершене	تفصیلات	завершений	تفصیل	ADJ;PFV;NOM;NEUT;SG;V.PTCP;PASS	N;NOM;MASC;PL;3
завершене	نہایت	завершений	نہایت	ADJ;PFV;NOM;NEUT;SG;V.PTCP;PASS	ADV
завершене	مکمّل	завершений	مکمّل	ADJ;PFV;NOM;NEUT;SG;V.PTCP;PASS	PROPN;NOM;MASC;SG;3
черепашки	کچھوا	черепашка	کچھوا	N;INAN;NOM;FEM;PL	PROPN;NOM;MASC;SG;3
затриманий	حراست	затриманий	حراست	ADJ;PFV;NOM;MASC;SG;V.PTCP;PASS	N;NOM;MASC;SG;3
затриманий	قید	затриманий	قید	ADJ;PFV;NOM;MASC;SG;V.PTCP;PASS	N;NOM;MASC;SG;3
ілюстратор	نقّاش	ілюстратор	نقّاش	N;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
унікальність	یکتائی	унікальність	یک	N;INAN;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
дотик	بگاڑنا	дотик	بگاڑ	N;INAN;NOM;MASC;SG	V;NFIN;ACT
дотик	پرکھ	дотик	پرکھ	N;INAN;NOM;MASC;SG	V;ACT
дотик	ذرا	дотик	ذرا	N;INAN;NOM;MASC;SG	
дотик	ٹکرانا	дотик	ٹکرانا	N;INAN;NOM;MASC;SG	V;MASC;SG;NFIN;ACT
дотик	پھٹکی	дотик	پھٹک	N;INAN;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
дотик	چٹکی	дотик	چٹک	N;INAN;NOM;MASC;SG	V;PFV;FEM;SG;V.PTCP;ACT
дотик	بگاڑنا	дотик	بگاڑ	N;INAN;NOM;MASC;SG	V;NFIN;ACT
дотик	پرکھ	дотик	پرکھ	N;INAN;NOM;MASC;SG	V;ACT
дотик	ذرا	дотик	ذرا	N;INAN;NOM;MASC;SG	
дотик	ٹکرانا	дотик	ٹکرانا	N;INAN;NOM;MASC;SG	V;MASC;SG;NFIN;ACT
дотик	پھٹکی	дотик	پھٹک	N;INAN;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
дотик	چٹکی	дотик	چٹک	N;INAN;NOM;MASC;SG	V;PFV;FEM;SG;V.PTCP;ACT
єви	شام.	ява	شام.	PROPN;ANIM;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
біс	بُھتنا.	біс	بُھتنا.		PROPN;NOM;MASC;SG;3
біс	شخص	біс	شخص		N;NOM;MASC;SG;3
біс	برا	біс	برا		ADJ;NOM;MASC;SG
біс	نفر	біс	نفر		
біс	ابلیس	біс	ابلیس		PROPN;NOM;MASC;SG;3
біс	بھوت	біс	بھوت		PROPN;NOM;MASC;SG;3
біс	بدی	біс	بدی		PROPN;NOM;MASC;SG;3
біс	چالاک	біс	چالاک		ADJ;NOM;MASC;SG
біс	شر	біс	شر		N;NOM;MASC;SG;3
біс	آدمی	біс	آدمی		PROPN;NOM;MASC;SG;3
успадкування	میراث	успадкування	میراث	N;INAN;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
успадкування	ترکہ.	успадкування	ترکہ.	N;INAN;NOM;NEUT;SG	
згодні	مطابق	згодні	مطابق	ADJ;NOM;PL	ADP
бора	خشک	бора	خشک	PROPN;ANIM;NOM;MASC;SG	ADJ
пластові	پنجر	пластовий	پنجر	ADJ;NOM;PL	
пластові	پرانا	пластовий	پرانا	ADJ;NOM;PL	ADJ;NOM;MASC;SG
пластові	بوسیدہ.	пластовий	بوسیدہ.	ADJ;NOM;PL	PROPN;NOM;MASC;SG;3
пластові	فوصل.	пластовий	فوصل.	ADJ;NOM;PL	
тензор	تناویہ	тензор	تناویہ	N;INAN;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
сітку	بجلی	сітка	بجلی	N;INAN;ACC;FEM;SG	N;NOM;FEM;SG;3
сітку	جنگلہ	сітка	جنگلہ	N;INAN;ACC;FEM;SG	
сітку	جالی.	сітка	جالی.	N;INAN;ACC;FEM;SG	PROPN;NOM;MASC;SG;3
блиску	اجلاپن.	блиска	اجلاپن.	N;INAN;GEN;MASC;SG	PROPN;NOM;MASC;SG;3
блиску	جِلا	блиска	جِلا	N;INAN;GEN;MASC;SG	
блиску	چمکانا.	блиска	چمکانا.	N;INAN;GEN;MASC;SG	PROPN;NOM;MASC;SG;3
блиску	جھوٹی	блиска	جھوٹا	N;INAN;GEN;MASC;SG	ADJ;FEM
капсули	مجمل	капсути	مجمل	N;INAN;NOM;FEM;PL	PROPN;NOM;MASC;SG;3
капсули	خلاصہ	капсути	خلاصہ	N;INAN;NOM;FEM;PL	N;NOM;MASC;SG;3
круто	تحمل	круто	تحمل	ADV	N;NOM;MASC;SG;3
круто	پُرسکون	круто	پُرسکون	ADV	ADJ
круто	بردباری	круто	بردباری	ADV	N;NOM;MASC;SG;3
круто	ڈھیٹ	круто	ڈھیٹ	ADV	V;SG;ACT
круто	ٹھنڈک	круто	ٹھنڈک	ADV	
круто	بیگانہ	круто	بیگانہ	ADV	ADJ
круто	خنکی.	круто	خنکی.	ADV	PROPN;NOM;MASC;SG;3
круто	نامانوس	круто	نامانوس	ADV	ADJ
круто	عوام	круто	عوام	ADV	N;NOM;MASC;SG;3
шістнадцять	xvi	шістнадцять	xvi	NUM;NOM	
дистанція	بُعد.	дистанція	بُعد.	N;INAN;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
