پِزشک	lékař	پِزشک	lékař	PROPN;NOM;MASC;SG;3	N;ANIM;NOM;MASC;SG;POS
پِزوہش	šetření	پِزوہش	šetření	PROPN;NOM;MASC;SG;3	N;NOM;NEUT;SG;POS
پِزوہش	vyšetřování	پِزوہش	vyšetřování	PROPN;NOM;MASC;SG;3	N;NOM;NEUT;SG;POS
پِزوہش	hledej	پِزوہش	hledat	PROPN;NOM;MASC;SG;3	V;IMP;SG;2;POS;FIN
پِزوہش	vyhledat	پِزوہش	vyhledat	PROPN;NOM;MASC;SG;3	V;PFV;POS;NFIN
پِزوہش	hledání	پِزوہش	hledání	PROPN;NOM;MASC;SG;3	N;NOM;NEUT;SG;POS
پِزوہش	hledat	پِزوہش	hledat	PROPN;NOM;MASC;SG;3	V;IPFV;POS;NFIN
پِزوہش	vyhledávání	پِزوہش	vyhledávání	PROPN;NOM;MASC;SG;3	N;NOM;NEUT;SG;POS
پِزوہش	zkoumání	پِزوہش	zkoumání	PROPN;NOM;MASC;SG;3	N;NOM;NEUT;SG;POS
پِزوہش	vyšetření	پِزوہش	vyšetření	PROPN;NOM;MASC;SG;3	N;NOM;NEUT;SG;POS
پِزوہش	výslechu	پِزوہش	výslech	PROPN;NOM;MASC;SG;3	N;INAN;GEN;MASC;SG;POS
پِزوہش	výslech	پِزوہش	výslech	PROPN;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG;POS
پِزوہش	výslechy	پِزوہش	výslech	PROPN;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL;POS
پِژمان	smutný	پِژمان	smutný	PROPN;NOM;MASC;SG;3	ADJ;ANIM;NOM;MASC;SG;POS
پِژمان	smutná	پِژمان	smutný	PROPN;NOM;MASC;SG;3	ADJ;NOM;FEM;SG;POS
پِژمان	smutné	پِژمان	smutný	PROPN;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG;POS
پژمُردگی	smutku	پژمُردگی	smutek	N;NOM;MASC;SG;3	N;INAN;GEN;MASC;SG;POS
پس	za	پس_وپیش	za	N;NOM;MASC;SG;3	ADP;ACC
پس	proto	پس_وپیش	proto	N;NOM;MASC;SG;3	CONJ
پس	zpět	پس_وپیش	zpět	N;NOM;MASC;SG;3	ADV
پس	zpátky	پس_وپیش	zpátky	N;NOM;MASC;SG;3	ADV
پس	záda	پس_وپیش	záda	N;NOM;MASC;SG;3	N;NOM;NEUT;PL;POS
پس	po	پس_وپیش	po	N;NOM;MASC;SG;3	
پس	poté	پس_وپیش	poté	N;NOM;MASC;SG;3	ADV
پس	tudíž	پس_وپیش	tudíž	N;NOM;MASC;SG;3	CONJ
پس	proto	پس_وپیش	proto	N;NOM;MASC;SG;3	CONJ
پِساچ	ghost	پِساچ	ghost	PROPN;NOM;MASC;SG;3	PROPN;INAN;NOM;MASC;SG;POS
پِساچ	přízrak	پِساچ	přízrak	PROPN;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG;POS
پِساچ	duch	پِساچ	duch	PROPN;NOM;MASC;SG;3	N;ANIM;NOM;MASC;SG;POS
پِساچ	duchu	پِساچ	duch	PROPN;NOM;MASC;SG;3	N;ANIM;DAT;MASC;SG;POS
پِساچ	strašidlo	پِساچ	strašidlo	PROPN;NOM;MASC;SG;3	N;NOM;NEUT;SG;POS
پسادست	dluhy	پسادست	dluh	PROPN;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL;POS
پسادست	dluh	پسادست	dluh	PROPN;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG;POS
پسادست	zadlužení	پسادست	zadlužení	PROPN;NOM;MASC;SG;3	N;NOM;NEUT;SG;POS
پسادست	výpůjční	پسادست	výpůjční	PROPN;NOM;MASC;SG;3	ADJ;NOM;MASC;SG;POS
پسادست	půjčování	پسادست	půjčování	PROPN;NOM;MASC;SG;3	N;NOM;NEUT;SG;POS
پسارا	expanze	پسارا	expanze	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG;POS
پسارا	rozšiřování	پسارا	rozšiřování	PROPN;NOM;MASC;SG;3	N;NOM;NEUT;SG;POS
پسارا	rozšíření	پسارا	rozšíření	PROPN;NOM;MASC;SG;3	N;NOM;NEUT;SG;POS
پسارنا	rozbalit	پسارنا	rozbalit	PROPN;NOM;MASC;SG;3	V;PFV;POS;NFIN
پسارنا	rozšířit	پسارنا	rozšířit	PROPN;NOM;MASC;SG;3	V;PFV;POS;NFIN
پسارنا	prodloužit	پسارنا	prodloužit	PROPN;NOM;MASC;SG;3	V;PFV;POS;NFIN
پسارنا	rozšířit	پسارنا	rozšířit	PROPN;NOM;MASC;SG;3	V;PFV;POS;NFIN
پسارنا	protáhnout	پسارنا	protáhnout	PROPN;NOM;MASC;SG;3	V;POS;NFIN
پسارنا	natáhnout	پسارنا	natáhnout	PROPN;NOM;MASC;SG;3	V;POS;NFIN
پسارنا	zobrazení	پسارنا	zobrazení	PROPN;NOM;MASC;SG;3	N;NOM;NEUT;SG;POS
پسارنا	displej	پسارنا	displej	PROPN;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG;POS
پسارنا	zobrazit	پسارنا	zobrazit	PROPN;NOM;MASC;SG;3	V;PFV;POS;NFIN
پسارنا	šíření	پسارنا	šíření	PROPN;NOM;MASC;SG;3	N;NOM;NEUT;SG;POS
پِسان	prach	پِسان	prach	PROPN;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG;POS
پِسان	prášek	پِسان	prášek	PROPN;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG;POS
پِسان	pudr	پِسان	pudr	PROPN;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG;POS
پِسان	moučka	پِسان	moučka	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG;POS
پِسان	jídlo	پِسان	jídlo	PROPN;NOM;MASC;SG;3	N;NOM;NEUT;SG;POS
پِسان	mouka	پِسان	mouka	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG;POS
پِسان	mouky	پِسان	mouka	PROPN;NOM;MASC;SG;3	N;NOM;FEM;PL;POS
پِسان	mouku	پِسان	mouka	PROPN;NOM;MASC;SG;3	N;ACC;FEM;SG;POS
پساوا	reziduí	پساوا	rezidue	PROPN;NOM;MASC;SG;3	N;NOM;NEUT;SG;POS
پساوا	rezidua	پساوا	reziduum	PROPN;NOM;MASC;SG;3	N;NOM;NEUT;PL;POS
پساوا	zbytky	پساوا	zbytek	PROPN;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL;POS
پساوا	odmítnout	پساوا	odmítnout	PROPN;NOM;MASC;SG;3	V;PFV;POS;NFIN
پسپائی	ustoupit	پسپائی	ustoupit	N;NOM;FEM;SG;3	V;PFV;POS;NFIN
پسپائی	porazit	پسپائی	porazit	N;NOM;FEM;SG;3	V;PFV;POS;NFIN
پست	pod	پست	pod	ADJ	ADP;ACC
پست	níže	پست	nízko	ADJ	ADV;CMPR;POS
پست	podpalubí	پست	podpalubí	ADJ	N;NOM;NEUT;SG;POS
پست	bad	پست	bad	ADJ	PROPN;NOM;MASC;SG;POS
پست	pod	پست	pod	ADJ	ADP;ACC
پست	down	پست	down	ADJ	PROPN;NOM;MASC;SG;POS
پست	dolů	پست	dolů	ADJ	ADV
پست	dolu	پست	důl	ADJ	N;INAN;GEN;MASC;SG;POS
پست	dole	پست	důl	ADJ	N;INAN;NOM;MASC;SG;POS
پست	níže	پست	nízko	ADJ	ADV;CMPR;POS
پست	podpalubí	پست	podpalubí	ADJ	N;NOM;NEUT;SG;POS
پست	bad	پست	bad	ADJ	PROPN;NOM;MASC;SG;POS
پِستان	vykopal	پِستان	vykopat	PROPN;NOM;MASC;SG;3	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT
پِستان	zátah	پِستان	zátah	PROPN;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG;POS
