một	one	một	one	NUM	N;NOM;INDF;MASC+FEM;SG
năm	fem	năm	fem	N	NUM;NOM
của	ditt	của	du	ADP	PRO;DEF;NEUT;SG
của	din	của	du	ADP	PRO;DEF;MASC+FEM;SG
của	dina	của	du	ADP	PRO;DEF;PL
loài	djurart	loài	djur	N	ADJ;NOM;INDF;MASC+FEM;SG
các	ni	các	ni	DET	PRO;NOM;DEF;MASC+FEM;SG
các	dig	các	du	DET	PRO;ACC;DEF;MASC+FEM;SG
các	du	các	du	DET	PRO;NOM;DEF;MASC+FEM;SG
này	denna	này	denna	PROPN	PRO;DEF;MASC+FEM;SG
này	detta	này	denna	PROPN	PRO;DEF;NEUT;SG
này	tjena	này	tjena	PROPN	V;IMP;FIN;ACT
này	hej	này	hej	PROPN	N;NOM;INDF;MASC+FEM;SG
thích	gillat	thích	gilla	V	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
thích	omtyckt	thích	omtyckt	V	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
thích	som	thích	som	V	CONJ
thích	likes	thích	likes	V	N;NOM;INDF;NEUT;SG
học	studier	học	studie	V	N;NOM;INDF;MASC+FEM;PL
học	studie	học	studium	V	N;NOM;INDF;MASC+FEM;SG
học	skola	học	skola	V	N;NOM;INDF;MASC+FEM;SG
học	skolan	học	skola	V	N;NOM;DEF;MASC+FEM;SG
học	lärande	học	lärande	V	N;NOM;INDF;NEUT;SG
học	inlärning	học	inlärning	V	N;NOM;INDF;MASC+FEM;SG
người	man	người	man	N	PRO;NOM;INDF;MASC+FEM;SG
thực	real	thực	real	V	N;NOM;INDF;MASC+FEM;SG
thực	verklig	thực	verklig	V	ADJ;NOM;INDF;MASC+FEM;SG
thực	äkta	thực	äkta	V	ADJ;NOM
thực	riktigt	thực	riktig	V	ADV
thực	verkligt	thực	verklig	V	ADJ;NOM;INDF;NEUT;SG
thực	riktig	thực	riktig	V	ADJ;NOM;INDF;MASC+FEM;SG
thực	egentligen	thực	egentligen	V	ADV
thực	faktiskt	thực	faktisk	V	ADV
thực	autentisk	thực	autentisk	V	ADJ;NOM;INDF;MASC+FEM;SG
thực	autentiska	thực	autentisk	V	ADJ;NOM;PL
thực	äkta	thực	äkta	V	ADJ;NOM
thực	giltiga	thực	giltig	V	ADJ;NOM;PL
thực	verkligen	thực	verkligen	V	ADV
liên	lien	liên	lien		N;NOM;INDF;MASC+FEM;SG
tham	joint	tham	join	V	N;NOM;INDF;NEUT;SG
tham	gemensamt	tham	gemensam	V	ADJ;NOM;INDF;NEUT;SG
tham	gemensamma	tham	gemensam	V	ADJ;NOM;PL
tham	gemensam	tham	gemensam	V	ADJ;NOM;INDF;MASC+FEM;SG
tham	tham	tham	tham	V	PROPN;NOM
kết	avsluta	kết	avsluta	N	V;IMP;FIN;ACT
đầu	först	đầu	först	N	ADV
đầu	första	đầu	en	N	ADJ;NOM
ngoài	utanför	ngoài	utanför	N	ADP
ngoài	yttre	ngoài	yttre	N	ADJ;NOM;CMPR
thành	cheng	thành	cheng	V	PROPN;NOM
thành	citadel	thành	citadel	V	N;NOM;INDF;NEUT;SG
khoa	vetenskap	khoa	vetenskap		N;NOM;INDF;MASC+FEM;SG
khoa	naturvetenskap	khoa	naturvetenskap		N;NOM;INDF;MASC+FEM;SG
khoa	vetenskapen	khoa	vetenskap		N;NOM;DEF;MASC+FEM;SG
khoa	fakulteten	khoa	fakultet		N;NOM;DEF;MASC+FEM;SG
cho	cho	cho	cho	V	PROPN;NOM
cho	för	cho	för	V	ADP
cho	give	cho	give	V	N;NOM;INDF;MASC+FEM;SG
không	inte	không	inte	;NEG	PART;NEG
không	ej	không	ej	;NEG	PART;NEG
không	nix	không	nix	;NEG	N;NOM;INDF;NEUT;SG
không	nope	không	nope	;NEG	N;NOM;INDF;MASC+FEM;SG
hoa	förenade	hoa	förenade	N	ADJ;NOM;PL;PST;V.PTCP
hoa	enad	hoa	enad	N	ADJ;NOM;INDF;MASC+FEM;SG
những	dessa	những	denna	DET	PRO;DEF;PL
những	dessa	những	denna	DET	PRO;DEF;PL
những	de	những	de	DET	PRO;NOM;DEF;PL
những	dom	những	de	DET	PRO;NOM;DEF;PL
nam	manliga	nam	manlig	N	ADJ;NOM;PL
nam	manligt	nam	manlig	N	ADJ;NOM;INDF;NEUT;SG
nam	syd	nam	syd	N	PROPN;NOM
nam	söderut	nam	söderut	N	ADV
nam	södra	nam	södra	N	ADJ;NOM;DEF;SG
nam	nam	nam	nam	N	V;IMP;FIN;ACT
công	attackera	công	attackera	N	V;IMP;FIN;ACT
công	offentliga	công	offentlig	N	ADJ;NOM;PL
công	offentligt	công	offentlig	N	ADV
công	offentlig	công	offentlig	N	ADJ;NOM;INDF;MASC+FEM;SG
chính	jämn	chính	jämn	PART	ADJ;NOM;INDF;MASC+FEM;SG
chính	även	chính	även	PART	ADV
chính	äga	chính	äga	PART	V;IMP;FIN;ACT
chính	eget	chính	egen	PART	ADJ;NOM;NEUT;SG
chính	egen	chính	egen	PART	ADJ;NOM;MASC+FEM;SG
chính	egna	chính	egen	PART	ADJ;NOM;PL
chính	primär	chính	primär	PART	ADJ;NOM;INDF;MASC+FEM;SG
chính	primärt	chính	primär	PART	ADV
chính	primära	chính	primär	PART	ADJ;NOM;PL
chính	huvudsakliga	chính	huvudsaklig	PART	ADJ;NOM;PL
chính	main	chính	main	PART	PROPN;NOM
chính	huvudsaklig	chính	huvudsaklig	PART	ADJ;NOM;INDF;MASC+FEM;SG
chính	viktigaste	chính	viktig	PART	ADJ;NOM;DEF;RL
động	dynamisk	động	dynamisk	V	ADJ;NOM;INDF;MASC+FEM;SG
động	dynamiskt	động	dynamisk	V	ADJ;NOM;INDF;NEUT;SG
động	dynamic	động	dynamic	V	N;NOM;INDF;MASC+FEM;SG
động	dynamiska	động	dynamisk	V	ADJ;NOM;PL
động	automat	động	automat	V	N;NOM;INDF;MASC+FEM;SG
động	automatiskt	động	automatisk	V	ADJ;NOM;INDF;NEUT;SG
động	automatiska	động	automatisk	V	ADJ;NOM;PL
động	automatisk	động	automatisk	V	N;NOM;INDF;MASC+FEM;SG
động	automatiskt	động	automatisk	V	ADJ;NOM;INDF;NEUT;SG
khi	när	khi	när	N	ADV
đến	ankomst	đến	ankomst	PART	N;NOM;INDF;MASC+FEM;SG
đến	anlänt	đến	anlända	PART	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
đến	framme	đến	framme	PART	ADV
đến	anlände	đến	anlände	PART	V;IND;PST;FIN;ACT
đến	come	đến	come	PART	N;NOM;INDF;MASC+FEM;SG
đến	kommer	đến	komma	PART	V;IND;PRS;FIN;ACT
đến	kom	đến	komma	PART	V;IMP;FIN;ACT
đến	komma	đến	komma	PART	V;IMP;FIN;ACT
đến	kommer	đến	komma	PART	V;IND;PRS;FIN;ACT
theo	theo	theo	theo	V	PROPN;NOM
theo	follow	theo	follo	V	N
theo	efteråt	theo	efteråt	V	ADV
theo	after	theo	after	V	N;NOM;INDF;MASC+FEM;SG
theo	efter	theo	efter	V	ADP
tỉnh	nyktra	tỉnh	nyktra	N	ADJ;NOM;PL
tỉnh	nykter	tỉnh	nykt	N	ADJ;NOM;INDF;MASC+FEM;SG
tỉnh	vakna	tỉnh	vaken	N	V;IMP;FIN;ACT
sau	efteråt	sau	efteråt	N	ADV
sau	efter	sau	efter	N	ADP
sau	senare	sau	sen	N	ADV;CMPR
trung	medelhög	trung	medelhög	N	ADJ;NOM;INDF;MASC+FEM;SG
trung	medellång	trung	medellång	N	ADJ;NOM;INDF;MASC+FEM;SG
trung	medelstor	trung	medelstor	N	ADJ;NOM;INDF;MASC+FEM;SG
