河岸	flussufer	河岸	flußuf	N	ADJ
遲	late	遲	late	ADV	PROPN
遲	späte	遲	spät	ADV	
遲	spät	遲	spät	ADV	ADJ
詞語	worte	詞語	wort	N	
詞語	wörter	詞語	wört	N	
詞語	worten	詞語	worten	N	V;NFIN
生物	biologischer	生物	biologisch	N	ADJ
生物	biologische	生物	biologisch	N	ADJ;NOM;FEM;PL
生物	biologischen	生物	biologisch	N	ADJ;ACC;SG
生物	biologisch	生物	biologisch	N	ADJ
生物	biologie	生物	biologie	N	
債務	schulden	債務	schulden	N	V;NFIN
債務	schuld	債務	schuld	N	ADJ
債務	schulden	債務	schulden	N	V;NFIN
光芒	leuchten	光芒	leucht		V;NFIN
塾	sook	塾	sooken	N	
俄	russisch	俄	russisch	PROPN	ADJ
俄	russischen	俄	russisch	PROPN	ADJ;NOM;MASC;PL
俄	russen	俄	russen	PROPN	
穿梭	shuttle	穿梭	shuttle	V	
穿梭	pendelverkehr	穿梭	pendelverkehr	V	ADJ
渲染	rendering	渲染	rendering	V	ADJ
按	buttons	按	buttons	ADP	
按	schaltflächen	按	schaltfläch	ADP	V;NFIN
按	knöpfen	按	knöpfen	ADP	V;NFIN
按	knöpfe	按	knöpfen	ADP	N;NOM;PL
按	tasten	按	tasten	ADP	N
按	taste	按	tasten	ADP	
按	knopf	按	knopf	ADP	
按	button	按	button	ADP	
按	knöpfe	按	knöpfen	ADP	N;NOM;PL
按	schaltfläche	按	schaltfläche	ADP	N;NOM;FEM;SG
陣線	front	陣線	fronen	N	PROPN
陣線	vorderseite	陣線	vorderseite	N	
陣線	vorne	陣線	vorne	N	ADV
陣線	vorn	陣線	vorn	N	ADV
陣線	vor	陣線	vor	N	ADP
分化	kluft	分化	klufen	V	
分化	teilung	分化	teilung	V	N;NOM;FEM;SG
分化	spaltung	分化	spaltung	V	N;FEM;SG
氨基	aminosäuren	氨基	aminosäuren	N	V;NFIN
氨基	amino	氨基	amino	N	
週日	sunday	週日	sunday	N	PROPN
週日	sonntag	週日	sonntag	N	PROPN
週日	sonntags	週日	sonntags	N	ADV
跆	taekwondo	跆	taekwondo	N	
跆	kickboxen	跆	kickboxen	N	
題目	themenbereich	題目	themenbereich	N	
題目	themenbereiche	題目	themenbereich	N	ADJ;NOM;FEM;PL
題目	themen	題目	them	N	V;FIN
高知	kōchi	高知	kōchi	PROPN	
高知	kochi	高知	kochi	PROPN	PROPN;NOM;SG
忙	fleißig	忙	fleißig	N	ADJ
忙	belegt	忙	belegen	N	ADJ;V.PTCP
忙	beschäftigt	忙	beschäftigen	N	V;V.PTCP
忙	besetzt	忙	besetzen	N	V;V.PTCP
半	halbleiter	半	halbleiter	NUM	ADJ
半	halbleiter	半	halbleiter	NUM	ADJ
評分	rating	評分	ratingen	V	
評分	einstufung	評分	einstufung	V	ADJ
