伴侶	partenere	伴侶	partenere	N	ADJ;INDF;FEM;PL
溫柔	tandru	溫柔	tandru	N	ADJ;INDF;MASC;SG
溫柔	blanda	溫柔	blandă	N	ADJ;DEF;FEM;SG
溫柔	bland	溫柔	bland	N	ADJ;INDF;MASC;SG
抒情	liric	抒情	liric	N	ADJ;INDF;MASC;SG
愛麗絲	alice	愛麗絲	alica	PROPN	N;INDF;MASC;SG
蔓延	raspandirea	蔓延	raspandire		N;DEF;FEM;SG
蔓延	raspandire	蔓延	raspandire		N;INDF;FEM;SG
蔓延	raspandirea	蔓延	raspandire		N;DEF;FEM;SG
蔓延	raspandire	蔓延	raspandire		N;INDF;FEM;SG
蔓延	raspandit	蔓延	raspandi		ADJ;INDF;MASC;SG
加勒比	caraibe	加勒比	caraib	PROPN	
陡	abrupte	陡	abrupt	N	ADJ;INDF;FEM;PL
陡	abrupta	陡	abrupta	N	ADJ;DEF;FEM;SG
陡	abrupt	陡	abrupt	N	ADJ;INDF;MASC;SG
血腥	sangeros	血腥	sangeros	N	ADJ;INDF;MASC;SG
血腥	sangeroase	血腥	sangeros	N	ADJ;INDF;FEM;PL
粉碎	smash	粉碎	smash	V	
骨頭	bone	骨頭	bonă	N	
堡壘	bastion	堡壘	bastion		N;INDF;MASC;SG
堡壘	fortareata	堡壘	fortareat		N;DEF;FEM;SG
堡壘	cetatea	堡壘	cetate		N;DEF;FEM;SG
堡壘	fortareata	堡壘	fortareat		N;DEF;FEM;SG
堡壘	fortul	堡壘	fort		N;DEF;MASC;SG
堡壘	fort	堡壘	fort		N;INDF;MASC;SG
乘車	plimbare	乘車	plimbare	V	N;INDF;FEM;SG
乘車	ride	乘車	rid	V	
寂寞	singuratic	寂寞	singuratic	N	ADJ;INDF;MASC;SG
寂寞	singur	寂寞	singur	N	ADJ;INDF;MASC;SG
花卉	florale	花卉	floral	N	ADJ;INDF;FEM;PL
蘇維埃	sovietici	蘇維埃	sovietic	PROPN	ADJ;INDF;MASC;PL
蘇維埃	sovieticii	蘇維埃	sovietică	PROPN	N;DEF;MASC;PL
蘇維埃	sovietica	蘇維埃	sovietică	PROPN	N;DEF;FEM;SG
蘇維埃	sovietici	蘇維埃	sovietic	PROPN	ADJ;INDF;MASC;PL
蘇維埃	sovietice	蘇維埃	sovietic	PROPN	ADJ;INDF;FEM;PL
蘇維埃	sovietic	蘇維埃	sovietic	PROPN	ADJ;INDF;MASC;SG
安藤	ando	安藤	ando	PROPN	PROPN
和	armonia	和	armonie	ADP	N;DEF;FEM;SG
和	armonie	和	armonie	ADP	N;INDF;FEM;SG
和	harmony	和	harmony	ADP	N;INDF;MASC;SG
室外	afara	室外	afara	N	ADV
室外	afara	室外	afara	N	ADV
鵝	goose	鵝	goos	N	PROPN
刺殺	asasinare	刺殺	asasinare	V	N;INDF;FEM;SG
刺殺	asasinatul	刺殺	asasinat	V	N;DEF;MASC;SG
刺殺	asasinarea	刺殺	asasinare	V	N;DEF;FEM;SG
刺殺	asasinate	刺殺	asasina	V	N;INDF;FEM;PL
刺殺	asasinat	刺殺	asasina	V	ADJ;INDF;MASC;SG
坐標	coordoneaza	坐標	coordoneaza	N	V;IND;SG;3;IPFV;FIN
坐標	coordona	坐標	coordona	N	V;IND;SG;3;IPFV;FIN
永恆	atemporal	永恆	atemporal	N	ADV
永恆	eterna	永恆	eterna	N	ADJ;DEF;FEM;SG
永恆	eterna	永恆	eterna	N	ADJ;DEF;FEM;SG
永恆	eterne	永恆	etern	N	ADJ;INDF;FEM;PL
永恆	etern	永恆	etern	N	ADJ;INDF;MASC;SG
破解	crapatura	破解	crapatură	V	N;DEF;FEM;SG
破解	crack	破解	crack	V	N;INDF;MASC;SG
麻雀	vrabii	麻雀	vrabiu	PROPN	N;INDF;FEM;PL
麻雀	vrabie	麻雀	vrabie	PROPN	N;INDF;FEM;SG
麻雀	sparrow	麻雀	sparrow	PROPN	PROPN
阻力	trageti	阻力	trageti	N	V;IND;PL;2;PRS;FIN
關	grijuliu	關	grijuliu	PROPN	ADJ;INDF;MASC;SG
關	ingrijirea	關	ingrijire	PROPN	N;DEF;FEM;SG
關	grija	關	grijă	PROPN	N;DEF;FEM;SG
啟發	inspirata	啟發	inspirat	V	ADJ;DEF;FEM;SG
啟發	inspirat	啟發	inspira	V	ADJ;INDF;MASC;SG
盧森堡	luxembourg	盧森堡	luxembourg	PROPN	N;INDF;MASC;SG
盧森堡	luxemburg	盧森堡	luxemburg	PROPN	N;INDF;MASC;SG
鷗	gull	鷗	gull	N	PROPN
佔有	posesie	佔有	posesie	V	N;INDF;FEM;SG
佔有	posesia	佔有	posesie	V	N;DEF;FEM;SG
獨家	exclusive	獨家	exclusiv		ADJ;INDF;FEM;PL
獨家	exclusiva	獨家	exclusiva		ADJ;DEF;FEM;SG
獨家	exclusivitate	獨家	exclusivitate		N;INDF;FEM;SG
獨家	exclusiv	獨家	exclusiv		ADV
掩護	acoperi	掩護	acoperi	N	
掩護	acopera	掩護	acopera	N	V;IND;SG;3;IPFV;FIN
鈍	blunt	鈍	blunt	N	PROPN
復原	restaurare	復原	restaurare	V	N;INDF;FEM;SG
復原	restaurarea	復原	restaurare	V	N;DEF;FEM;SG
復原	recuperarea	復原	recuperare	V	N;DEF;FEM;SG
復原	redresare	復原	redresare	V	N;INDF;FEM;SG
復原	redresarea	復原	redresare	V	N;DEF;FEM;SG
復原	recuperare	復原	recuperare	V	N;INDF;FEM;SG
真主	alah	真主	alah	PROPN	
真主	allah	真主	allah	PROPN	
清潔	curatenie	清潔	curatenie	V	N;INDF;FEM;SG
清潔	curatarea	清潔	curatare	V	N;DEF;FEM;SG
清潔	curatare	清潔	curatare	V	N;INDF;FEM;SG
清潔	curatenie	清潔	curatenie	V	N;INDF;FEM;SG
清潔	curat	清潔	curat	V	ADJ;INDF;MASC;SG
清潔	curate	清潔	curat	V	ADJ;INDF;FEM;PL
清潔	clean	清潔	clean	V	N;INDF;MASC;SG
多	diversificarea	多	diversificare	NUM	N;DEF;FEM;SG
多	pluralitate	多	pluralitate	NUM	N;INDF;FEM;SG
多	diversitatea	多	diversitate	NUM	N;DEF;FEM;SG
多	diversitate	多	diversitate	NUM	N;INDF;FEM;SG
多	pluralismul	多	pluralism	NUM	N;DEF;MASC;SG
友善	prietenoasa	友善	prietenos	N	ADJ;DEF;FEM;SG
友善	prietenos	友善	prietenos	N	ADJ;INDF;MASC;SG
甜蜜	dulce	甜蜜	dulce	N	
甜蜜	dulci	甜蜜	dulce	N	ADJ;INDF;PL
瘦	skinny	瘦	skinny	N	
瘦	slab	瘦	slab	N	ADV
瘦	slim	瘦	slim	N	
瘦	subtire	瘦	subtire	N	
瘦	subtire	瘦	subtire	N	
瘦	subtire	瘦	subtire	N	
雪梨	sydney	雪梨	sydney	PROPN	PROPN
鳳蝶	papilio	鳳蝶	papilio	N	PROPN
消化	digerat	消化	digera	V	ADJ;INDF;MASC;SG
消化	digestie	消化	digestie	V	N;INDF;FEM;SG
消化	digestiv	消化	digestiv	V	ADJ;INDF;MASC;SG
凱撒	caesar	凱撒	caesar	PROPN	N;INDF;MASC;SG
凱撒	cezar	凱撒	cezar	PROPN	N;INDF;MASC;SG
馬達加斯加	madagascar	馬達加斯加	madagascar	PROPN	N;INDF;MASC;SG
告別	adio	告別	adio	V	
狹窄	stenoza	狹窄	stenoză	ADJ	N;DEF;FEM;SG
狹窄	inguste	狹窄	ingust	ADJ	
狹窄	restrange	狹窄	restrange	ADJ	V;IND;SG;3;PRS;FIN
裁決	verdictul	裁決	verdict	V	N;DEF;MASC;SG
裁決	verdict	裁決	verdict	V	N;INDF;MASC;SG
裁決	guvernamant	裁決	guvernamant	V	N;INDF;MASC;SG
無力	neputincios	無力	neputincios	N	ADJ;INDF;MASC;SG
節省	economii	節省	economie	V	N;INDF;FEM;PL
節省	economiile	節省	economie	V	N;DEF;FEM;PL
節省	economisire	節省	economisire	V	N;INDF;FEM;SG
節省	salvarea	節省	salvare	V	N;DEF;FEM;SG
水下	subacvatice	水下	subacvatic	N	ADJ;INDF;FEM;PL
水下	subacvatic	水下	subacvatic	N	ADJ;INDF;MASC;SG
意向	intentii	意向	intent	N	
壓制	reprimarea	壓制	reprimare	V	N;DEF;FEM;SG
壓制	represiune	壓制	represiune	V	N;INDF;FEM;SG
壓制	represiunea	壓制	represiune	V	N;DEF;FEM;SG
壓制	suprimarea	壓制	suprimare	V	N;DEF;FEM;SG
壓制	suprimarea	壓制	suprimare	V	N;DEF;FEM;SG
突襲	raid	突襲	raid	V	N;INDF;MASC;SG
突襲	raidul	突襲	raid	V	N;DEF;MASC;SG
突襲	raiduri	突襲	raid	V	N;INDF;FEM;PL
突襲	raidurile	突襲	raid	V	N;DEF;FEM;PL
情侶	iubitori	情侶	iubitor	N	ADJ;INDF;MASC;PL
情侶	iubiti	情侶	iubiti	N	
交接	predare	交接	predare	V	N;INDF;FEM;SG
交接	predarea	交接	predare	V	N;DEF;FEM;SG
示	model	示	model	V	N;INDF;MASC;SG
示	modelul	示	model	V	N;DEF;MASC;SG
示	fotomodel	示	fotomodel	V	N;INDF;MASC;SG
示	demonstratie	示	demonstratie	V	N;INDF;FEM;SG
示	demo	示	demo	V	N;INDF;MASC;SG
示	demonstratie	示	demonstratie	V	N;INDF;FEM;SG
智力	intelectuale	智力	intelectual	N	ADJ;INDF;FEM;PL
智力	intelectual	智力	intelectual	N	ADJ;INDF;MASC;SG
智力	intelectuala	智力	intelectual	N	ADJ;DEF;FEM;SG
渡口	bac	渡口	bac	N	
糾紛	disputa	糾紛	disputa	N	V;IND;SG;3;IPFV;FIN
糾紛	contesta	糾紛	contesta	N	V;IND;SG;3;IPFV;FIN
糾紛	disputa	糾紛	disputa	N	V;IND;SG;3;IPFV;FIN
發光	straluceasca	發光	stralucesc	V	N;DEF;FEM;SG
發光	stralucitoare	發光	stralucitor	V	ADJ;INDF;FEM
發光	stralucitor	發光	stralucitor	V	ADJ;INDF;MASC;SG
發光	stralucitoare	發光	stralucitor	V	ADJ;INDF;FEM
發光	luminoasa	發光	luminos	V	ADJ;DEF;FEM;SG
發光	luminos	發光	luminos	V	ADJ;INDF;MASC;SG
發光	luminoasa	發光	luminos	V	ADJ;DEF;FEM;SG
發光	stralucire	發光	stralucire	V	N;INDF;FEM;SG
結盟	alianta	結盟	aliantă	V	N;DEF;FEM;SG
結盟	alianta	結盟	aliantă	V	N;DEF;FEM;SG
結盟	alianta	結盟	aliantă	V	N;DEF;FEM;SG
阿拉伯	araba	阿拉伯	araba	PROPN	N;DEF;FEM;SG
阿拉伯	araba	阿拉伯	araba	PROPN	N;DEF;FEM;SG
窮	saracul	窮	sarac		N;DEF;MASC;SG
窮	saraca	窮	saracă		ADJ;DEF;FEM;SG
投球	smoala	投球	smoală	V	N;DEF;FEM;SG
投球	aruncare	投球	aruncare	V	N;INDF;FEM;SG
訪談	interviu	訪談	interviu	V	N;INDF;MASC;SG
訪談	interviul	訪談	interviu	V	N;DEF;MASC;SG
訪談	interviurile	訪談	interviu	V	N;DEF;FEM;PL
訪談	interviuri	訪談	interviu	V	N;INDF;FEM;PL
宗派	sectare	宗派	sectare	N	ADJ;INDF;FEM;PL
揚州	yangzhou	揚州	yangzhou	PROPN	
就	inaugurare	就	inaugurare	ADV	N;INDF;FEM;SG
就	inaugurarea	就	inaugurare	ADV	N;DEF;FEM;SG
噴發	ventilare	噴發	ventilare	V	N;INDF;FEM;SG
饒	rao	饒	rao	V	N;INDF;MASC;SG
溶解	dizolvarea	溶解	dizolvare	V	N;DEF;FEM;SG
溶解	dizolvat	溶解	dizolva	V	ADJ;INDF;MASC;SG
主觀	subiectiv	主觀	subiectiv	N	ADJ;INDF;MASC;SG
外國	strain	外國	strain	N	ADJ;INDF;MASC;SG
外國	strain	外國	strain	N	ADJ;INDF;MASC;SG
外國	straini	外國	strain	N	
外國	straini	外國	strain	N	
反感	aversiune	反感	aversiune	V	N;INDF;FEM;SG
反感	dezgustat	反感	dezgusta	V	ADJ;INDF;MASC;SG
李	plum	李	plum	PROPN	N;INDF;MASC;SG
李	prune	李	prune	PROPN	N;INDF;FEM;PL
李	prune	李	prune	PROPN	N;INDF;FEM;PL
腸	carnat	腸	carna	N	
腸	intestin	腸	intestin	N	
腸	intestin	腸	intestin	N	
腸	intestine	腸	intestine	N	
腸	intestine	腸	intestine	N	
秋山	akiyama	秋山	akiyama	PROPN	N;INDF;MASC;SG
福爾摩斯	holmes	福爾摩斯	holmes	PROPN	PROPN
野心	ambitios	野心	ambitios	N	ADJ;INDF;MASC;SG
印地安	indieni	印地安	indian	PROPN	N;INDF;MASC;PL
印地安	indienii	印地安	indien	PROPN	N;DEF;MASC;PL
顯示	afisare	顯示	afisare	V	N;INDF;FEM;SG
顯示	monitoare	顯示	monitor	V	N;INDF;FEM;PL
有害	nocive	有害	nociv	N	ADJ;INDF;FEM;PL
有害	nociv	有害	nociv	N	ADJ;INDF;MASC;SG
有害	daunatoare	有害	daunatoare	N	ADJ;INDF;FEM
有害	daunator	有害	daunator	N	ADJ;INDF;MASC;SG
銀河	galaxie	銀河	galaxie	PROPN	N;INDF;FEM;SG
銀河	galaxia	銀河	galaxia	PROPN	N;DEF;FEM;SG
銀河	galaxy	銀河	galaxy	PROPN	N;INDF;MASC;SG
劍橋	cambridge	劍橋	cambridge	PROPN	N;INDF;MASC;SG
詛咒	blestem	詛咒	blea	V	N;INDF;MASC;SG
詛咒	blestemul	詛咒	blestem	V	N;DEF;MASC;SG
達拉斯	dallas	達拉斯	dallas	PROPN	PROPN
補償	compensatorie	補償	compensatoriu	N	ADJ;INDF;FEM;SG
廁	toaleta	廁	toaletă	V	N;DEF;FEM;SG
廁	toaleta	廁	toaletă	V	N;DEF;FEM;SG
廁	wc	廁	wc	V	N;INDF;MASC;SG
廁	baia	廁	baie	V	N;DEF;FEM;SG
廁	baie	廁	baie	V	N;INDF;FEM;SG
葉子	yoko	葉子	yoko	N	PROPN
激進	radical	激進	radical	N	ADV
激進	radicale	激進	radical	N	ADJ;INDF;FEM;PL
激進	radicala	激進	radicală	N	ADJ;DEF;FEM;SG
有罪	vinovat	有罪	vinovat	V	ADJ;INDF;MASC;SG
有罪	vinovata	有罪	vinovată	V	ADJ;DEF;FEM;SG
樣式	styles	樣式	styles	N	PROPN
遷徙	migrarea	遷徙	migrare	V	N;DEF;FEM;SG
遷徙	migratoare	遷徙	migrator	V	ADJ;INDF;FEM
遷徙	migrare	遷徙	migrare	V	N;INDF;FEM;SG
遷徙	migratie	遷徙	migratie	V	N;INDF;FEM;SG
遷徙	migrarea	遷徙	migrare	V	N;DEF;FEM;SG
抄襲	plagiat	抄襲	plagia	V	N;INDF;MASC;SG
海倫	helen	海倫	helen	PROPN	PROPN
螢	ying	螢	ying	N	PROPN
多瑙	dunare	多瑙	dunare	PROPN	N;INDF;FEM;SG
多瑙	dunarea	多瑙	dunare	PROPN	N;DEF;FEM;SG
多瑙	dunarii	多瑙	dunăre	PROPN	N;DEF;MASC;PL
阿爾及利亞	algeria	阿爾及利亞	algeria	PROPN	PROPN
拜	vizitand	拜	vizitand	PROPN	
拜	vizita	拜	vizita	PROPN	N;DEF;FEM;SG
微小	tiny	微小	tiny	ADJ	N
出版	editor	出版	editor	V	N;INDF;MASC;SG
出版	editura	出版	editură	V	N;DEF;FEM;SG
出版	editorii	出版	editoare	V	N;DEF;MASC;PL
出版	editori	出版	editor	V	N;INDF;MASC;PL
公升	litru	公升	litru	V	N;INDF;MASC;SG
公升	litri	公升	litru	V	N;INDF;MASC;PL
公升	litru	公升	litru	V	N;INDF;MASC;SG
公升	litri	公升	litru	V	N;INDF;MASC;PL
相對	relativism	相對	relativism	ADJ	N;INDF;MASC;SG
相對	relativitatea	相對	relativitate	ADJ	N;DEF;FEM;SG
對	opus	對	opune	ADP	ADJ;INDF;MASC;SG
對	opusul	對	opus	ADP	N;DEF;MASC;SG
對	opusa	對	opusa	ADP	ADJ;DEF;FEM;SG
香料	spice	香料	spice	N	
悼念	tributul	悼念	tribut	V	N;DEF;MASC;SG
悼念	omagiu	悼念	omagiu	V	N;INDF;MASC;SG
悼念	tribut	悼念	tribut	V	N;INDF;MASC;SG
悼念	tributuri	悼念	tribut	V	N;INDF;FEM;PL
悼念	doliu	悼念	doliu	V	N;INDF;MASC;SG
悼念	jale	悼念	jale	V	
辣椒	ardei	辣椒	ardei	N	
悲劇	tragica	悲劇	tragica	N	ADJ;DEF;FEM;SG
悲劇	tragice	悲劇	tragic	N	ADJ;INDF;FEM;PL
悲劇	tragica	悲劇	tragica	N	ADJ;DEF;FEM;SG
悲劇	tragic	悲劇	tragic	N	ADJ;INDF;MASC;SG
鎖定	blocare	鎖定	blocare	V	N;INDF;FEM;SG
