伴侶	partenere	伴侶	partenere	N	ADJ;INDF;FEM;PL
溫柔	tandru	溫柔	tandru	N	ADJ;INDF;MASC;SG
溫柔	blândă	溫柔	blând	N	ADJ;INDF;FEM;SG
溫柔	blând	溫柔	blând	N	ADV
抒情	liric	抒情	liric	N	ADJ;INDF;MASC;SG
愛麗絲	alice	愛麗絲	alica	PROPN	N;INDF;MASC;SG
蔓延	răspândirea	蔓延	răspândire		N;DEF;FEM;SG
蔓延	răspândire	蔓延	răspândire		N;INDF;FEM;SG
蔓延	răspândirea	蔓延	răspândire		N;DEF;FEM;SG
蔓延	răspândire	蔓延	răspândire		N;INDF;FEM;SG
蔓延	răspândit	蔓延	răspândi		ADJ;INDF;MASC;SG
加勒比	caraibe	加勒比	caraib	PROPN	
陡	abrupte	陡	abrupt	N	ADJ;INDF;FEM;PL
陡	abruptă	陡	abrupt	N	ADJ;INDF;FEM;SG
陡	abrupt	陡	abrupt	N	ADJ;INDF;MASC;SG
血腥	sângeros	血腥	sângeros	N	ADJ;INDF;MASC;SG
血腥	sângeroase	血腥	sângeros	N	ADJ;INDF;FEM;PL
粉碎	smash	粉碎	smash	V	
骨頭	bone	骨頭	bonă	N	
堡壘	bastion	堡壘	bastion		N;INDF;MASC;SG
堡壘	fortăreaţa	堡壘	fortărea		N;DEF;FEM;SG
堡壘	cetatea	堡壘	cetate		N;DEF;FEM;SG
堡壘	fortareata	堡壘	fortareat		N;DEF;FEM;SG
堡壘	fortul	堡壘	fort		N;DEF;MASC;SG
堡壘	fort	堡壘	fort		N;INDF;MASC;SG
思想	gânditor	思想	gânditor	N	ADJ;INDF;MASC;SG
乘車	plimbare	乘車	plimbare	V	N;INDF;FEM;SG
乘車	ride	乘車	rid	V	
寂寞	singuratic	寂寞	singuratic	N	ADJ;INDF;MASC;SG
寂寞	singur	寂寞	singur	N	ADJ;INDF;MASC;SG
花卉	florale	花卉	floral	N	ADJ;INDF;FEM;PL
蘇維埃	sovietici	蘇維埃	sovietic	PROPN	ADJ;INDF;MASC;PL
蘇維埃	sovieticii	蘇維埃	sovietică	PROPN	N;DEF;MASC;PL
蘇維埃	sovietică	蘇維埃	sovietic	PROPN	ADJ;INDF;FEM;SG
蘇維埃	sovietici	蘇維埃	sovietic	PROPN	ADJ;INDF;MASC;PL
蘇維埃	sovietice	蘇維埃	sovietic	PROPN	ADJ;INDF;FEM;PL
蘇維埃	sovietic	蘇維埃	sovietic	PROPN	ADJ;INDF;MASC;SG
安藤	ando	安藤	ando	PROPN	PROPN
和	armonia	和	armonie	ADP	N;DEF;FEM;SG
和	armonie	和	armonie	ADP	N;INDF;FEM;SG
和	harmony	和	harmony	ADP	N;INDF;MASC;SG
室外	afara	室外	afara	N	ADV
室外	afară	室外	afară	N	ADV
鵝	goose	鵝	goos	N	PROPN
刺殺	asasinare	刺殺	asasinare	V	N;INDF;FEM;SG
刺殺	asasinatul	刺殺	asasinat	V	N;DEF;MASC;SG
刺殺	asasinarea	刺殺	asasinare	V	N;DEF;FEM;SG
刺殺	asasinate	刺殺	asasina	V	N;INDF;FEM;PL
刺殺	asasinat	刺殺	asasina	V	ADJ;INDF;MASC;SG
坐標	coordonează	坐標	coordona	N	V;IND;3;PRS;FIN
坐標	coordona	坐標	coordona	N	V;IND;SG;3;IPFV;FIN
永恆	atemporal	永恆	atemporal	N	ADV
永恆	eternă	永恆	etern	N	ADJ;INDF;FEM;SG
永恆	eterna	永恆	eterna	N	ADJ;DEF;FEM;SG
永恆	eterne	永恆	etern	N	ADJ;INDF;FEM;PL
永恆	etern	永恆	etern	N	ADJ;INDF;MASC;SG
破解	crăpătură	破解	crăpătură	V	N;INDF;FEM;SG
破解	crack	破解	crack	V	N;INDF;MASC;SG
麻雀	vrăbii	麻雀	vrăbi	PROPN	N;INDF;FEM;PL
麻雀	vrabie	麻雀	vrabie	PROPN	N;INDF;FEM;SG
麻雀	sparrow	麻雀	sparrow	PROPN	PROPN
阻力	trageți	阻力	trage	N	V;IND;PL;2;PRS;FIN
關	grijuliu	關	grijuliu	PROPN	ADJ;INDF;MASC;SG
關	îngrijirea	關	îngrijire	PROPN	N;DEF;FEM;SG
關	grija	關	grijă	PROPN	N;DEF;FEM;SG
啟發	inspirată	啟發	inspira	V	ADJ;INDF;FEM;SG
啟發	inspirat	啟發	inspira	V	ADJ;INDF;MASC;SG
盧森堡	luxembourg	盧森堡	luxembourg	PROPN	N;INDF;MASC;SG
盧森堡	luxemburg	盧森堡	luxemburg	PROPN	N;INDF;MASC;SG
鷗	gull	鷗	gull	N	PROPN
佔有	posesie	佔有	posesie	V	N;INDF;FEM;SG
佔有	posesia	佔有	posesie	V	N;DEF;FEM;SG
獨家	exclusive	獨家	exclusiv		ADJ;INDF;FEM;PL
獨家	exclusivă	獨家	exclusiv		ADJ;INDF;FEM;SG
